line	token	word	case
2	5	qual	nominative
2	6	vi	accusative
4	6	questi	nominative
5	2	quel	ablative
5	3	che	nominative
6	5	li	dative
8	2	roratelo	accusative
8	4	voi	nominative
9	6	quel	nominative
9	8	ei	nominative
11	1	si	reflexive
14	1	si	reflexive
14	8	chi	ablative
15	6	che	nominative
18	1	mi	dative
19	2	quella	ablative
19	3	ch'	accusative
19	4	io	nominative
20	2	ïo	nominative
21	2	nullo	nominative
23	1	si	reflexive
24	5	nol	accusative
24	6	mi	dative
25	7	lo	accusative
28	5	che	nominative
30	5	mi	accusative
33	1	che	nominative
33	5	i'	nominative
34	2	ella	nominative
35	2	cui	dative
36	2	ei	nominative
37	2	costui	accusative
38	2	ti	dative
39	3	qual	ablative
39	4	tu	nominative
40	2	elli	nominative
41	2	t'	dative
42	5	si	reflexive
44	6	glorïarla	accusative
45	2	lei	ablative
45	8	lui	dative
46	5	s'	reflexive
48	2	approvarla	accusative
48	5	terminarla	accusative
49	2	m'	reflexive
49	4	io	nominative
50	3	ella	nominative
53	2	che	nominative
53	5	io	nominative
54	6	questo	nominative
55	2	mi	reflexive
55	7	essa	nominative
56	4	ïo	nominative
58	3	che	nominative
58	4	mi	dative
58	7	io	nominative
58	8	mi	reflexive
59	2	io	nominative
62	1	ne	ablative
63	1	che	nominative
63	3	teco	ablative
66	2	questa	nominative
66	5	me	dative
68	5	la	accusative
70	2	io	nominative
71	1	che	nominative
71	2	mi	dative
73	4	loro	genitive
74	3	qual	ablative
74	4	si	reflexive
76	5	ci	dative
79	4	quantunque	nominative
79	5	s'	reflexive
85	2	dimmi	dative
85	4	tu	nominative
85	5	l'	accusative
86	2	io	nominative
87	5	nulla	nominative
87	6	mi	dative
87	7	s'	reflexive
89	1	che	nominative
90	3	quale	ablative
90	6	si	reflexive
91	2	ti	dative
91	5	io	nominative
92	5	ch'	nominative
94	3	che	nominative
94	4	la	accusative
94	5	m'	dative
95	6	ella	ablative
96	3	mi	dative
97	1	Io	nominative
98	2	che	nominative
98	4	ti	accusative
99	2	l'	accusative
99	4	tu	nominative
100	2	io	nominative
100	5	che	nominative
100	8	mi	dative
101	6	che	ablative
103	2	fummi	dative
103	4	chi	nominative
103	5	t'	accusative
105	1	che	nominative
105	3	provarsi	reflexive
105	5	altri	nominative
105	6	il	accusative
105	7	ti	dative
106	4	si	reflexive
107	2	io	nominative
109	2	tu	nominative
111	1	che	nominative
112	2	questo	nominative
114	4	che	nominative
114	7	si	reflexive
115	4	che	nominative
116	4	m'	accusative
118	4	che	nominative
119	7	t'	dative
120	6	si	reflexive
121	3	io	nominative
121	5	ciò	accusative
121	6	che	nominative
122	5	quel	accusative
122	6	che	accusative
123	7	s'	reflexive
124	6	che	nominative
125	1	ciò	accusative
125	2	che	accusative
125	6	tu	nominative
127	2	io	nominative
127	3	tu	nominative
127	6	io	nominative
129	6	lui	ablative
130	2	io	nominative
130	4	Io	nominative
131	4	che	nominative
133	7	io	nominative
134	5	dalmi	dative
135	4	che	nominative
137	6	voi	ablative
137	7	che	nominative
138	6	vi	accusative
139	8	queste	accusative
141	6	este	accusative
143	2	io	nominative
143	7	mi	dative
145	1	Quest'	nominative
145	5	quest'	nominative
146	1	che	nominative
146	2	si	reflexive
147	7	me	ablative
148	4	ch'	nominative
148	6	quel	accusative
148	7	che	nominative
148	8	i	dative
150	6	el	nominative
150	7	si	reflexive
151	2	benedicendomi	accusative
152	4	me	accusative
152	7	io	nominative
153	5	cui	genitive
154	1	io	nominative
154	7	li	dative
