line	token	word	case
1	4	me	ablative
2	4	che	nominative
4	5	cui	ablative
6	6	lui	accusative
7	2	quel	nominative
7	3	che	nominative
7	4	mi	dative
10	2	io	nominative
11	7	io	accusative
12	6	noi	accusative
14	2	io	nominative
15	1	che	nominative
15	3	si	reflexive
18	2	lei	accusative
20	1	si	reflexive
22	2	io	nominative
23	5	che	nominative
24	2	mi	dative
25	1	solvetemi	accusative
26	1	che	nominative
26	3	m'	accusative
27	2	trovandoli	accusative
28	3	io	nominative
30	5	l'	accusative
31	4	io	nominative
31	5	m'	reflexive
32	6	quello	nominative
33	2	che	nominative
33	3	m'	dative
34	3	ch'	nominative
35	8	si	reflexive
37	2	io	nominative
37	3	farsi	reflexive
37	6	che	nominative
39	4	si	reflexive
39	6	chi	nominative
40	3	Colui	nominative
40	4	che	nominative
41	9	esso	ablative
46	2	ciò	nominative
47	1	che	nominative
51	1	che	nominative
51	6	sé	accusative
51	8	sé	ablative
52	4	che	nominative
54	2	che	ablative
57	5	quel	ablative
57	6	che	nominative
57	7	l'	dative
59	3	che	nominative
60	7	s'	reflexive
62	3	nol	accusative
63	1	èli	nominative
63	4	lui	dative
65	1	che	nominative
65	3	si	reflexive
67	2	t'	dative
68	1	che	nominative
68	2	t'	accusative
69	2	che	ablative
70	2	tu	nominative
71	8	chi	nominative
72	4	chi	nominative
72	7	chi	nominative
77	5	che	nominative
77	6	'l	accusative
78	7	ei	nominative
79	2	tu	nominative
79	3	chi	nominative
79	5	che	nominative
82	3	colui	dative
82	4	che	nominative
82	6	s'	reflexive
83	5	voi	ablative
86	4	ch'	nominative
86	7	sé	ablative
87	2	sé	ablative
87	3	ch'	nominative
87	9	si	reflexive
88	6	lei	dative
89	5	sé	dative
89	6	la	accusative
90	2	essa	nominative
90	4	lui	dative
91	5	si	reflexive
92	2	c'	accusative
93	4	ch'	nominative
93	7	la	accusative
94	2	si	reflexive
95	4	che	nominative
98	6	te	dative
98	9	le	accusative
99	7	voi	dative
100	2	si	reflexive
102	1	che	nominative
103	1	esso	nominative
104	4	chi	nominative
105	6	el	nominative
105	7	si	reflexive
108	2	lui	ablative
108	3	che	nominative
110	2	si	reflexive
111	2	uno	nominative
111	8	altro	nominative
112	1	Che	accusative
114	2	qual	ablative
114	3	si	reflexive
115	2	si	reflexive
116	1	quella	nominative
116	2	che	nominative
118	2	si	reflexive
118	6	che	nominative
120	1	quel	nominative
120	2	che	nominative
121	2	si	reflexive
121	6	ch'	nominative
122	1	che	nominative
125	2	quel	genitive
125	7	quel	genitive
126	1	che	nominative
131	2	quei	genitive
131	3	che	nominative
135	1	che	nominative
136	4	ciascun	dative
137	6	che	nominative
139	2	quel	nominative
140	2	si	reflexive
140	5	quel	nominative
141	1	che	nominative
142	6	si	reflexive
144	2	s'	reflexive
144	6	che	nominative
144	7	la	accusative
145	4	ciascun	ablative
147	5	si	reflexive
148	1	che	nominative
148	8	si	reflexive
