line	token	word	case
1	4	colui	genitive
1	5	che	nominative
1	6	tutto	accusative
4	3	che	nominative
5	2	io	nominative
5	6	che	accusative
6	5	chi	nominative
7	3	sé	reflexive
8	3	si	reflexive
10	2	quant'	accusative
10	3	io	nominative
14	1	fammi	accusative
17	2	mi	dative
18	1	m'	dative
22	5	mi	dative
22	6	ti	reflexive
24	5	io	nominative
25	2	mi	accusative
26	3	coronarmi	accusative
27	5	tu	nominative
27	6	mi	accusative
28	5	se	reflexive
28	6	ne	ablative
33	3	alcun	nominative
33	5	sé	ablative
35	5	me	ablative
36	1	si	reflexive
38	7	quella	ablative
39	1	che	nominative
48	4	li	dative
48	5	s'	reflexive
51	4	che	nominative
53	6	mio	genitive
53	7	si	reflexive
55	1	Molto	nominative
58	1	Io	nominative
58	2	nol	accusative
59	2	io	nominative
59	3	nol	accusative
60	3	che	nominative
62	4	quei	nominative
62	5	che	nominative
65	7	io	nominative
65	9	lei	ablative
67	6	mi	reflexive
68	1	qual	accusative
68	2	si	reflexive
69	2	'l	accusative
71	2	si	reflexive
72	2	cui	dative
73	2	i'	nominative
73	6	me	ablative
73	7	quel	nominative
73	8	che	accusative
74	3	che	nominative
75	1	tu	nominative
75	2	'l	accusative
75	8	mi	accusative
76	4	che	accusative
76	5	tu	nominative
77	3	sé	ablative
77	4	mi	accusative
78	4	che	accusative
79	1	parvemi	dative
81	4	alcun	accusative
83	2	lor	genitive
83	4	m'	dative
85	2	ella	nominative
85	3	che	nominative
85	5	me	accusative
85	8	io	nominative
86	2	quïetarmi	dative
87	3	io	nominative
88	3	Tu	nominative
88	5	ti	reflexive
90	1	ciò	accusative
90	2	che	nominative
90	5	l'	accusative
91	1	Tu	nominative
91	8	tu	nominative
93	4	tu	nominative
93	5	ch'	nominative
93	7	esso	ablative
94	2	io	nominative
99	2	io	nominative
100	2	ella	nominative
101	5	me	ablative
102	1	che	accusative
104	4	loro	ablative
104	6	questo	nominative
105	1	che	nominative
107	6	qual	nominative
108	2	quale	dative
109	4	ch'	accusative
109	5	io	nominative
111	4	loro	genitive
112	2	si	reflexive
113	9	ciascuna	nominative
114	4	lei	dative
114	7	la	accusative
115	1	Questi	nominative
115	2	ne	ablative
116	1	questi	nominative
117	1	questi	nominative
117	5	sé	ablative
118	5	che	nominative
120	2	quelle	accusative
120	3	c'	nominative
121	3	che	nominative
123	2	qual	ablative
123	3	si	reflexive
123	5	quel	nominative
123	6	c'	nominative
125	1	cen	locative+ablative
126	1	che	nominative
126	2	ciò	accusative
126	3	che	accusative
127	7	s'	reflexive
130	5	si	reflexive
131	4	c'	nominative
133	5	si	reflexive
135	1	l'	accusative
139	4	te	ablative
140	4	ti	reflexive
