line	token	word	case
2	9	essi	ablative
3	6	s'	reflexive
4	2	quella	nominative
4	7	io	nominative
5	1	mi	dative
5	3	tu	nominative
5	4	ti	reflexive
7	5	che	nominative
8	6	s'	reflexive
9	6	si	reflexive
10	3	si	reflexive
12	3	che	nominative
13	1	Noi	nominative
14	1	che	nominative
18	5	ti	dative
19	1	Qual	nominative
19	3	qual	nominative
21	2	io	nominative
21	3	mi	reflexive
22	2	quanto	nominative
22	3	m'	dative
24	3	un	accusative
25	4	che	nominative
27	2	cui	ablative
28	6	che	ablative
29	2	io	nominative
30	3	nol	accusative
32	4	io	nominative
33	1	che	nominative
36	1	si	reflexive
38	3	sé	accusative
40	4	me	dative
41	4	che	nominative
42	6	si	reflexive
43	2	quel	nominative
43	3	che	nominative
43	6	ci	locative
43	7	si	reflexive
44	1	si	reflexive
44	6	io	nominative
45	1	Io	nominative
45	6	che	nominative
45	7	tu	nominative
45	8	m'	accusative
46	2	quella	nominative
46	4	io	nominative
47	6	si	reflexive
47	9	io	nominative
48	7	io	nominative
49	3	ella	nominative
49	4	che	nominative
50	4	colui	genitive
50	5	che	nominative
51	1	mi	dative
52	2	io	nominative
53	2	mi	accusative
54	3	colei	ablative
54	4	che	nominative
54	7	mi	dative
55	3	che	nominative
55	4	ti	reflexive
56	6	fammi	dative
57	3	che	nominative
57	6	mi	ablative
57	7	t'	dative
58	4	si	reflexive
60	1	che	nominative
61	1	Tu	nominative
62	3	me	ablative
62	7	si	reflexive
63	2	quel	ablative
63	3	che	accusative
65	5	farti	dative
66	7	che	nominative
66	8	mi	accusative
67	4	mi	accusative
69	5	ti	dative
70	5	che	nominative
70	6	ci	accusative
71	4	che	nominative
72	5	tu	nominative
73	1	Io	nominative
73	5	io	nominative
76	2	questo	nominative
76	4	quel	nominative
76	5	ch'	nominative
76	8	mi	dative
80	1	che	nominative
81	2	sé	reflexive
82	5	che	nominative
83	4	me	ablative
83	5	s'	reflexive
84	3	questa	ablative
84	5	ch'	ablative
84	6	io	nominative
84	7	m'	reflexive
85	2	cui	genitive
86	1	mi	accusative
86	4	me	ablative
86	7	i'	nominative
87	6	quale	genitive
88	5	ond'	ablative
88	6	io	nominative
89	8	ella	nominative
91	6	che	nominative
91	8	si	reflexive
92	3	che	nominative
94	4	s'	reflexive
95	5	quel	accusative
95	6	che	accusative
97	6	tu	nominative
98	1	questo	accusative
100	3	che	nominative
102	1	quel	nominative
102	2	che	nominative
102	8	l'	accusative
103	2	mi	dative
104	2	io	nominative
104	7	mi	reflexive
105	2	dimandarla	accusative
105	4	chi	nominative
109	5	che	nominative
109	6	si	reflexive
110	4	quale	ablative
111	1	che	nominative
112	2	ricominciommi	reflexive
114	5	mi	accusative
115	1	che	nominative
120	6	si	reflexive
121	5	io	nominative
124	4	m'	dative
126	1	che	nominative
126	7	si	reflexive
130	6	chi	nominative
131	5	chi	nominative
131	6	li	accusative
132	5	chi	nominative
132	8	li	accusative
133	5	loro	genitive
135	3	che	nominative
136	5	io	nominative
137	7	girarsi	reflexive
138	4	le	accusative
139	3	questa	ablative
142	2	io	nominative
142	3	lo	accusative
142	6	mi	accusative
