line	token	word	case
2	1	che	nominative
4	7	si	reflexive
6	4	lui	ablative
6	5	chi	nominative
6	6	ciò	accusative
8	1	meco	ablative
9	8	si	reflexive
11	4	che	nominative
11	7	sé	ablative
11	8	l'	accusative
12	5	lei	ablative
13	5	si	reflexive
14	4	che	nominative
15	5	che	nominative
15	6	li	accusative
16	5	lor	dative
22	2	ti	dative
23	4	ciò	ablative
23	5	che	nominative
23	6	si	reflexive
25	2	t'	accusative
25	7	te	ablative
25	8	ti	accusative
26	3	sé	dative
27	3	ond'	ablative
27	4	io	nominative
29	1	che	nominative
30	7	ne	ablative
31	4	che	nominative
31	6	si	reflexive
32	2	si	reflexive
33	2	che	ablative
33	6	s'	reflexive
34	2	io	nominative
34	5	lui	ablative
35	2	m'	reflexive
35	4	io	nominative
35	9	s'	reflexive
37	3	quella	nominative
37	4	che	nominative
39	8	si	reflexive
40	5	sé	ablative
41	1	quel	nominative
41	2	ch'	nominative
41	8	io	nominative
41	10	mi	reflexive
43	2	io	nominative
44	2	nol	accusative
44	6	s'	reflexive
45	7	si	reflexive
48	8	ch'	nominative
50	5	che	nominative
50	7	la	accusative
54	2	t'	accusative
56	5	rendersi	reflexive
58	5	mi	reflexive
58	7	io	nominative
59	8	lui	ablative
59	9	si	reflexive
61	2	le	dative
61	6	se	reflexive
61	7	ne	ablative
64	1	Io	nominative
65	3	noi	ablative
65	7	sé	ablative
69	6	che	nominative
70	6	ond'	ablative
70	7	io	nominative
71	1	si	reflexive
72	4	si	reflexive
74	1	chi	nominative
74	3	s'	reflexive
77	1	si	reflexive
77	6	noi	ablative
79	2	mi	dative
80	3	s'	reflexive
82	5	un	ablative
83	6	onde	ablative
83	7	s'	reflexive
84	4	che	nominative
85	3	te	ablative
86	2	ti	accusative
87	4	nessun	nominative
88	1	qual	nominative
88	2	ti	dative
90	5	ch'	nominative
90	9	si	reflexive
91	1	Tu	nominative
91	7	s'	reflexive
92	3	che	nominative
93	4	ch'	nominative
93	7	t'	accusative
94	1	Io	nominative
95	1	che	nominative
96	3	s'	reflexive
96	7	si	reflexive
97	1	Questi	nominative
97	2	che	nominative
97	3	m'	dative
98	4	fummi	dative
98	6	esso	nominative
99	5	io	nominative
104	3	che	nominative
106	2	altro	nominative
106	3	ch'	nominative
107	4	che	nominative
109	4	ch'	nominative
109	7	noi	ablative
112	2	v'	locative
116	1	che	nominative
120	2	cui	genitive
120	5	si	reflexive
121	3	tu	nominative
125	4	che	nominative
126	4	chi	dative
126	6	lei	ablative
127	3	ond'	ablative
127	4	ella	nominative
128	5	essa	nominative
132	1	che	nominative
133	1	Questi	nominative
133	2	onde	ablative
133	4	me	dative
134	7	che	nominative
135	4	li	dative
136	1	essa	nominative
137	1	che	nominative
139	4	che	nominative
140	4	che	nominative
141	6	l'	accusative
145	3	ïo	nominative
148	6	s'	reflexive
