line	start	end	head	text
1	6	7	7	suo verbo
2	1	3	2	quello specchio beato
2	5	5	5	io
3	1	2	2	lo mio
3	5	5	5	dolce
3	6	7	7	l'acerbo
4	2	8	3	quella donna ch'a Dio mi menava
4	2	3	3	quella donna
4	3	3	3	donna
4	6	6	6	Dio
5	3	3	3	pensier
5	6	6	6	i'
6	3	7	3	colui ch'ogne torto disgrava
6	3	3	3	colui
6	5	6	6	ogne torto
6	6	6	6	torto
7	1	1	1	Io
7	5	7	7	l'amoroso suono
8	2	3	3	mio conforto
8	5	5	5	qual
8	6	6	6	io
9	2	4	3	li occhi santi
9	5	5	5	amor
9	7	8	8	l'abbandono
10	3	3	3	io
10	6	7	7	mio parlar
11	3	8	4	la mente che non può redire
11	3	4	4	la mente
12	2	2	2	sé
12	5	5	5	altri
12	7	7	7	la
13	3	3	3	io
13	5	6	6	quel punto
14	3	3	3	lei
14	4	6	6	lo mio affetto
14	5	6	6	mio affetto
15	4	6	6	ogne altro disire
15	5	6	6	altro disire
16	3	5	4	'l piacere etterno
16	4	5	4	piacere etterno
16	4	4	4	piacere
17	3	3	3	Bëatrice
17	4	6	6	dal bel viso
17	5	6	6	bel viso
17	6	6	6	viso
18	3	5	5	col secondo aspetto
18	4	5	5	secondo aspetto
18	5	5	5	aspetto
19	2	2	2	me
19	4	7	4	lume d'un sorriso
19	6	7	7	un sorriso
20	1	1	1	ella
20	2	2	2	mi
20	4	4	4	+ti
21	5	6	6	miei occhi
21	8	8	8	paradiso
22	5	6	6	alcuna volta
23	1	2	2	l'affetto
23	4	5	5	la vista
23	7	7	7	elli
24	3	3	3	lui
24	5	7	7	tutta l'anima
24	6	7	7	l'anima
25	3	6	3	fiammeggiar del folgór santo
25	5	6	5	folgór santo
26	3	3	3	io
26	7	8	8	la voglia
27	2	2	2	lui
27	4	6	4	ragionarmi ancora alquanto
27	4	4	4	+mi
28	1	1	1	El
28	4	6	6	questa quinta soglia
28	5	6	6	quinta soglia
29	2	8	3	l'albero che vive de la cima
29	2	3	3	l'albero
29	7	8	8	la cima
30	8	8	8	foglia
31	1	1	1	spiriti
32	4	4	4	ciel
32	7	8	8	gran voce
