line	start	end	head	text
1	2	2	2	centro
1	4	4	4	cerchio
1	8	8	8	cerchio
1	10	10	10	centro
2	2	3	3	l'acqua
2	5	7	7	un ritondo vaso
3	5	5	5	fuori
3	7	7	7	dentro
4	2	4	4	la mia mente
4	3	4	4	mia mente
4	6	7	7	sùbito caso
5	1	4	1	questo ch'io dico
5	1	1	1	questo
5	3	3	3	io
6	1	5	3	la glorïosa vita di Tommaso
6	1	3	3	la glorïosa vita
6	3	5	3	vita di Tommaso
6	5	5	5	Tommaso
7	2	5	3	la similitudine che nacque
7	2	3	3	la similitudine
8	2	3	3	suo parlare
8	6	8	6	quel di Beatrice
8	8	8	8	Beatrice
9	2	2	2	cui
9	4	4	4	cominciar
9	6	6	6	lui
10	2	2	2	costui
10	4	4	4	mestieri
10	6	6	6	+lo
11	3	4	4	la voce
12	2	8	5	un altro vero andare a la radice
12	2	5	5	un altro vero andare
12	3	5	5	altro vero andare
12	4	5	5	vero andare
12	7	8	8	la radice
13	1	1	1	+lo
13	3	7	4	la luce onde s'infiora
13	3	4	4	la luce
14	1	2	2	vostra sustanza
14	5	5	5	voi
15	4	4	4	ell'
16	0	0	0	
17	0	0	0	
18	4	5	5	al veder
18	7	7	7	vi
18	8	8	8	nòi
19	3	4	4	più letizia
20	2	3	3	la fïata
20	4	8	4	quei che vanno a rota
20	4	4	4	quei
20	8	8	8	rota
21	2	3	3	la voce
21	6	7	7	li atti
22	3	7	4	l'orazion pronta e divota
22	4	7	4	orazion pronta e divota
22	4	4	4	orazion
23	1	2	2	li santi
23	2	2	2	santi
23	5	6	6	nova gioia
23	6	6	6	gioia
24	2	2	2	torneare
24	5	7	6	la mira nota
24	6	7	6	mira nota
24	6	6	6	mira
25	1	1	1	Qual
26	2	2	2	viver
27	1	6	2	lo refrigerio de l'etterna ploia
27	1	2	2	lo refrigerio
27	4	6	6	l'etterna ploia
28	1	6	2	Quell' uno e due e tre
28	1	2	2	Quell' uno
28	2	6	2	uno e due e tre
28	2	2	2	uno
28	4	4	4	due
28	6	6	6	tre
29	5	11	5	tre e 'n due e 'n uno
29	5	5	5	tre
29	8	8	8	due
29	11	11	11	uno
30	1	2	2	non circunscritto
30	4	4	4	tutto
31	1	2	2	tre volte
31	6	6	6	ciascuno
32	2	6	3	quelli spirti con tal melodia
32	2	3	3	quelli spirti
32	3	6	3	spirti con tal melodia
32	5	6	6	tal melodia
33	3	4	4	ogne merto
33	6	7	7	giusto muno
34	2	2	2	io
34	5	8	6	la luce più dia
34	6	8	6	luce più dia
35	1	3	3	del minor cerchio
35	2	3	3	minor cerchio
35	4	6	5	una voce modesta
35	5	6	5	voce modesta
36	5	6	6	l'angelo
36	8	8	8	Maria
37	5	6	6	la festa
38	2	2	2	paradiso
38	4	6	6	il nostro amore
39	4	5	5	cotal vesta
40	1	3	3	La sua chiarezza
40	5	6	6	l'ardore
41	1	2	2	l'ardor
41	3	4	4	la visïone
41	6	6	6	quella
42	4	4	4	grazia
42	6	7	7	suo valore
43	2	6	3	la carne glorïosa e santa
43	3	6	3	carne glorïosa e santa
44	3	5	5	la nostra persona
44	4	5	5	nostra persona
45	5	7	5	esser tutta quanta
45	6	7	7	tutta quanta
46	5	8	5	ciò che ne dona
46	5	5	5	ciò
47	2	3	3	gratüito lume
47	3	3	3	lume
47	4	6	6	il sommo bene
47	5	6	6	sommo bene
47	6	6	6	bene
48	1	7	1	lume ch'a lui veder ne condiziona
48	1	1	1	lume
48	4	4	4	lui
48	5	5	5	veder
49	2	3	3	la visïon
50	2	8	3	l'ardor che di quella s'accende
50	2	3	3	l'ardor
50	6	6	6	quella
51	2	7	3	lo raggio che da esso vene
51	2	3	3	lo raggio
51	6	6	6	esso
52	4	7	4	carbon che fiamma rende
52	4	4	4	carbon
52	6	6	6	fiamma
53	3	4	4	vivo candor
53	4	4	4	candor
53	5	5	5	quella
54	3	5	5	la sua parvenza
54	4	5	5	sua parvenza
