line	start	end	head	text
1	1	2	2	Benigna volontade
1	2	2	2	volontade
1	4	4	4	che
2	2	6	3	l'amor che drittamente spira
2	2	3	3	l'amor
2	3	3	3	amor
2	4	4	4	che
3	2	2	2	cupidità
3	5	6	6	la iniqua
3	6	6	6	iniqua
4	1	1	1	silenzio
4	4	6	6	quella dolce lira
5	4	6	6	le sante corde
6	2	5	3	la destra del cielo
6	2	3	3	la destra
6	5	5	5	cielo
7	4	5	5	giusti preghi
8	1	6	2	quelle sustanze che, per darmi voglia
8	1	2	2	quelle sustanze
8	3	3	3	che
8	6	6	6	voglia
9	2	2	2	io
9	3	3	3	le
10	1	1	1	Bene
10	5	5	5	termine
11	1	1	1	chi
11	3	8	3	amor di cosa che non duri
11	3	3	3	amor
11	5	8	5	cosa che non duri
11	5	5	5	cosa
12	2	3	3	quello amor
12	3	3	3	amor
13	3	7	4	li seren tranquilli e puri
14	3	3	3	ora
14	5	5	5	or
14	6	7	7	sùbito foco
15	2	6	3	li occhi che stavan sicuri
15	2	3	3	li occhi
16	3	6	3	stella che tramuti loco
16	3	3	3	stella
16	6	6	6	loco
17	5	10	6	la parte ond' e' s'accende
17	5	6	6	la parte
18	1	1	1	nulla
18	5	5	5	esso
19	1	1	1	tale
19	3	3	3	corno
19	6	6	6	destro
20	2	5	2	piè di quella croce
20	2	2	2	piè
20	4	5	5	quella croce
20	5	5	5	croce
20	7	8	8	un astro
20	8	8	8	astro
21	2	6	3	la costellazion che lì resplende
21	2	3	3	la costellazion
21	3	3	3	costellazion
22	4	5	5	la gemma
22	7	8	8	suo nastro
23	3	5	4	la lista radïal
24	3	3	3	foco
24	6	6	6	alabastro
25	3	6	4	l'ombra d'Anchise
25	3	4	4	l'ombra
25	6	6	6	Anchise
26	2	2	2	fede
26	4	6	6	nostra maggior musa
27	3	5	3	Eliso del figlio
27	3	3	3	Eliso
27	5	5	5	figlio
28	2	3	2	sanguis meus
28	2	2	2	sanguis
29	1	2	1	gratïa Deï
29	1	1	1	gratïa
29	2	2	2	Deï
29	4	4	4	tibi
29	5	5	5	cui
30	3	5	4	celi ianüa reclusa
30	3	3	3	celi
30	4	5	4	ianüa reclusa
30	4	4	4	ianüa
31	2	3	3	quel lume
31	5	5	5	io
31	9	9	9	lui
32	4	6	6	la mia donna
32	5	6	6	mia donna
32	7	8	8	il viso
33	0	0	0	
34	4	6	5	li occhi suoi
34	5	6	5	occhi suoi
34	8	9	9	un riso
35	1	1	1	tal
35	3	3	3	io
35	6	6	6	miei
35	8	9	9	lo fondo
36	2	4	4	la mia gloria
36	3	4	4	mia gloria
36	6	8	8	del mio paradiso
36	7	8	8	mio paradiso
37	3	3	3	udire
37	6	6	6	veder
38	2	3	3	lo spirto
38	5	7	6	suo principio cose
38	5	6	6	suo principio
38	6	7	6	principio cose
38	7	7	7	cose
39	2	2	2	io
39	4	4	4	lo
40	3	3	3	elezïon
41	3	3	3	necessità
41	5	7	7	'l suo concetto
42	2	5	2	segno d'i mortal
42	4	5	5	i mortal
43	3	8	4	l'arco de l'ardente affetto
43	6	8	8	l'ardente affetto
44	5	6	6	'l parlar
45	2	6	3	lo segno del nostro intelletto
45	5	6	6	nostro intelletto
46	1	8	3	la prima cosa che per me s'intese
46	1	3	3	la prima cosa
46	6	6	6	me
47	3	3	3	tu
47	5	7	5	trino e uno
47	5	5	5	trino
47	7	7	7	uno
48	3	4	4	mio seme
49	3	6	6	Grato e lontano digiuno
50	3	5	5	del magno volume
50	4	5	5	magno volume
51	1	1	1	du'
51	6	8	6	bianco né bruno
51	6	6	6	bianco
51	8	8	8	bruno
52	3	3	3	figlio
52	6	7	7	questo lume
53	6	8	6	mercè di colei
53	8	8	8	colei
54	3	5	5	l'alto volo
54	8	9	9	le piume
