line	start	end	head	text
1	2	7	2	voi che siete in piccioletta barca
1	2	2	2	voi
1	6	7	7	piccioletta barca
2	1	3	1	desiderosi d'ascoltar
2	1	1	1	desiderosi
2	3	3	3	ascoltar
2	4	4	4	seguiti
3	3	7	4	mio legno che cantando varca
3	3	4	4	mio legno
4	4	6	6	li vostri liti
4	5	6	6	vostri liti
5	2	2	2	vi
5	5	5	5	pelago
6	2	2	2	me
7	1	5	2	L'acqua ch'io prendo
7	1	2	2	L'acqua
7	4	4	4	io
8	1	1	1	Minerva
8	5	5	5	Appollo
9	2	3	3	nove Muse
9	3	3	3	Muse
9	4	4	4	mi
9	4	4	4	mi
9	6	7	7	l'Orse
9	7	7	7	Orse
10	1	6	1	Voialtri pochi che drizzaste il collo
10	1	2	1	Voialtri pochi
10	5	6	6	il collo
11	2	2	2	tempo
11	4	7	4	pan de li angeli
11	6	7	7	li angeli
11	9	9	9	quale
12	5	5	5	sen
12	7	7	7	satollo
13	5	7	7	l'alto sale
14	1	2	2	vostro navigio
14	4	5	5	mio solco
15	3	7	4	l'acqua che ritorna equale
15	3	4	4	l'acqua
16	1	6	2	Que' glorïosi che passaro al Colco
16	1	2	2	Que' glorïosi
16	6	6	6	Colco
17	5	5	5	voi
18	2	2	2	Iasón
18	5	5	5	bifolco
19	1	5	5	La concreata e perpetüa sete
20	2	3	3	deïforme regno
21	4	5	5	'l ciel
22	1	1	1	Beatrice
22	3	3	3	suso
22	5	5	5	io
22	7	7	7	lei
23	4	4	4	tanto
23	6	6	6	quanto
23	7	8	8	un quadrel
24	5	6	6	la noce
25	5	6	6	mirabil cosa
26	3	4	4	il viso
26	6	6	6	sé
26	9	9	9	quella
27	1	1	1	cui
27	4	5	5	mia cura
28	3	3	3	me
29	2	6	3	la mente in Dio grata
29	2	3	3	la mente
29	5	5	5	Dio
29	7	7	7	mi
30	2	2	2	n'
30	6	8	8	la prima stella
31	3	3	3	me
31	5	5	5	nube
31	6	6	6	ne
32	0	0	0	
33	2	6	2	adamante che lo sol ferisse
33	2	2	2	adamante
33	3	3	3	che
33	4	5	5	lo sol
34	3	3	3	sé
34	4	6	6	l'etterna margarita
35	1	1	1	ne
35	4	4	4	acqua
36	1	3	1	raggio di luce
36	3	3	3	luce
37	2	2	2	io
37	4	4	4	corpo
38	2	4	3	una dimensione altra
38	3	4	3	dimensione altra
38	3	3	3	dimensione
39	5	7	5	corpo in corpo
39	5	5	5	corpo
39	5	5	5	corpo
40	5	6	6	il disio
41	3	8	4	quella essenza in che si vede
41	3	4	4	quella essenza
42	2	5	3	nostra natura e Dio
42	2	3	3	nostra natura
42	5	5	5	Dio
43	4	8	4	ciò che tenem per fede
43	8	8	8	fede
44	6	6	6	sé
45	2	9	2	guisa del ver primo che l'uom crede
45	4	9	4	ver primo che l'uom crede
45	4	5	4	ver primo
45	7	8	8	l'uom
46	1	1	1	Io
46	3	3	3	Madonna
47	6	6	6	lui
48	1	2	2	lo qual
48	4	5	5	mortal mondo
48	6	6	6	m'
49	5	7	6	li segni bui
50	2	3	3	questo corpo
50	8	8	8	terra
51	3	3	3	Cain
51	5	5	5	altrui
52	1	1	1	Ella
52	7	7	7	elli
53	1	2	2	l'oppinïon
53	3	3	3	mi
53	6	7	7	i mortali
54	2	4	2	chiave di senso
54	4	4	4	senso
55	6	7	7	li strali
56	2	2	2	ammirazione
56	7	7	7	sensi
57	3	4	4	la ragione
57	6	8	8	corte l'ali
58	3	9	3	quel che tu da te ne pensi
58	7	7	7	te
59	2	2	2	io
59	3	9	3	Ciò che n'appar qua sù diverso
60	4	8	5	i corpi rari e densi
61	2	2	2	ella
61	6	6	6	sommerso
62	2	2	2	falso
62	3	5	4	il creder tuo
62	4	5	4	creder tuo
63	1	7	2	l'argomentar ch'io li farò avverso
63	1	2	2	l'argomentar
63	4	4	4	io
63	5	5	5	li
64	1	3	2	La spera ottava
64	2	2	2	spera
64	6	6	6	molti
65	1	1	1	lumi
65	2	3	3	li quali
65	3	3	3	quali
65	6	6	6	quale
65	9	9	9	quanto
66	5	6	6	diversi volti
66	6	6	6	volti
67	2	4	2	raro e denso
67	2	2	2	raro
67	4	4	4	denso
67	5	5	5	ciò
68	1	3	3	una sola virtù
68	6	6	6	tutti
69	1	6	4	più e men distributa e altrettanto
69	1	4	4	più e men distributa
69	4	4	4	distributa
69	6	6	6	altrettanto
