line	token	word	case
2	1	che	accusative
5	3	che	accusative
6	1	ci	reflexive
7	6	io	nominative
8	1	che	nominative
9	2	qual	nominative
11	3	s'	reflexive
12	7	i	dative
13	5	io	nominative
14	2	lui	dative
15	3	elli	nominative
15	7	ciò	ablative
18	7	che	nominative
19	1	Tutti	nominative
20	4	ti	dative
22	4	ch'	accusative
24	7	altrui	accusative
27	6	li	accusative
29	3	si	reflexive
31	4	sé	ablative
31	7	si	reflexive
32	5	loro	ablative
35	3	si	reflexive
37	1	onde	ablative
37	4	ciascun	nominative
37	5	che	nominative
38	4	tutti	accusative
40	5	sé	ablative
42	6	si	reflexive
43	1	qualunque	nominative
43	3	sé	accusative
47	6	quella	accusative
51	2	chi	nominative
52	3	ond'	ablative
53	6	colui	ablative
53	7	che	nominative
53	9	lui	ablative
54	3	quel	ablative
54	4	che	nominative
56	6	che	accusative
57	5	s'	reflexive
58	4	chi	nominative
61	7	s'	reflexive
62	1	che	accusative
62	6	ch'	nominative
63	2	che	ablative
63	6	si	reflexive
64	1	onde	ablative
65	6	che	ablative
67	2	io	nominative
69	6	ch'	nominative
69	7	e'	accusative
70	2	dimmi	dative
70	3	quei	nominative
71	1	che	accusative
71	6	che	accusative
72	2	che	nominative
72	3	s'	reflexive
74	2	ei	nominative
74	6	li	accusative
75	4	li	accusative
76	2	elli	nominative
76	4	me	ablative
77	6	quel	ablative
77	7	che	nominative
79	2	ti	dative
80	3	quai	ablative
81	4	che	accusative
85	2	tu	nominative
86	6	chi	accusative
86	8	quelli	nominative
87	1	che	nominative
88	1	tu	nominative
90	4	li	accusative
91	3	che	nominative
92	1	tu	nominative
92	2	mi	accusative
92	6	tu	nominative
93	7	m'	dative
94	6	ti	reflexive
95	2	io	nominative
97	2	mi	dative
97	5	chi	nominative
97	6	la	accusative
101	3	tu	nominative
102	1	tu	nominative
103	5	quella	nominative
106	5	tu	nominative
106	6	ti	reflexive
110	2	sé	ablative
111	5	altro	ablative
112	2	seguimi	accusative
112	7	mi	dative
115	7	si	reflexive
