line	token	word	case
1	1	Chi	nominative
3	2	i'	nominative
6	1	c'	nominative
7	2	el	nominative
7	3	s'	reflexive
8	1	che	nominative
11	1	che	nominative
13	2	quella	ablative
13	3	che	nominative
15	5	cui	genitive
15	8	s'	reflexive
17	1	ciascun	nominative
23	2	io	nominative
23	4	un	accusative
23	7	si	reflexive
24	6	si	reflexive
27	1	che	nominative
27	5	quel	genitive
27	6	che	nominative
27	7	si	reflexive
28	3	tutto	accusative
28	5	lui	ablative
28	7	m'	reflexive
29	1	guardommi	accusative
29	6	s'	reflexive
30	5	io	nominative
30	6	mi	reflexive
32	3	me	ablative
32	4	sen	reflexive+ablative
34	5	che	accusative
34	6	tu	nominative
37	6	che	nominative
37	7	n'	ablative
39	2	ciascun	accusative
42	3	altri	nominative
42	5	li	accusative
43	2	tu	nominative
43	3	chi	nominative
43	5	che	nominative
45	1	ch'	nominative
46	3	'l	accusative
46	8	'l	accusative
47	6	tormentarlo	accusative
48	4	lui	dative
49	2	me	dative
49	7	menarlo	accusative
51	2	quest'	nominative
51	7	io	nominative
51	8	ti	dative
52	5	che	nominative
52	7	l'	accusative
53	1	s'	reflexive
53	6	riguardarmi	accusative
55	8	s'	reflexive
56	1	tu	vocative
56	2	che	nominative
57	2	ello	nominative
57	7	seguitarmi	accusative
62	2	mi	dative
63	6	lo	accusative
64	2	altro	nominative
64	3	che	nominative
69	1	ch'	nominative
70	4	tu	vocative
70	5	cui	accusative
71	2	cu'	accusative
71	3	io	nominative
72	5	m'	accusative
73	1	rimembriti	reflexive
75	1	che	nominative
79	5	lor	genitive
85	3	che	nominative
86	5	che	nominative
86	8	meco	ablative
88	2	venirli	accusative
88	5	seco	ablative
90	3	lor	genitive
91	2	io	nominative
91	4	lui	dative
91	5	Dimostrami	dative
92	4	i'	nominative
92	8	te	genitive
93	1	chi	nominative
93	3	colui	nominative
95	8	li	dative
96	2	Questi	nominative
96	4	desso	nominative
97	1	Questi	nominative
99	4	l'	accusative
100	3	mi	dative
102	2	ch'	nominative
103	2	un	nominative
103	3	ch'	nominative
106	3	ti	reflexive
107	1	che	nominative
108	1	che	nominative
109	2	io	nominative
109	3	li	dative
110	3	elli	nominative
112	2	io	nominative
113	5	io	nominative
114	5	contarla	accusative
115	5	m'	dative
116	4	che	nominative
117	5	sentirsi	reflexive
118	1	Io	nominative
118	8	io	nominative
118	9	'l	accusative
122	1	pesol	accusative
123	2	quel	nominative
123	4	noi	accusative
123	8	me	accusative
124	2	sé	ablative
124	5	sé	ablative
126	4	quei	nominative
126	6	che	nominative
129	2	appressarne	ablative
130	1	che	nominative
131	1	tu	nominative
131	2	che	nominative
132	3	alcuna	nominative
132	7	questa	ablative
133	3	tu	nominative
133	5	me	genitive
134	3	i'	nominative
134	8	quelli	nominative
135	1	che	nominative
136	1	Io	nominative
136	9	sé	ablative
139	2	io	nominative
141	4	ch'	nominative
142	2	s'	reflexive
142	5	me	ablative
