line	token	word	case
1	1	Io	nominative
2	2	noi	nominative
3	4	n'	ablative
4	4	che	accusative
6	5	il	accusative
7	2	io	nominative
7	3	mi	reflexive
8	2	Questo	nominative
8	3	che	accusative
8	6	che	accusative
9	5	chi	nominative
9	7	quei	nominative
9	8	che	nominative
9	9	'l	accusative
10	2	elli	nominative
10	4	me	dative
11	4	quello	accusative
11	5	che	nominative
11	6	s'	reflexive
12	6	nol	accusative
12	7	ti	dative
13	6	sé	ablative
14	1	che	nominative
15	2	io	nominative
16	6	noi	ablative
16	8	quella	ablative
18	1	che	nominative
19	3	tu	nominative
21	3	ci	accusative
22	1	Qual	nominative
22	3	colui	nominative
22	4	che	nominative
23	2	li	dative
23	7	se	reflexive
23	8	ne	ablative
26	3	mi	accusative
26	7	lui	ablative
27	4	io	nominative
28	6	io	nominative
29	2	se	reflexive
29	3	ne	ablative
30	9	altrui	ablative
31	2	noi	nominative
32	2	mi	dative
32	3	si	reflexive
33	3	Chi	nominative
33	5	tu	nominative
33	6	che	nominative
34	2	io	nominative
34	4	lui	ablative
34	6	i'	nominative
35	2	tu	nominative
35	3	chi	nominative
36	5	un	nominative
36	6	che	nominative
37	2	io	nominative
37	4	lui	dative
38	3	ti	reflexive
39	2	i'	nominative
39	3	ti	accusative
41	6	lo	accusative
43	7	mi	dative
44	1	basciommi	dative
45	2	colei	nominative
45	3	che	nominative
45	5	te	ablative
45	6	s'	reflexive
46	1	Quei	nominative
48	2	s'	reflexive
49	1	Quanti	nominative
49	2	si	reflexive
50	1	che	nominative
51	2	sé	genitive
52	2	io	nominative
53	2	vederlo	accusative
54	3	noi	nominative
55	2	elli	nominative
55	4	me	ablative
56	1	ti	dative
56	2	si	reflexive
56	5	tu	nominative
57	6	tu	nominative
58	2	ciò	ablative
58	5	io	nominative
59	3	costui	genitive
60	4	ne	ablative
60	7	ne	ablative
61	1	Tutti	nominative
63	2	sé	ablative
63	4	si	reflexive
64	2	il	accusative
64	7	ne	ablative
65	5	mi	accusative
66	3	io	nominative
68	1	s'	reflexive
68	5	c'	nominative
70	2	io	nominative
73	3	ei	nominative
73	4	mi	dative
74	1	ch'	nominative
74	3	l'	accusative
74	5	le	accusative
75	2	tu	nominative
76	1	Noi	nominative
77	1	che	nominative
78	3	mi	dative
81	1	Usciteci	locative
82	1	Io	nominative
83	4	che	nominative
84	2	Chi	nominative
84	4	costui	nominative
84	5	che	nominative
87	3	lor	dative
89	4	tu	nominative
89	7	quei	nominative
89	8	sen	reflexive+ablative
90	1	che	nominative
91	2	si	reflexive
92	5	tu	nominative
93	1	che	accusative
93	2	li	accusative
94	4	io	nominative
94	5	mi	reflexive
96	4	ritornarci	locative
97	5	che	nominative
98	2	m'	dative
99	4	che	nominative
99	6	mi	accusative
100	2	mi	accusative
100	5	io	nominative
101	7	ci	dative
103	4	che	nominative
103	6	m'	accusative
104	1	mi	dative
105	2	ci	dative
105	5	alcun	nominative
105	8	n'	ablative
106	3	m'	accusative
108	2	i'	nominative
108	4	ti	accusative
109	2	sen	reflexive+ablative
109	6	m'	accusative
110	5	io	nominative
111	7	mi	dative
112	4	quello	accusative
112	5	ch'	accusative
112	7	lor	ablative
113	2	ei	nominative
113	7	essi	ablative
114	2	ciascun	nominative
114	6	si	reflexive
116	6	che	nominative
117	4	me	ablative
120	1	Chi	nominative
120	2	m'	dative
121	3	me	ablative
121	5	Tu	nominative
121	7	io	nominative
121	8	m'	reflexive
122	4	io	nominative
123	1	qual	nominative
123	7	s'	reflexive
125	3	l'	accusative
126	2	qual	nominative
126	6	si	reflexive
127	2	essa	ablative
128	6	lei	ablative
130	4	lui	ablative
130	5	ne	ablative
