line	token	word	case
6	2	vidila	accusative
9	5	lor	genitive
11	1	chi	nominative
11	7	chi	nominative
12	5	che	nominative
13	1	chi	nominative
13	6	chi	nominative
14	1	altri	nominative
14	5	altri	nominative
15	1	chi	nominative
18	1	che	nominative
19	1	I'	nominative
19	3	lei	accusative
19	8	essa	ablative
20	2	che	accusative
20	5	che	accusative
22	2	io	nominative
24	1	mi	accusative
24	4	sé	ablative
24	8	io	nominative
25	2	mi	reflexive
25	7	cui	dative
26	3	quel	accusative
26	4	che	accusative
26	5	li	dative
27	2	cui	dative
29	5	noi	ablative
31	3	elli	nominative
32	3	mi	dative
34	4	ch'	nominative
36	2	quei	nominative
38	2	un	accusative
39	1	Mettetel	accusative
39	4	i'	nominative
40	4	che	nominative
40	5	n'	ablative
41	3	v'	locative
42	6	vi	locative
42	7	si	reflexive
43	3	'l	accusative
44	1	si	reflexive
46	1	Quel	nominative
46	2	s'	reflexive
47	4	che	nominative
49	2	si	reflexive
50	3	tu	nominative
52	2	l'	accusative
58	7	si	reflexive
59	2	tu	nominative
59	5	mi	dative
59	8	t'	reflexive
60	7	t'	dative
61	5	che	nominative
61	6	mi	dative
62	3	tu	nominative
62	5	i'	nominative
65	3	el	nominative
66	2	li	dative
69	1	che	nominative
69	6	s'	reflexive
70	2	quei	nominative
71	4	lui	ablative
72	2	el	nominative
72	4	Nessun	nominative
72	6	voi	ablative
73	6	mi	accusative
74	1	traggasi	reflexive
74	4	un	nominative
74	6	voi	ablative
74	7	che	nominative
74	8	m'	accusative
75	4	arruncigliarmi	accusative
75	5	si	reflexive
76	1	Tutti	nominative
77	3	un	nominative
77	4	si	reflexive
78	4	lui	ablative
78	6	Che	nominative
78	7	li	accusative
79	2	tu	nominative
79	5	vedermi	accusative
84	2	i'	nominative
84	4	altrui	dative
85	2	li	dative
86	2	e'	nominative
86	3	si	reflexive
88	6	me	ablative
88	8	tu	vocative
88	9	che	nominative
90	4	me	ablative
90	5	ti	reflexive
91	3	io	nominative
91	4	mi	reflexive
91	8	lui	dative
92	4	si	reflexive
93	3	io	nominative
93	6	ei	nominative
94	3	ïo	nominative
96	2	sé	reflexive
97	1	I'	nominative
97	2	m'	reflexive
99	4	lor	genitive
99	5	ch'	nominative
100	1	Ei	nominative
100	8	'l	accusative
101	3	un	nominative
101	6	altro	ablative
102	6	gliel'	dative+accusative
103	4	che	nominative
104	4	si	reflexive
106	4	noi	dative
107	3	si	reflexive
109	7	vi	dative
110	1	andatevene	reflexive+ablative
111	6	che	nominative
115	1	Io	nominative
116	4	alcun	nominative
116	5	se	reflexive
116	6	ne	ablative
117	3	lor	ablative
118	2	ti	reflexive
119	2	elli	nominative
119	6	tu	nominative
125	1	costor	nominative
126	1	che	nominative
127	3	che	nominative
127	5	quel	nominative
127	6	ch'	accusative
127	7	i'	nominative
128	2	io	nominative
129	2	tu	nominative
129	6	i'	nominative
129	8	me	ablative
129	10	la	accusative
130	2	tu	nominative
131	3	tu	nominative
131	5	e'	nominative
132	5	ne	ablative
133	2	elli	nominative
133	4	me	ablative
133	8	tu	nominative
134	1	lasciali	accusative
135	2	e'	nominative
135	4	ciò	accusative
137	4	ciascun	nominative
138	4	lor	genitive
139	2	elli	nominative
