line	token	word	case
1	3	che	accusative
1	7	mi	dative
4	2	si	reflexive
4	6	ch'	nominative
5	4	nol	accusative
7	3	noi	ablative
8	2	el	nominative
8	6	ne	ablative
8	7	s'	reflexive
9	5	me	ablative
9	7	altri	nominative
10	1	I'	nominative
10	6	ei	nominative
11	5	altro	ablative
11	6	che	nominative
14	2	io	nominative
17	3	alcun	nominative
18	1	che	nominative
19	4	io	nominative
19	6	quei	nominative
20	2	mi	dative
20	4	che	nominative
20	6	noi	genitive
21	4	alcun	nominative
21	6	qual	ablative
21	7	io	nominative
24	1	che	nominative
25	5	me	genitive
26	2	ella	nominative
26	3	mi	accusative
27	2	trarne	ablative
28	1	Quell'	nominative
29	7	che	nominative
30	6	ti	accusative
31	3	che	nominative
34	2	altro	accusative
34	6	l'	accusative
35	5	m'	accusative
39	1	che	nominative
43	2	quei	nominative
43	3	che	nominative
45	2	mi	dative
46	1	Quest'	nominative
47	1	quella	nominative
47	2	che	nominative
48	8	tanto	ablative
49	4	si	reflexive
49	6	ciascuna	nominative
51	2	i'	nominative
51	3	mi	reflexive
52	4	'l	accusative
53	2	tutte	nominative
55	1	Volgiti	reflexive
56	5	si	reflexive
56	8	tu	nominative
56	9	'l	accusative
57	1	nulla	nominative
58	6	elli	nominative
59	1	mi	accusative
59	5	si	reflexive
60	7	mi	reflexive
61	2	voi	vocative
61	3	ch'	nominative
62	4	che	nominative
62	5	s'	reflexive
66	2	cui	ablative
69	1	che	nominative
73	3	mi	dative
77	5	si	reflexive
78	6	ciascuna	nominative
78	7	s'	reflexive
79	2	io	nominative
80	5	un	ablative
80	6	ch'	nominative
85	2	m'	reflexive
85	5	elli	nominative
86	2	volsimi	reflexive
86	6	quei	nominative
87	2	i'	nominative
87	8	esso	ablative
88	3	mi	dative
90	1	l'	accusative
90	5	v'	locative
92	2	elli	nominative
93	5	voi	ablative
93	6	s'	reflexive
95	2	cui	dative
96	2	che	nominative
96	5	v'	dative
97	1	Che	accusative
98	5	vi	dative
99	1	ne	ablative
100	2	si	reflexive
101	6	noi	dative
102	3	cui	accusative
103	1	che	nominative
103	2	quella	nominative
103	4	colui	genitive
103	5	che	nominative
103	6	li	dative
104	2	noi	nominative
106	2	li	ablative
107	2	io	nominative
107	3	ch'	nominative
108	3	che	accusative
109	2	io	nominative
114	1	ch'	nominative
122	3	n'	ablative
124	2	io	nominative
124	4	quai	nominative
125	1	che	nominative
126	1	si	reflexive
127	2	quelli	nominative
127	4	me	dative
128	2	lor	genitive
132	8	si	reflexive
