line	token	word	deprel	head_line	head_token
1	1	Quando	mark	7	3
1	2	il	det	1	3
1	3	settentrïon	nsubj	7	3
1	4	del	case	1	6
1	5	primo	amod	1	6
1	6	cielo	nmod	1	3
2	1	che	nsubj	2	5
2	2	né	cc	2	7
2	3	occaso	obj	2	5
2	4	mai	advmod	2	5
2	5	seppe	acl:relcl	1	3
2	6	né	cc	3	8
2	7	orto	conj	2	3
3	1	né	cc	3	8
3	2	d'	case	3	4
3	3	altra	amod	3	4
3	4	nebbia	nmod	3	8
3	5	che	nsubj	3	8
3	6	di	case	3	7
3	7	colpa	nmod	3	8
3	8	velo	conj	2	3
4	1	e	cc	4	3
4	2	che	nsubj	4	3
4	3	faceva	acl:relcl	1	3
4	4	lì	advmod	4	3
4	5	ciascun	obj	4	3
4	6	accorto	xcomp	4	3
5	1	di	case	5	3
5	2	suo	det:poss	5	3
5	3	dover	nmod	4	6
5	4	come	mark	5	8
5	5	'l	det	5	7
5	6	più	advmod	5	7
5	7	basso	nsubj	5	8
5	8	face	advcl	4	3
6	1	qual	nsubj	6	3
6	2	temon	acl:relcl	6	1
6	3	gira	advcl	5	8
6	4	per	case	6	5
6	5	venire	obl	6	3
6	6	a	case	6	7
6	7	porto	obl	6	5
7	1	fermo	advmod	7	3
7	2	s'	expl	7	3
7	3	affisse	advcl	9	3
7	4	la	det	7	5
7	5	gente	nsubj	9	3
7	6	verace	amod	7	5
8	1	venuta	acl	7	5
8	2	prima	advmod	8	1
8	3	tra	case	8	5
8	4	'l	det	8	5
8	5	grifone	obl	8	1
8	6	ed	cc	8	7
8	7	esso	conj	8	5
9	1	al	case	9	2
9	2	carro	obl	9	3
9	3	volse	root	0	0
9	4	sé	obj	9	3
9	5	come	mark	9	8
9	6	a	case	9	8
9	7	sua	det:poss	9	8
9	8	pace	obl	9	3
10	1	e	cc	12	1
10	2	un	nsubj	12	1
10	3	di	case	10	4
10	4	loro	nmod	10	2
10	5	quasi	advmod	10	8
10	6	da	case	10	7
10	7	ciel	obl	10	8
10	8	messo	acl	10	2
11	1	Veni	obj	11	5
11	2	sponsa	vocative	11	1
11	3	de	case	11	4
11	4	Libano	nmod	11	1
11	5	cantando	advcl	12	1
12	1	gridò	conj	9	3
12	2	tre	nummod	12	3
12	3	volte	obl	12	1
12	4	e	cc	12	7
12	5	tutti	det	12	7
12	6	li	det	12	7
12	7	altri	conj	10	2
12	8	appresso	advmod	12	7
13	1	Quali	advmod	14	1
13	2	i	det	13	3
13	3	beati	nsubj	14	1
13	4	al	case	13	6
13	5	novissimo	amod	13	6
13	6	bando	obl	14	1
14	1	surgeran	advcl	17	2
14	2	presti	advmod	14	1
14	3	ognun	appos	13	3
14	4	di	case	14	6
14	5	sua	det:poss	14	6
14	6	caverna	nmod	14	3
15	1	la	det	15	3
15	2	revestita	amod	15	3
15	3	voce	nsubj	15	4
15	4	alleluiando	advcl	14	1
16	1	cotali	advmod	17	2
16	2	in	case	16	6
16	3	su	advmod	16	2
16	4	la	det	16	6
16	5	divina	amod	16	6
16	6	basterna	obl	17	2
17	1	si	aux	17	2
17	2	levar	root	0	0
17	3	cento	nsubj	17	2
17	4	ad	case	17	5
17	5	vocem	obl	17	2
17	6	tanti	amod	17	7
17	7	senis	nmod	17	5
18	1	ministri	appos	17	3
18	2	e	cc	18	3
18	3	messaggier	conj	18	1
18	4	di	case	18	5
18	5	vita	nmod	18	3
18	6	etterna	amod	18	5
19	1	Tutti	nsubj	19	2
19	2	dicean	root	0	0
19	3	Benedictus	ccomp	19	2
19	4	qui	nsubj	19	3
19	5	venis	acl:relcl	19	4
20	1	e	cc	20	3
20	2	fior	obj	20	3
20	3	gittando	advcl	19	2
20	4	e	cc	20	8
20	5	di	case	20	6
20	6	sopra	obl	20	3
20	7	e	cc	20	8
20	8	dintorno	obl	20	3
21	1	Manibus	obl	21	3
21	2	oh	discourse	21	3
21	3	date	ccomp	19	2
21	4	lilïa	obj	21	3
21	5	plenis	amod	21	1
22	1	Io	nsubj	22	2
22	2	vidi	root	0	0
22	3	già	advmod	22	2
22	4	nel	case	22	5
22	5	cominciar	obl	22	2
22	6	del	case	22	7
22	7	giorno	nmod	22	5
23	1	la	det	23	2
23	2	parte	obj	22	2
23	3	orïental	amod	23	2
23	4	tutta	advmod	23	5
23	5	rosata	amod	23	2
24	1	e	cc	24	4
24	2	l'	det	24	4
24	3	altro	amod	24	4
24	4	ciel	conj	23	2
24	5	di	case	24	7
24	6	bel	amod	24	7
24	7	sereno	nmod	24	8
24	8	addorno	amod	24	4
25	1	e	cc	25	3
25	2	la	det	25	3
25	3	faccia	conj	23	2
25	4	del	case	25	5
25	5	sol	nmod	25	3
25	6	nascere	acl	25	3
25	7	ombrata	amod	25	3
26	1	sì	advmod	26	2
26	2	che	mark	27	4
26	3	per	case	26	4
26	4	temperanza	obl	27	4
26	5	di	case	26	6
26	6	vapori	nmod	26	4
27	1	l'	det	27	2
27	2	occhio	nsubj	27	4
27	3	la	obj	27	4
27	4	sostenea	advcl	22	2
27	5	lunga	amod	27	6
27	6	fïata	obl	27	4
28	1	così	advmod	32	3
28	2	dentro	case	28	4
28	3	una	det	28	4
28	4	nuvola	obl	32	3
28	5	di	case	28	6
28	6	fiori	nmod	28	4
29	1	che	nsubj	29	6
29	2	da	case	29	4
29	3	le	det	29	4
29	4	mani	obl	29	6
29	5	angeliche	amod	29	4
29	6	saliva	acl:relcl	28	4
30	1	e	cc	30	2
30	2	ricadeva	conj	29	6
30	3	in	case	30	4
30	4	giù	obl	30	2
30	5	dentro	obl	30	2
30	6	e	cc	30	7
30	7	di	case	30	8
30	8	fori	obl	30	2
31	1	sovra	case	31	3
31	2	candido	amod	31	3
31	3	vel	obl	32	3
31	4	cinta	acl	32	1
31	5	d'	case	31	6
31	6	uliva	obl	31	4
32	1	donna	nsubj	32	3
32	2	m'	obj	32	3
32	3	apparve	conj	22	2
32	4	sotto	case	32	6
32	5	verde	amod	32	6
32	6	manto	obl	32	3
33	1	vestita	acl	32	1
33	2	di	case	33	3
33	3	color	obl	33	1
33	4	di	case	33	5
33	5	fiamma	nmod	33	3
33	6	viva	amod	33	5
34	1	E	cc	39	4
34	2	lo	det	34	3
34	3	spirito	nsubj	39	4
34	4	mio	amod	34	3
34	5	che	nsubj	35	3
34	6	già	advmod	35	3
34	7	cotanto	amod	35	1
35	1	tempo	obl	35	3
35	2	era	aux	35	3
35	3	stato	acl:relcl	34	3
35	4	ch'	mark	36	6
35	5	a	case	35	8
35	6	la	det	35	8
35	7	sua	amod	35	8
35	8	presenza	obl	36	6
36	1	non	advmod	36	6
36	2	era	aux	36	6
36	3	di	case	36	4
36	4	stupor	obl	36	6
36	5	tremando	advcl	36	6
36	6	affranto	ccomp	35	3
37	1	sanza	case	37	5
37	2	de	case	37	4
37	3	li	det	37	4
37	4	occhi	nmod	37	7
37	5	aver	advcl	36	6
37	6	più	advmod	37	7
37	7	conoscenza	obj	37	5
38	1	per	case	38	3
38	2	occulta	amod	38	3
38	3	virtù	obl	39	4
38	4	che	nsubj	38	7
38	5	da	case	38	6
38	6	lei	obl	38	7
38	7	mosse	acl:relcl	38	3
39	1	d'	case	39	3
39	2	antico	amod	39	3
39	3	amor	obl	39	4
39	4	sentì	root	0	0
39	5	la	det	39	7
39	6	gran	amod	39	7
39	7	potenza	obj	39	4
40	1	Tosto	advmod	40	7
40	2	che	mark	40	7
40	3	ne	case	40	5
40	4	la	det	40	5
40	5	vista	obl	40	7
40	6	mi	obj	40	7
40	7	percosse	advcl	43	1
41	1	l'	det	41	3
41	2	alta	amod	41	3
41	3	virtù	nsubj	40	7
41	4	che	nsubj	41	8
41	5	già	advmod	41	8
41	6	m'	obj	41	8
41	7	avea	aux	41	8
41	8	trafitto	acl:relcl	41	3
42	1	prima	advmod	42	7
42	2	ch'	mark	42	7
42	3	io	nsubj	42	7
42	4	fuor	obl	42	7
42	5	di	case	42	6
42	6	püerizia	nmod	42	4
42	7	fosse	advcl	41	8
43	1	volsimi	root	0	0
43	2	a	case	43	4
43	3	la	det	43	4
43	4	sinistra	obl	43	1
43	5	col	case	43	6
43	6	respitto	obl	43	1
44	1	col	case	44	2
44	2	quale	obl	44	5
44	3	il	det	44	4
44	4	fantolin	nsubj	44	5
44	5	corre	acl:relcl	43	6
44	6	a	case	44	8
44	7	la	det	44	8
44	8	mamma	obl	44	5
45	1	quando	mark	45	2
45	2	ha	advcl	44	5
45	3	paura	obj	45	2
45	4	o	cc	45	5
45	5	quando	mark	45	8
45	6	elli	nsubj	45	8
45	7	è	cop	45	8
45	8	afflitto	advcl	44	5
46	1	per	case	46	2
46	2	dicere	xcomp	43	1
46	3	a	case	46	4
46	4	Virgilio	obl	46	2
46	5	Men	det	46	7
46	6	che	det	46	7
46	7	dramma	nsubj	47	5
47	1	di	case	47	2
47	2	sangue	nmod	46	7
47	3	m'	obl	47	5
47	4	è	aux	47	5
47	5	rimaso	ccomp	46	2
47	6	che	mark	47	8
47	7	non	advmod	47	8
47	8	tremi	advcl	47	5
48	1	conosco	conj	47	5
48	2	i	det	48	3
48	3	segni	obj	48	1
48	4	de	case	48	7
48	5	l'	det	48	7
48	6	antica	amod	48	7
48	7	fiamma	nmod	48	3
49	1	Ma	cc	49	5
49	2	Virgilio	nsubj	49	5
49	3	n'	obj	49	5
49	4	avea	aux	49	5
49	5	lasciati	root	0	0
49	6	scemi	xcomp	49	5
50	1	di	case	50	2
50	2	sé	obl	49	6
50	3	Virgilio	appos	49	2
50	4	dolcissimo	amod	50	5
50	5	patre	appos	50	3
51	1	Virgilio	appos	49	2
51	2	a	case	51	3
51	3	cui	obl	51	7
51	4	per	case	51	6
