line	token	word	deprel	head_line	head_token
1	1	Ora	advmod	1	2
1	2	era	advcl	7	2
1	3	onde	mark	1	7
1	4	'l	det	1	5
1	5	salir	obj	1	7
1	6	non	advmod	1	7
1	7	volea	acl:relcl	1	2
1	8	storpio	nsubj	1	7
2	1	ché	mark	3	1
2	2	'l	det	2	3
2	3	sole	nsubj	3	1
2	4	avëa	aux	3	1
2	5	il	det	2	6
2	6	cerchio	obj	3	1
2	7	di	case	2	8
2	8	merigge	nmod	2	6
3	1	lasciato	advcl	1	2
3	2	al	case	3	3
3	3	Tauro	obl	3	1
3	4	e	cc	3	6
3	5	la	det	3	6
3	6	notte	obj	3	1
3	7	a	case	3	9
3	8	lo	det	3	9
3	9	Scorpio	obl	3	1
4	1	per	case	4	2
4	2	che	mark	7	2
4	3	come	advmod	4	4
4	4	fa	advcl	7	2
4	5	l'	det	4	6
4	6	uom	nsubj	4	4
4	7	che	nsubj	4	10
4	8	non	advmod	4	10
4	9	s'	expl	4	10
4	10	affigge	acl:relcl	4	6
5	1	ma	cc	5	2
5	2	vassi	conj	4	10
5	3	a	case	5	5
5	4	la	det	5	5
5	5	via	obl	5	2
5	6	sua	det:poss	5	5
5	7	che	mark	5	10
5	8	che	nsubj	5	10
5	9	li	obj	5	10
5	10	appaia	advcl	5	2
6	1	se	mark	6	6
6	2	di	case	6	4
6	3	bisogno	amod	6	4
6	4	stimolo	nsubj	6	6
6	5	il	obj	6	6
6	6	trafigge	advcl	4	4
7	1	così	advmod	7	2
7	2	intrammo	root	0	0
7	3	noi	nsubj	7	2
7	4	per	case	7	6
7	5	la	det	7	6
7	6	callaia	obl	7	2
8	1	uno	nsubj	8	4
8	2	innanzi	case	8	3
8	3	altro	obl	8	4
8	4	prendendo	advcl	7	2
8	5	la	det	8	6
8	6	scala	obj	8	4
9	1	che	nsubj	9	6
9	2	per	case	9	3
9	3	artezza	obl	9	6
9	4	i	det	9	5
9	5	salitor	obj	9	6
9	6	dispaia	acl:relcl	8	6
10	1	E	cc	13	2
10	2	quale	obl	13	2
10	3	il	det	10	4
10	4	cicognin	nsubj	10	2
10	5	che	nsubj	10	6
10	6	leva	acl:relcl	10	4
10	7	l'	det	10	8
10	8	ala	obj	10	6
11	1	per	case	11	2
11	2	voglia	obl	10	6
11	3	di	case	11	4
11	4	volare	nmod	11	2
11	5	e	cc	11	8
11	6	non	advmod	11	8
11	7	s'	obj	11	8
11	8	attenta	conj	10	6
12	1	d'	case	12	2
12	2	abbandonar	xcomp	11	8
12	3	lo	det	12	4
12	4	nido	obj	12	2
12	5	e	cc	12	8
12	6	giù	advmod	12	8
12	7	la	obj	12	8
12	8	cala	conj	10	6
13	1	tal	attr	13	2
13	2	era	root	0	0
13	3	io	nsubj	13	2
13	4	con	case	13	5
13	5	voglia	obl	13	2
13	6	accesa	amod	13	5
13	7	e	cc	13	8
13	8	spenta	conj	13	6
14	1	di	case	14	2
14	2	dimandar	nmod	13	5
14	3	venendo	advcl	13	2
14	4	infino	advmod	14	3
14	5	a	case	14	7
