line	token	word	deprel	head_line	head_token
1	1	Al	case	1	2
1	2	tornar	obl	5	2
1	3	de	case	1	5
1	4	la	det	1	5
1	5	mente	nmod	1	2
1	6	che	nsubj	1	8
1	7	si	obj	1	8
1	8	chiuse	acl:relcl	1	5
2	1	dinanzi	case	2	4
2	2	a	case	2	4
2	3	la	det	2	4
2	4	pietà	obl	1	8
2	5	d'	case	2	8
2	6	i	det	2	8
2	7	due	nummod	2	8
2	8	cognati	nmod	2	4
3	1	che	nsubj	3	6
3	2	di	case	3	3
3	3	trestizia	obl	3	6
3	4	tutto	advmod	3	6
3	5	mi	obj	3	6
3	6	confuse	acl:relcl	2	4
4	1	novi	amod	4	2
4	2	tormenti	obj	5	2
4	3	e	cc	4	5
4	4	novi	amod	4	5
4	5	tormentati	conj	4	2
5	1	mi	obj	5	2
5	2	veggio	root	0	0
5	3	intorno	advmod	5	2
5	4	come	mark	5	8
5	5	ch'	mark	5	8
5	6	io	nsubj	5	8
5	7	mi	obj	5	8
5	8	mova	advcl	5	2
6	1	e	cc	6	5
6	2	ch'	mark	6	5
6	3	io	nsubj	6	5
6	4	mi	obj	6	5
6	5	volga	advcl	5	2
6	6	e	cc	6	10
6	7	come	mark	6	10
6	8	che	mark	6	10
6	9	io	nsubj	6	10
6	10	guati	advcl	5	2
7	1	Io	nsubj	7	2
7	2	sono	root	0	0
7	3	al	case	7	5
7	4	terzo	amod	7	5
7	5	cerchio	obl	7	2
7	6	de	case	7	8
7	7	la	det	7	8
7	8	piova	nmod	7	5
8	1	etterna	amod	7	8
8	2	maladetta	amod	7	8
8	3	fredda	amod	7	8
8	4	e	cc	8	5
8	5	greve	amod	7	8
9	1	regola	nsubj	9	8
9	2	e	cc	9	3
9	3	qualità	nsubj	9	8
9	4	mai	advmod	9	7
9	5	non	advmod	9	7
9	6	l'	expl	9	7
9	7	è	cop	9	8
9	8	nova	conj	7	2
10	1	Grandine	nsubj	11	6
10	2	grossa	amod	10	1
10	3	acqua	conj	10	1
10	4	tinta	amod	10	3
10	5	e	cc	10	6
10	6	neve	conj	10	3
11	1	per	case	11	3
11	2	l'	det	11	3
11	3	aere	obl	11	6
11	4	tenebroso	amod	11	3
11	5	si	expl	11	6
11	6	riversa	root	0	0
12	1	pute	conj	11	6
12	2	la	det	12	3
12	3	terra	nsubj	12	1
12	4	che	nsubj	12	6
12	5	questo	obj	12	6
12	6	riceve	acl:relcl	12	3
13	1	Cerbero	nsubj	14	5
13	2	fiera	appos	13	1
13	3	crudele	amod	13	2
13	4	e	cc	13	5
13	5	diversa	amod	13	2
14	1	con	case	14	3
14	2	tre	nummod	14	3
14	3	gole	obl	14	5
14	4	caninamente	advmod	14	5
14	5	latra	root	0	0
15	1	sovra	case	15	3
15	2	la	det	15	3
15	3	gente	obl	14	5
15	4	che	nsubj	15	7
15	5	quivi	advmod	15	7
15	6	è	cop	15	7
15	7	sommersa	acl:relcl	15	3
16	1	Li	det	16	2
16	2	occhi	obj	16	3
16	3	ha	root	0	0
16	4	vermigli	amod	16	2
16	5	la	det	16	6
16	6	barba	obj	16	3
16	7	unta	amod	16	6
16	8	e	cc	16	9
16	9	atra	conj	16	7
17	1	e	cc	17	3
17	2	'l	det	17	3
17	3	ventre	conj	16	6
17	4	largo	amod	17	3
17	5	e	cc	17	8
17	6	unghiate	amod	17	8
17	7	le	det	17	8
17	8	mani	conj	17	3
18	1	graffia	conj	16	3
