line	l1_index	l2_index	text
1	0	0	in
1	0	1	il
1	1	2	mezzo
1	2	3	di
1	2	4	il
1	3	5	cammin
1	4	6	di
1	5	7	nostra
1	6	8	vita
2	0	0	mi
2	1	1	ritrovai
2	2	2	per
2	3	3	una
2	4	4	selva
2	5	5	oscura
2	6	6	,
3	0	0	ché
3	1	1	la
3	2	2	diritta
3	3	3	via
3	4	4	era
3	5	5	smarrita
3	6	6	.
4	0	0	Ahi
4	1	1	quanto
4	2	2	a
4	3	3	dir
4	4	4	qual
4	5	5	era
4	6	6	è
4	7	7	cosa
4	8	8	dura
5	0	0	esta
5	1	1	selva
5	2	2	selvaggia
5	3	3	e
5	4	4	aspra
5	5	5	e
5	6	6	forte
6	0	0	che
6	1	1	in
6	1	2	il
6	2	3	pensier
6	3	4	rinova
6	4	5	la
6	5	6	paura
6	6	7	!
7	0	0	Tant'
7	1	1	è
7	2	2	amara
7	3	3	che
7	4	4	poco
7	5	5	è
7	6	6	più
7	7	7	morte
7	8	8	;
8	0	0	ma
8	1	1	per
8	2	2	trattar
8	3	3	di
8	3	4	il
8	4	5	ben
8	5	6	ch'
8	6	7	i'
8	7	8	vi
8	8	9	trovai
8	9	10	,
9	0	0	dirò
9	1	1	de
9	2	2	l'
9	3	3	altre
9	4	4	cose
9	5	5	ch'
9	6	6	i'
9	7	7	v'
9	8	8	ho
9	9	9	scorte
9	10	10	.
10	0	0	Io
10	1	1	non
10	2	2	so
10	3	3	ben
10	4	4	ridir
10	5	5	com'
10	6	6	i'
10	7	7	v'
10	8	8	intrai
10	9	9	,
11	0	0	tant'
11	1	1	era
11	2	2	pien
11	3	3	di
11	4	4	sonno
11	5	5	a
11	6	6	quel
11	7	7	punto
12	0	0	che
12	1	1	la
12	2	2	verace
12	3	3	via
12	4	4	abbandonai
12	5	5	.
13	0	0	Ma
13	1	1	poi
13	2	2	ch'
13	3	3	i'
13	4	4	fui
13	5	5	a
13	5	6	il
13	6	7	piè
13	7	8	d'
13	8	9	un
13	9	10	colle
13	10	11	giunto
13	11	12	,
14	0	0	là
14	1	1	dove
14	2	2	terminava
14	3	3	quella
14	4	4	valle
15	0	0	che
15	1	1	m'
15	2	2	avea
15	3	3	di
15	4	4	paura
15	5	5	il
15	6	6	cor
15	7	7	compunto
15	8	8	,
16	0	0	guardai
16	1	1	in
16	2	2	alto
16	3	3	e
16	4	4	vidi
16	5	5	le
16	6	6	sue
16	7	7	spalle
17	0	0	vestite
17	1	1	già
17	2	2	di
17	2	3	i
17	3	4	raggi
17	4	5	di
17	4	6	il
17	5	7	pianeta
18	0	0	che
18	1	1	mena
18	2	2	dritto
18	3	3	altrui
18	4	4	per
18	5	5	ogne
18	6	6	calle
18	7	7	.
19	0	0	Allor
19	1	1	fu
19	2	2	la
19	3	3	paura
19	4	4	un
19	5	5	poco
19	6	6	queta
19	7	7	,
20	0	0	che
20	1	1	in
20	1	2	il
20	2	3	lago
20	3	4	di
20	3	5	il
20	4	6	cor
20	5	7	m'
20	6	8	era
20	7	9	durata
21	0	0	la
21	1	1	notte
21	2	2	ch'
21	3	3	i'
21	4	4	passai
21	5	5	con
21	6	6	tanta
21	7	7	pieta
21	8	8	.
22	0	0	E
22	1	1	come
22	2	2	quei
22	3	3	che
22	4	4	con
22	5	5	lena
22	6	6	affannata
22	7	7	,
23	0	0	uscito
23	1	1	fuor
23	2	2	di
23	2	3	il
23	3	4	pelago
23	4	5	a
23	5	6	la
23	6	7	riva
23	7	8	,
24	0	0	si
24	1	1	volge
24	2	2	a
24	3	3	l'
24	4	4	acqua
24	5	5	perigliosa
24	6	6	e
24	7	7	guata
24	8	8	,
25	0	0	così
25	1	1	l'
25	2	2	animo
25	3	3	mio
25	4	4	,
25	5	5	ch'
25	6	6	ancor
25	7	7	fuggiva
25	8	8	,
26	0	0	si
26	1	1	volse
26	2	2	a
26	3	3	retro
26	4	4	a
26	5	5	rimirar
26	6	6	lo
26	7	7	passo
27	0	0	che
27	1	1	non
27	2	2	lasciò
27	3	3	già
27	4	4	mai
27	5	5	persona
27	6	6	viva
27	7	7	.
28	0	0	Poi
28	1	1	ch'
28	2	2	èi
28	3	3	posato
28	4	4	un
28	5	5	poco
28	6	6	il
28	7	7	corpo
28	8	8	lasso
28	9	9	,
29	0	0	ripresi
29	1	1	via
29	2	2	per
29	3	3	la
29	4	4	piaggia
29	5	5	diserta
29	6	6	,
30	0	0	sì
30	1	1	che
30	2	2	'l
30	3	3	piè
30	4	4	fermo
30	5	5	sempre
30	6	6	era
30	7	7	'l
30	8	8	più
30	9	9	basso
30	10	10	.
31	0	0	Ed
31	1	1	ecco
31	2	2	,
31	3	3	quasi
31	4	4	a
31	4	5	il
31	5	6	cominciar
31	6	7	de
31	7	8	l'
31	8	9	erta
31	9	10	,
32	0	0	una
32	1	1	lonza
32	2	2	leggera
32	3	3	e
32	4	4	presta
32	5	5	molto
32	6	6	,
33	0	0	che
33	1	1	di
33	2	2	per
33	2	3	il
33	3	4	macolato
33	4	5	era
33	5	6	coverta
33	6	7	;
34	0	0	e
34	1	1	non
34	2	2	mi
34	3	3	si
34	4	4	partia
34	5	5	dinanzi
34	6	6	a
34	6	7	il
34	7	8	volto
34	8	9	,
35	0	0	anzi
35	1	1	'mpediva
35	2	2	tanto
35	3	3	il
35	4	4	mio
35	5	5	cammino
35	6	6	,
36	0	0	ch'
36	1	1	i'
36	2	2	fui
36	3	3	per
36	4	4	ritornar
36	5	5	più
36	6	6	volte
36	7	7	vòlto
36	8	8	.
37	0	0	Temp'
37	1	1	era
37	2	2	da
37	2	3	il
37	3	4	principio
37	4	5	di
37	4	6	il
37	5	7	mattino
37	6	8	,
38	0	0	e
38	1	1	'l
38	2	2	sol
38	3	3	montava
38	4	4	'n
38	5	5	sù
38	6	6	con
38	7	7	quelle
38	8	8	stelle
39	0	0	ch'
39	1	1	eran
39	2	2	con
39	3	3	lui
39	4	4	quando
39	5	5	l'
39	6	6	amor
39	7	7	divino
40	0	0	mosse
40	1	1	di
40	2	2	prima
40	3	3	quelle
40	4	4	cose
40	5	5	belle
40	6	6	;
41	0	0	sì
41	1	1	ch'
41	2	2	a
41	3	3	bene
41	4	4	sperar
41	5	5	m'
41	6	6	era
41	7	7	cagione
42	0	0	di
42	1	1	quella
42	2	2	fiera
42	3	3	a
42	4	4	la
42	5	5	gaetta
42	6	6	pelle
43	0	0	l'
43	1	1	ora
43	2	2	di
43	2	3	il
43	3	4	tempo
43	4	5	e
43	5	6	la
43	6	7	dolce
43	7	8	stagione
43	8	9	;
44	0	0	ma
44	1	1	non
44	2	2	sì
44	3	3	che
44	4	4	paura
44	5	5	non
44	6	6	mi
44	7	7	desse
45	0	0	la
45	1	1	vista
45	2	2	che
45	3	3	m'
45	4	4	apparve
45	5	5	d'
45	6	6	un
45	7	7	leone
45	8	8	.
46	0	0	Questi
46	1	1	parea
46	2	2	che
46	3	3	contra
46	4	4	me
46	5	5	venisse
47	0	0	con
47	1	1	la
47	2	2	test'
47	3	3	alta
47	4	4	e
47	5	5	con
47	6	6	rabbiosa
47	7	7	fame
47	8	8	,
48	0	0	sì
48	1	1	che
48	2	2	parea
48	3	3	che
48	4	4	l'
48	5	5	aere
48	6	6	ne
48	7	7	tremesse
48	8	8	.
49	0	0	Ed
49	1	1	una
49	2	2	lupa
49	3	3	,
49	4	4	che
49	5	5	di
49	6	6	tutte
49	7	7	brame
50	0	0	sembiava
50	1	1	carca
50	2	2	ne
50	3	3	la
50	4	4	sua
50	5	5	magrezza
50	6	6	,
51	0	0	e
51	1	1	molte
51	2	2	genti
51	3	3	fé
51	4	4	già
51	5	5	viver
51	6	6	grame
51	7	7	,
52	0	0	questa
52	1	1	mi
52	2	2	porse
52	3	3	tanto
52	4	4	di
52	5	5	gravezza
53	0	0	con
53	1	1	la
53	2	2	paura
53	3	3	ch'
53	4	4	uscia
53	5	5	di
53	6	6	sua
53	7	7	vista
53	8	8	,
54	0	0	ch'
54	1	1	io
54	2	2	perdei
54	3	3	la
54	4	4	speranza
54	5	5	de
54	6	6	l'
54	7	7	altezza
54	8	8	.
55	0	0	E
55	1	1	qual
55	2	2	è
55	3	3	quei
55	4	4	che
55	5	5	volontieri
55	6	6	acquista
55	7	7	,
56	0	0	e
56	1	1	giugne
56	2	2	'l
56	3	3	tempo
56	4	4	che
56	5	5	perder
56	6	6	lo
56	7	7	face
56	8	8	,
57	0	0	che
57	1	1	'n
57	2	2	tutti
57	3	3	suoi
57	4	4	pensier
57	5	5	piange
57	6	6	e
57	7	7	s'
57	8	8	attrista
57	9	9	;
58	0	0	tal
58	1	1	mi
58	2	2	fece
58	3	3	la
58	4	4	bestia
58	5	5	sanza
58	6	6	pace
58	7	7	,
59	0	0	che
59	1	1	,
59	2	2	venendo
59	2	3	mi
59	3	4	'ncontro
59	4	5	,
59	5	6	a
59	6	7	poco
59	7	8	a
59	8	9	poco
60	0	0	mi
60	1	1	ripigneva
60	2	2	là
60	3	3	dove
60	4	4	'l
60	5	5	sol
60	6	6	tace
60	7	7	.
61	0	0	Mentre
61	1	1	ch'
61	2	2	i'
61	3	3	rovinava
61	4	4	in
61	5	5	basso
61	6	6	loco
61	7	7	,
62	0	0	dinanzi
62	1	1	a
62	2	2	li
62	3	3	occhi
62	4	4	mi
62	5	5	si
62	6	6	fu
62	7	7	offerto
63	0	0	chi
63	1	1	per
63	2	2	lungo
63	3	3	silenzio
63	4	4	parea
63	5	5	fioco
63	6	6	.
64	0	0	Quando
64	1	1	vidi
64	2	2	costui
64	3	3	in
64	3	4	il
64	4	5	gran
64	5	6	diserto
64	6	7	,
65	0	0	«
65	1	1	Miserere
65	2	2	di
65	3	3	me
65	4	4	»
65	5	5	,
65	6	6	gridai
65	7	7	a
65	8	8	lui
65	9	9	,
66	0	0	«
66	1	1	qual
66	2	2	che
66	3	3	tu
