line	start	end	head	text
1	1	1	1	Io
1	4	4	4	cavalier
1	6	6	6	campo
2	3	3	3	stormo
2	6	7	7	lor mostra
2	7	7	7	mostra
3	5	6	6	loro scampo
3	6	6	6	scampo
4	1	1	1	corridor
4	4	6	5	la terra vostra
4	5	6	5	terra vostra
4	5	5	5	terra
5	2	2	2	Aretini
5	5	6	6	gir gualdane
5	6	6	6	gualdane
6	1	2	2	fedir torneamenti
6	2	2	2	torneamenti
6	4	5	5	correr giostra
6	5	5	5	giostra
7	3	3	3	trombe
7	7	7	7	campane
8	2	2	2	tamburi
8	5	7	5	cenni di castella
8	7	7	7	castella
9	3	4	3	cose nostrali
9	7	7	7	istrane
10	4	6	6	sì diversa cennamella
10	6	6	6	cennamella
11	1	1	1	cavalier
11	5	5	5	pedoni
12	2	9	2	nave a segno di terra o di stella
12	4	9	4	segno di terra o di stella
12	6	6	6	terra
12	9	9	9	stella
13	1	1	1	Noi
13	4	6	6	li diece demoni
14	2	3	3	fiera compagnia
14	6	7	7	la chiesa
15	1	2	2	coi santi
15	5	5	5	taverna
15	6	7	7	coi ghiottoni
16	3	4	4	la pegola
16	6	8	8	la mia 'ntesa
17	3	7	7	de la bolgia ogne contegno
17	4	5	5	la bolgia
17	6	7	7	ogne contegno
18	3	9	4	la gente ch'entro v'era incesa
18	3	4	4	la gente
19	2	3	3	i dalfini
19	6	6	6	segno
20	1	2	2	a' marinar
20	4	8	5	l'arco de la schiena
20	4	5	5	l'arco
20	7	8	8	la schiena
21	6	7	7	lor legno
22	5	6	6	la pena
23	2	4	2	alcun de' peccatori
23	2	2	2	alcun
23	4	4	4	peccatori
23	5	6	6	'l dosso
24	4	7	4	men che non balena
24	4	4	4	men
25	4	11	5	l'orlo de l'acqua d'un fosso
25	4	8	5	l'orlo de l'acqua
25	4	5	5	l'orlo
25	7	11	8	l'acqua d'un fosso
25	7	8	8	l'acqua
25	10	11	11	un fosso
26	2	3	3	i ranocchi
26	5	6	6	col muso
27	4	5	5	i piedi
27	7	9	9	l'altro grosso
28	4	5	5	ogne parte
28	6	7	7	i peccatori
29	5	5	5	Barbariccia
30	5	6	6	i bollori
31	5	6	6	il cor
32	1	2	2	uno aspettar
32	2	2	2	aspettar
32	5	5	5	elli
33	2	3	3	una rana
33	6	7	7	l'altra
34	2	2	2	Graffiacan
34	3	3	3	che
34	4	4	4	li
34	8	8	8	contra
35	1	1	1	li
35	3	5	5	le 'mpegolate chiome
35	4	5	5	'mpegolate chiome
35	5	5	5	chiome
36	5	5	5	mi
36	7	8	8	una lontra
36	8	8	8	lontra
