line	start	end	head	text
1	2	7	2	mezzo del cammin di nostra vita
1	4	7	4	cammin di nostra vita
1	6	7	7	nostra vita
2	4	6	5	una selva oscura
3	2	4	4	la diritta via
4	8	9	8	cosa dura
5	1	7	2	esta selva selvaggia e aspra e forte
6	3	3	3	pensier
6	5	6	6	la paura
7	5	5	5	poco
7	8	8	8	morte
8	5	9	5	ben ch'i' vi trovai
8	5	5	5	ben
8	7	7	7	i'
9	3	10	5	l'altre cose ch'i' v'ho scorte
9	3	5	5	l'altre cose
9	4	10	5	altre cose ch'i' v'ho scorte
9	4	5	5	altre cose
9	5	10	5	cose ch'i' v'ho scorte
9	5	5	5	cose
9	7	7	7	i'
10	1	1	1	Io
10	7	7	7	i'
11	5	5	5	sonno
11	7	8	8	quel punto
11	8	8	8	punto
12	2	4	4	la verace via
12	4	4	4	via
13	4	4	4	i'
13	7	10	7	piè d'un colle
13	9	10	10	un colle
14	4	5	5	quella valle
15	2	2	2	m'
15	5	5	5	paura
15	6	8	7	il cor compunto
15	6	7	7	il cor
16	3	3	3	alto
16	6	8	8	le sue spalle
17	4	6	4	raggi del pianeta
17	6	6	6	pianeta
18	4	4	4	altrui
18	6	7	7	ogne calle
19	3	4	4	la paura
19	5	6	6	un poco
20	3	5	3	lago del cor
20	5	5	5	cor
21	1	5	2	la notte ch'i' passai
21	1	2	2	la notte
21	7	8	8	tanta pieta
22	3	7	3	quei che con lena affannata
22	3	3	3	quei
22	6	7	6	lena affannata
23	4	4	4	pelago
23	6	7	7	la riva
24	4	6	5	l'acqua perigliosa
25	2	4	3	l'animo mio
26	4	4	4	retro
26	7	8	8	lo passo
27	6	7	6	persona viva
28	3	3	3	èi
28	5	6	6	un poco
28	7	9	8	il corpo lasso
28	8	9	8	corpo lasso
28	8	8	8	corpo
29	2	2	2	via
29	4	6	5	la piaggia diserta
29	5	6	5	piaggia diserta
29	5	5	5	piaggia
30	3	5	4	'l piè fermo
30	4	5	4	piè fermo
30	4	4	4	piè
30	8	10	10	'l più basso
30	9	10	10	più basso
30	10	10	10	basso
31	5	8	5	cominciar de l'erta
31	7	8	8	l'erta
31	8	8	8	erta
32	1	6	2	una lonza leggera e presta molto
32	2	6	2	lonza leggera e presta molto
32	2	2	2	lonza
33	3	4	4	pel macolato
33	4	4	4	macolato
34	3	3	3	mi
34	7	8	8	al volto
34	8	8	8	volto
35	4	6	6	il mio cammino
35	5	6	6	mio cammino
35	6	6	6	cammino
36	2	2	2	i'
36	6	7	7	più volte
36	7	7	7	volte
37	1	1	1	Temp'
37	4	6	4	principio del mattino
37	6	6	6	mattino
38	2	3	3	'l sol
38	3	3	3	sol
38	8	9	9	quelle stelle
38	9	9	9	stelle
39	4	4	4	lui
39	6	8	7	l'amor divino
39	7	8	7	amor divino
39	7	7	7	amor
40	4	6	5	quelle cose belle
40	5	6	5	cose belle
40	5	5	5	cose
41	4	5	5	bene sperar
41	5	5	5	sperar
41	8	8	8	cagione
42	2	7	3	quella fiera a la gaetta pelle
42	2	3	3	quella fiera
42	3	3	3	fiera
42	5	7	7	la gaetta pelle
42	6	7	7	gaetta pelle
42	7	7	7	pelle
43	1	4	2	l'ora del tempo
43	4	4	4	tempo
43	6	8	8	la dolce stagione
44	5	5	5	paura
45	1	8	2	la vista che m'apparve d'un leone
45	1	2	2	la vista
45	7	8	8	un leone
46	1	1	1	Questi
46	5	5	5	me
47	2	4	3	la test' alta
47	7	8	8	rabbiosa fame
48	5	6	6	l'aere
49	2	3	3	una lupa
49	6	7	7	tutte brame
50	2	2	2	carca
50	4	6	6	la sua magrezza
51	2	3	3	molte genti
52	1	1	1	questa
52	4	6	4	tanto di gravezza
52	6	6	6	gravezza
53	2	8	3	la paura ch'uscia di sua vista
53	2	3	3	la paura
53	7	8	8	sua vista
54	2	2	2	io
54	4	8	5	la speranza de l'altezza
54	4	5	5	la speranza
54	7	8	8	l'altezza
55	2	2	2	qual
55	4	7	4	quei che volontieri acquista
55	4	4	4	quei
56	3	8	4	'l tempo che perder lo face
56	3	4	4	'l tempo
56	6	6	6	perder
56	7	7	7	lo
57	3	5	5	tutti suoi pensier
58	1	1	1	tal
58	4	7	5	la bestia sanza pace
58	5	7	5	bestia sanza pace
58	7	7	7	pace
59	5	5	5	poco
59	5	5	5	poco
60	5	6	6	'l sol
61	6	7	7	basso loco
62	3	4	4	li occhi
63	1	1	1	chi
63	3	4	4	lungo silenzio
64	3	3	3	costui
64	5	6	6	gran diserto
65	3	3	3	me
65	6	6	6	lui
66	1	1	1	qual
66	3	3	3	tu
66	6	6	6	ombra
66	8	9	8	omo certo
67	3	3	3	omo
67	3	3	3	omo
68	2	4	3	li parenti miei
68	2	3	3	li parenti
68	3	4	3	parenti miei
68	3	3	3	parenti
68	6	6	6	lombardi
69	1	4	4	mantoani per patrïa ambedui
69	1	3	1	mantoani per patrïa
69	1	1	1	mantoani
69	3	3	3	patrïa
69	4	4	4	ambedui
70	3	3	3	Iulio
71	4	4	4	Roma
71	6	8	8	'l buono Augusto
71	7	8	8	buono Augusto
71	8	8	8	Augusto
72	2	8	2	tempo de li dèi falsi e bugiardi
72	2	2	2	tempo
72	4	8	5	li dèi falsi e bugiardi
