line	start	end	head	text
1	2	6	2	fine de le sue parole
1	4	6	6	le sue parole
1	7	8	8	il ladro
2	1	2	2	le mani
2	5	7	7	amendue le fiche
2	6	7	7	le fiche
3	3	3	3	Dio
3	6	6	6	te
3	7	7	7	le
4	5	5	5	mi
4	7	9	8	le serpi amiche
5	2	2	2	una
5	3	3	3	li
5	7	8	8	al collo
6	0	0	0	
7	2	6	3	un'altra a le braccia
7	2	3	3	un'altra
7	5	6	6	le braccia
7	8	8	8	+lo
8	2	3	2	sé stessa
9	5	5	5	esse
9	7	8	8	un crollo
10	2	2	2	Pistoia
10	3	3	3	Pistoia
11	2	2	2	+ti
12	4	5	5	mal fare
12	6	8	7	il seme tuo
12	7	8	7	seme tuo
12	7	7	7	seme
13	2	8	4	tutt' i cerchi de lo 'nferno scuri
13	2	4	4	tutt' i cerchi
13	3	8	4	i cerchi de lo 'nferno scuri
13	3	4	4	i cerchi
13	4	8	4	cerchi de lo 'nferno scuri
13	4	4	4	cerchi
13	6	7	7	lo 'nferno
13	7	7	7	'nferno
14	3	7	3	spirto in Dio tanto superbo
14	3	3	3	spirto
14	5	5	5	Dio
15	2	9	2	quel che cadde a Tebe giù da' muri
15	2	2	2	quel
15	6	6	6	Tebe
15	9	9	9	muri
16	1	1	1	El
16	7	8	8	più verbo
17	2	2	2	io
17	4	8	5	un centauro pien di rabbia
17	8	8	8	rabbia
18	7	8	8	l'acerbo
19	1	1	1	Maremma
19	4	4	4	io
19	6	6	6	tante
20	1	2	2	quante bisce
20	2	2	2	bisce
20	3	3	3	elli
20	7	8	8	la groppa
20	8	8	8	groppa
21	4	5	5	nostra labbia
21	5	5	5	labbia
22	2	3	3	le spalle
22	6	7	7	la coppa
23	2	4	3	l'ali aperte
23	5	5	5	li
23	7	8	8	un draco
24	2	2	2	quello
24	4	6	4	qualunque s'intoppa
25	1	3	3	Lo mio maestro
25	5	5	5	Questi
25	7	7	7	Caco
26	3	7	4	'l sasso di monte Aventino
26	6	7	6	monte Aventino
26	7	7	7	Aventino
27	2	2	2	sangue
27	4	5	5	spesse volte
27	6	6	6	laco
28	4	5	5	suoi fratei
28	7	8	8	un cammino
29	2	6	3	lo furto che frodolente fece
29	2	3	3	lo furto
30	2	8	3	grande armento ch'elli ebbe a vicino
30	2	3	3	grande armento
30	5	5	5	elli
30	8	8	8	vicino
31	3	6	5	le sue opere biece
32	2	5	3	la mazza d'Ercule
32	5	5	5	Ercule
33	3	3	3	cento
33	7	8	8	le diece
34	6	6	6	el
35	2	3	3	tre spiriti
35	6	6	6	noi
36	2	2	2	quai
36	4	4	4	io
36	6	8	7	'l duca mio
37	7	7	7	voi
38	3	4	4	nostra novella
39	5	5	5	essi
40	1	1	1	Io
40	3	3	3	li
40	6	6	6	ei
41	5	6	6	alcun caso
42	2	3	3	l'un
42	5	6	6	un altro
43	2	2	2	Cianfa
44	3	3	3	io
44	6	7	7	'l duca
45	1	1	1	mi
45	3	4	4	'l dito
45	6	7	7	dal mento
45	8	9	9	al naso
46	2	2	2	tu
46	5	5	5	lettore
47	1	4	1	ciò ch'io dirò
47	3	3	3	io
47	7	7	7	maraviglia
48	2	2	2	io
48	4	4	4	'l
48	7	7	7	pena
48	8	10	10	il mi consento
48	9	10	10	mi consento
49	2	2	2	io
49	6	6	6	lor
49	7	8	8	le ciglia
50	2	6	3	un serpente con sei piè
50	2	3	3	un serpente
50	5	6	6	sei piè
51	3	4	4	l'uno
51	8	8	8	lui
52	2	4	2	piè di mezzo
52	4	4	4	mezzo
52	7	8	8	la pancia
53	3	4	4	li anterïor
53	5	6	6	le braccia
54	5	10	10	l'una e l'altra guancia
54	5	6	6	l'una
54	8	10	10	l'altra guancia
55	1	1	1	li
55	4	6	5	le cosce distese
55	5	6	5	cosce distese
56	2	2	2	+li
56	3	4	4	la coda
56	6	6	6	'mbedue
57	4	5	5	le ren
57	7	7	7	la
58	1	2	1	Ellera abbarbicata
58	1	1	1	Ellera
59	2	2	2	alber
59	5	7	7	l'orribil fiera
59	7	7	7	fiera
60	2	4	4	l'altrui membra
60	4	4	4	membra
60	6	7	7	le sue
60	7	7	7	sue
61	6	7	7	calda cera
62	5	6	6	lor colore
63	2	3	3	l'un
63	5	6	6	l'altro
63	9	11	9	quel ch'era
64	5	6	6	l'ardore
65	2	4	3	lo papiro suso
65	5	7	6	un color bruno
66	7	8	8	'l bianco
67	1	3	3	Li altri due
67	4	4	4	'l
67	7	7	7	ciascuno
68	3	3	3	Agnel
69	7	7	7	due
69	9	9	9	uno
70	3	5	5	li due capi
70	6	6	6	un
71	4	6	5	due figure miste
72	2	3	3	una faccia
72	6	7	7	due perduti
73	2	4	3	le braccia due
73	6	7	7	quattro liste
74	1	11	2	le cosce con le gambe e 'l ventre e 'l casso
74	1	2	2	le cosce
74	4	5	5	le gambe
74	7	8	8	'l ventre
74	10	11	11	'l casso
75	2	7	2	membra che non fuor mai viste
75	2	2	2	membra
76	1	3	3	Ogne primaio aspetto
77	1	6	5	due e nessun l'imagine perversa
77	1	1	1	due
77	3	3	3	nessun
77	4	6	5	l'imagine perversa
78	3	5	4	tal sen gio
78	4	5	4	sen gio
78	5	5	5	gio
78	7	8	8	lento passo
78	8	8	8	passo
79	2	7	3	'l ramarro sotto la gran fersa
79	2	3	3	'l ramarro
79	5	7	7	la gran fersa
80	1	3	2	dei dì canicular
80	2	3	2	dì canicular
80	5	5	5	sepe
81	1	1	1	folgore
81	4	5	5	la via
82	5	6	6	l'epe
83	2	4	4	li altri due
83	5	7	6	un serpentello acceso
84	5	7	5	gran di pepe
84	7	7	7	pepe
85	2	7	3	quella parte onde prima è preso
85	2	3	3	quella parte
86	1	2	2	nostro alimento
86	4	7	5	l'un di lor
86	4	5	5	l'un
86	7	7	7	lor
87	5	5	5	lui
88	1	2	2	Lo trafitto
88	3	3	3	'l
88	3	3	3	'l
88	6	6	6	nulla
89	3	4	3	piè fermati
90	3	5	3	sonno o febbre
90	3	3	3	sonno
90	5	5	5	febbre
91	1	1	1	Elli
91	2	5	3	'l serpente e quei
91	2	3	3	'l serpente
91	5	5	5	quei
91	6	6	6	lui
92	1	2	2	l'un
92	4	5	5	la piaga
