line	start	end	head	text
1	1	1	1	Io
1	5	6	6	quell' ombre
2	3	7	4	l'orme del mio duca
2	6	7	7	mio duca
3	3	5	3	retro a me
3	5	5	5	me
3	7	8	8	'l dito
4	1	1	1	una
5	1	8	2	lo raggio da sinistra a quel di sotto
5	1	2	2	lo raggio
5	4	4	4	sinistra
5	6	8	6	quel di sotto
5	8	8	8	sotto
6	6	6	6	si
7	1	2	2	Li occhi
7	4	8	5	al suon di questo motto
7	5	8	5	suon di questo motto
7	7	8	8	questo motto
8	2	2	2	+li
8	5	5	5	maraviglia
9	2	2	2	me
9	2	2	2	me
9	6	10	7	'l lume ch'era rotto
9	6	7	7	'l lume
10	2	4	3	l'animo tuo
11	2	3	3	'l maestro
11	5	6	6	l'andare
12	4	8	4	ciò che quivi si pispiglia
12	4	4	4	ciò
13	4	4	4	me
13	8	9	9	le genti
14	3	4	3	torre ferma
15	3	4	4	la cima
15	6	8	6	soffiar di venti
15	8	8	8	venti
16	3	8	4	l'omo in cui pensier rampolla
16	3	4	4	l'omo
16	7	7	7	pensier
17	2	2	2	pensier
17	4	4	4	sé
17	6	7	7	il segno
18	2	3	3	la foga
18	4	8	5	l'un de l'altro
18	4	5	5	l'un
18	7	8	8	l'altro
19	1	1	1	Che
19	3	3	3	io
19	7	7	7	Io
20	1	1	1	+lo
20	2	5	2	alquanto del color consperso
20	4	5	4	color consperso
20	4	4	4	color
21	1	1	1	che
21	3	8	4	l'uom di perdon talvolta degno
21	3	4	4	l'uom
21	6	6	6	perdon
22	4	7	5	la costa di traverso
22	4	5	5	la costa
22	5	7	5	costa di traverso
22	7	7	7	traverso
23	2	2	2	genti
23	5	5	5	noi
23	6	7	7	un poco
24	2	2	2	Miserere
24	4	4	4	verso
24	4	4	4	verso
25	5	5	5	i'
25	8	8	8	loco
26	2	4	4	lo mio corpo
26	6	9	6	trapassar d'i raggi
26	8	9	9	i raggi
27	1	3	1	mutar lor canto
27	2	3	3	lor canto
