line	start	end	head	text
1	4	7	4	cercar dentro e dintorno
2	1	6	3	la divina foresta spessa e viva
3	3	4	4	li occhi
3	6	8	8	il novo giorno
4	2	3	3	più aspettar
4	5	6	6	la riva
5	2	3	3	la campagna
6	3	9	4	lo suol che d'ogne parte auliva
6	3	4	4	lo suol
6	7	8	8	ogne parte
7	1	5	2	Un'aura dolce, sanza mutamento
7	1	3	2	Un'aura dolce
7	5	5	5	mutamento
8	3	3	3	sé
8	7	8	8	la fronte
9	3	4	4	più colpo
9	4	4	4	colpo
9	6	7	7	soave vento
10	2	2	2	cui
10	3	4	4	le fronde
11	1	2	1	tutte quante
11	5	6	6	la parte
12	2	4	4	la prim' ombra
12	6	8	8	il santo monte
13	4	7	5	loro esser dritto sparte
13	4	6	5	loro esser dritto
13	4	5	5	loro esser
13	5	7	5	esser dritto sparte
13	5	6	5	esser dritto
14	3	4	4	li augelletti
14	6	7	7	le cime
15	4	6	6	ogne lor arte
15	5	6	6	lor arte
16	3	4	4	piena letizia
16	5	7	6	l'ore prime
17	4	5	5	le foglie
18	3	7	3	bordone a le sue rime
18	3	3	3	bordone
18	5	7	7	le sue rime
19	4	4	4	ramo
19	6	6	6	ramo
20	2	3	3	la pineta
20	6	9	7	'l lito di Chiassi
20	7	9	7	lito di Chiassi
20	9	9	9	Chiassi
21	2	2	2	Ëolo
21	3	3	3	scilocco
22	5	7	7	i lenti passi
22	6	7	7	lenti passi
23	3	5	4	la selva antica
23	4	5	4	selva antica
23	8	8	8	io
24	5	5	5	io
25	4	4	4	andar
25	5	5	5	mi
25	7	8	8	un rio
26	2	3	2	'nver' sinistra
26	3	3	3	sinistra
26	5	7	7	sue picciole onde
26	6	7	7	picciole onde
26	7	7	7	onde
27	2	8	3	l'erba che 'n sua ripa uscìo
27	2	3	3	l'erba
27	4	4	4	che
27	6	7	7	sua ripa
28	1	9	3	Tutte l'acque che son di qua più monde
28	1	3	3	Tutte l'acque
28	2	9	3	l'acque che son di qua più monde
28	2	3	3	l'acque
29	4	4	4	sé
29	5	6	5	mistura alcuna
30	1	6	1	verso di quella, che nulla nasconde
30	3	6	3	quella, che nulla nasconde
30	3	3	3	quella
30	5	5	5	nulla
31	0	0	0	
32	2	4	3	l'ombra perpetüa
32	3	3	3	ombra
33	4	4	4	sole
33	7	7	7	luna
34	1	3	2	Coi piè ristetti
34	2	3	2	piè ristetti
34	6	7	7	li occhi
35	3	4	4	dal fiumicello
35	4	4	4	fiumicello
