line	start	end	head	text
1	2	2	2	lettor
1	6	7	7	l'alpe
2	1	1	1	ti
2	3	3	3	nebbia
2	5	6	6	la qual
3	5	6	5	pelle talpe
3	6	6	6	talpe
4	3	7	4	i vapori umidi e spessi
5	3	3	3	+si
5	4	5	5	la spera
6	1	2	2	del sol
6	6	6	6	essi
7	3	6	5	la tua imagine leggera
7	4	6	5	tua imagine leggera
7	5	6	5	imagine leggera
7	5	5	5	imagine
8	2	2	2	giugnere
8	6	6	6	io
9	1	4	2	lo sole in pria
9	1	2	2	lo sole
9	2	2	2	sole
9	4	4	4	pria
9	8	8	8	corcar
10	3	4	4	i miei
10	6	7	6	passi fidi
11	2	3	3	mio maestro
11	7	8	8	tal nube
12	2	7	2	raggi morti già ne' bassi lidi
12	2	3	2	raggi morti
12	6	7	7	bassi lidi
13	2	2	2	imaginativa
14	6	6	6	om
15	4	5	5	mille tube
15	5	5	5	tube
16	1	1	1	chi
16	3	3	3	te
16	5	6	6	'l senso
16	8	8	8	ti
17	1	1	1	+ti
17	2	7	2	lume che nel ciel s'informa
17	2	2	2	lume
17	5	5	5	ciel
18	2	2	2	sé
18	5	9	5	voler che giù lo scorge
18	5	5	5	voler
18	8	8	8	lo
19	2	8	3	l'empiezza di lei che mutò forma
19	2	3	3	l'empiezza
19	5	8	5	lei che mutò forma
19	5	5	5	lei
19	8	8	8	forma
20	2	9	3	l'uccel ch'a cantar più si diletta
20	2	3	3	l'uccel
21	2	4	3	l'imagine mia
21	2	3	3	l'imagine
21	6	7	7	l'orma
22	4	6	6	la mia mente
23	3	3	3	sé
24	1	7	1	cosa che fosse allor da lei ricetta
24	1	1	1	cosa
24	6	6	6	lei
25	5	7	7	l'alta fantasia
26	1	5	2	un crucifisso, dispettoso e fero
26	1	2	2	un crucifisso
27	2	4	4	la sua vista
27	6	6	6	cotal
28	3	3	3	esso
28	5	7	7	il grande Assüero
29	1	3	1	Estèr sua sposa
29	1	1	1	Estèr
29	2	3	3	sua sposa
29	5	7	7	'l giusto Mardoceo
29	7	7	7	Mardoceo
30	4	4	4	dire
30	7	7	7	far
31	3	4	4	questa imagine
32	1	1	1	sé
32	3	4	3	sé stessa
32	6	9	6	guisa d'una bulla
32	8	9	9	una bulla
33	3	4	4	l'acqua
33	6	6	6	qual
34	3	4	4	mia visïone
34	5	6	6	una fanciulla
35	6	6	6	regina
36	3	3	3	ira
36	7	7	7	nulla
37	7	7	7	Lavina
38	5	5	5	Io
38	7	9	7	essa che lutto
