line	token	word	role	arg_line	arg_token
1	1	Posto	subj	2	3
1	1	Posto	obj	1	3
2	6	guardava	subj	2	3
2	6	guardava	attr	2	5
2	6	guardava	obl:in	3	4
3	7	parea	subj	3	6
3	7	parea	attr	3	8
3	8	contento	subj	3	6
4	7	frugava	subj	4	5
4	7	frugava	obj	4	3
5	3	tacea	subj	4	2
5	3	tacea	obl:di	5	2
5	6	dicea	subj	4	2
5	6	dicea	ccomp	6	8
5	6	dicea	obl	5	5
6	6	fo	subj	6	5
6	6	fo	obj	6	4
6	8	grava	subj	6	3
6	8	grava	obj	6	7
7	7	accorse	subj	7	5
7	7	accorse	obl:di	8	3
8	7	apriva	subj	8	4
9	1	parlando	subj	7	3
9	3	parlare	subj	0	0
9	6	porse	subj	7	3
9	6	porse	obj	9	4
9	6	porse	iobj	9	5
10	2	io	ccomp	10	8
10	8	avviva	subj	10	6
10	8	avviva	obl:in	11	4
11	7	discerno	subj	11	6
11	7	discerno	ccomp	12	5
12	5	parta	subj	12	4
12	7	descriva	subj	12	4
13	3	prego	subj	0	0
13	3	prego	obj	13	2
14	3	dimostri	subj	0	0
14	3	dimostri	obj	14	4
14	3	dimostri	iobj	14	2
14	7	reduci	subj	0	0
14	7	reduci	obj	15	3
14	7	reduci	obj	15	7
14	7	reduci	obl:a	14	6
15	0			0	0
16	1	Drizza	subj	0	0
16	1	Drizza	obj	16	7
16	1	Drizza	obl:ver	16	4
16	2	disse	subj	0	0
16	2	disse	ccomp	16	1
17	5	fieti	subj	18	2
17	5	fieti	xcomp	17	6
17	6	manifesto	subj	18	2
18	7	fanno	subj	18	5
18	7	fanno	obj	18	6
18	7	fanno	attr	18	8
18	8	duci	subj	18	5
19	5	creato	subj	19	3
19	5	creato	xcomp	19	7
19	7	amar		0	0
20	5	mobile	subj	19	2
20	5	mobile	obl:a	20	3
20	7	piace	subj	20	6
21	8	desto	subj	0	0
21	8	desto	obl:da	21	4
22	4	esser	subj	22	2
22	4	esser	attr	22	5
23	1	tragge	subj	22	2
23	1	tragge	obj	23	2
23	8	spiega	subj	0	0
23	8	spiega	obj	23	7
23	8	spiega	obl:a	23	6
24	7	volger	subj	24	4
24	7	volger	obl:a	24	6
24	8	face	subj	0	0
24	8	face	obj	24	4
24	8	face	xcomp	24	7
25	3	rivolto	subj	0	0
25	8	piega	subj	0	0
25	8	piega	obl:di	25	6
26	3	è	subj	26	2
26	3	è	attr	26	4
26	6	è	subj	26	5
26	6	è	attr	26	7
27	9	lega	subj	27	1
27	9	lega	obl:per	27	3
27	9	lega	obl:in	27	7
28	5	movesi	subj	28	4
28	5	movesi	obl:in	28	7
28	5	movesi	obl:per	29	4
29	7	nata	subj	29	5
29	7	nata	xcomp	29	9
29	9	salire	subj	0	0
30	7	dura	subj	0	0
30	7	dura	obl:in	30	6
31	5	entra	subj	31	3
31	5	entra	obl:in	31	7
32	3	moto	subj	32	1
32	8	posa	subj	0	0
33	7	fa	subj	33	4
33	7	fa	obj	33	6
33	7	fa	xcomp	33	8
33	8	gioire	subj	33	6
34	3	puote	subj	34	5
34	3	puote	iobj	34	2
34	3	puote	xcomp	34	4
34	4	apparer	subj	34	5
34	7	nascosa	subj	35	2
34	7	nascosa	obl:a	35	5
35	7	avvera	subj	35	6
35	7	avvera	obj	36	2
35	7	avvera	attr	36	6
35	7	avvera	obl:in	36	4
36	0			0	0
37	4	appar	subj	37	7
37	4	appar	xcomp	38	3
38	3	buona	subj	37	7
39	1	è	subj	38	7
39	1	è	attr	39	2
39	2	buono	subj	38	7
39	5	buona	subj	39	8
40	0			0	0
41	1	rispuos'	subj	41	2
41	1	rispuos'	obj	40	3
41	1	rispuos'	iobj	41	3
41	7	discoverto	subj	40	3
41	7	discoverto	obj	41	6
41	7	discoverto	iobj	41	4
42	5	fatto	subj	42	2
