line	token	word	deprel	head_line	head_token
1	1	Oppresso	advcl	2	2
1	2	di	case	1	3
1	3	stupore	nmod	1	1
1	4	a	case	1	7
1	5	la	det	1	7
1	6	mia	det:poss	1	7
1	7	guida	obl	2	2
2	1	mi	expl	2	2
2	2	volsi	root	0	0
2	3	come	case	2	4
2	4	parvol	obl	2	2
2	5	che	nsubj	2	6
2	6	ricorre	acl:relcl	2	4
3	1	sempre	advmod	2	6
3	2	colà	obl	2	6
3	3	dove	case	3	6
3	4	più	advmod	3	6
3	5	si	expl	3	6
3	6	confida	advcl	2	6
4	1	e	cc	7	2
4	2	quella	nsubj	7	2
4	3	come	case	4	4
4	4	madre	obl	7	2
4	5	che	nsubj	4	6
4	6	soccorre	acl:relcl	4	4
5	1	sùbito	advmod	4	6
5	2	al	case	5	3
5	3	figlio	obj	4	6
5	4	palido	amod	5	3
5	5	e	cc	5	6
5	6	anelo	conj	5	4
6	1	con	case	6	4
6	2	la	det	6	4
6	3	sua	det:poss	6	4
6	4	voce	obl	4	6
6	5	che	nsubj	6	9
6	6	'l	obj	6	9
6	7	suol	aux	6	9
6	8	ben	advmod	6	9
6	9	disporre	acl:relcl	6	4
7	1	mi	iobj	7	2
7	2	disse	conj	2	2
7	3	Non	advmod	7	4
7	4	sai	ccomp	7	2
7	5	tu	nsubj	7	4
7	6	che	mark	7	8
7	7	tu	nsubj	7	8
7	8	se'	ccomp	7	4
7	9	in	case	7	10
7	10	cielo	obl	7	8
8	1	e	cc	8	3
8	2	non	advmod	8	3
8	3	sai	root	0	0
8	4	tu	nsubj	8	3
8	5	che	mark	8	10
8	6	'l	det	8	7
8	7	cielo	nsubj	8	10
8	8	è	cop	8	10
8	9	tutto	advmod	8	10
8	10	santo	ccomp	8	3
9	1	e	cc	9	7
9	2	ciò	nsubj	9	7
9	3	che	nsubj	9	6
9	4	ci	iobj	9	6
9	5	si	expl	9	6
9	6	fa	acl:relcl	9	2
9	7	vien	conj	8	10
9	8	da	case	9	10
9	9	buon	amod	9	10
9	10	zelo	obl	9	7
10	1	Come	advmod	10	4
10	2	t'	obj	10	4
10	3	avrebbe	aux	10	4
10	4	trasmutato	root	0	0
10	5	il	det	10	6
10	6	canto	nsubj	10	4
11	1	e	cc	11	7
11	2	io	nsubj	11	3
11	3	ridendo	advcl	11	7
11	4	mo	advmod	11	7
11	5	pensar	xcomp	11	7
11	6	lo	obj	11	5
11	7	puoi	conj	10	4
12	1	poscia	advmod	12	7
12	2	che	mark	12	7
12	3	'l	det	12	4
12	4	grido	nsubj	12	7
12	5	t'	obj	12	7
12	6	ha	aux	12	7
12	7	mosso	advcl	11	7
12	8	cotanto	advmod	12	7
13	1	nel	case	13	2
13	2	qual	obl	14	4
13	3	se	mark	13	4
13	4	'nteso	advcl	14	4
13	5	avessi	aux	13	4
13	6	i	det	13	7
13	7	prieghi	obj	13	4
13	8	suoi	det:poss	13	7
14	1	già	advmod	14	4
14	2	ti	obl	14	4
14	3	sarebbe	cop	14	4
14	4	nota	conj	10	4
14	5	la	det	14	6
14	6	vendetta	nsubj	14	4
15	1	che	obj	15	3
15	2	tu	nsubj	15	3
15	3	vedrai	acl:relcl	14	6
15	4	innanzi	mark	15	7
15	5	che	mark	15	7
15	6	tu	nsubj	15	7
15	7	muoi	advcl	15	3
16	1	La	det	16	2
16	2	spada	nsubj	16	7
16	3	di	case	16	4
16	4	qua	nmod	16	2
16	5	sù	advmod	16	4
16	6	non	advmod	16	7
16	7	taglia	root	0	0
16	8	in	case	16	9
16	9	fretta	obl	16	7
17	1	né	cc	17	2
17	2	tardo	conj	16	9
17	3	ma'	cc	17	6
17	4	ch'	mark	17	6
17	5	al	case	17	6
17	6	parer	obl	16	7
17	7	di	case	17	8
17	8	colui	nmod	17	6
18	1	che	nsubj	18	6
18	2	disïando	advcl	18	6
18	3	o	cc	18	4
18	4	temendo	conj	18	2
18	5	l'	obj	18	6
18	6	aspetta	acl:relcl	17	8
19	1	Ma	discourse	19	2
19	2	rivolgiti	root	0	0
19	3	omai	advmod	19	2
19	4	inverso	case	19	5
19	5	altrui	obl	19	2
20	1	ch'	mark	20	5
20	2	assai	advmod	20	3
20	3	illustri	amod	20	4
20	4	spiriti	obj	20	5
20	5	vedrai	advcl	19	2
21	1	se	mark	20	5
21	2	com'	mark	21	4
21	3	io	nsubj	21	4
21	4	dico	advcl	20	5
21	5	l'	det	21	6
21	6	aspetto	obj	20	5
21	7	redui	amod	21	6
22	1	Come	mark	22	4
22	2	a	case	22	3
22	3	lei	obl	22	4
22	4	piacque	advcl	22	7
22	5	li	det	22	6
22	6	occhi	obj	22	7
22	7	ritornai	root	0	0
23	1	e	cc	23	2
23	2	vidi	conj	22	7
23	3	cento	nummod	23	4
23	4	sperule	obj	23	2
23	5	che	nsubj	24	3
23	6	'nsieme	advmod	24	3
24	1	più	advmod	24	3
24	2	s'	expl	24	3
24	3	abbellivan	acl:relcl	23	4
24	4	con	case	24	6
24	5	mutüi	amod	24	6
24	6	rai	obl	24	3
25	1	Io	nsubj	25	2
25	2	stava	root	0	0
25	3	come	advmod	25	4
25	4	quei	obl	25	2
25	5	che	nsubj	25	8
25	6	'n	case	25	7
25	7	sé	obl	25	8
25	8	repreme	acl:relcl	25	4
26	1	la	det	26	2
26	2	punta	obj	25	8
26	3	del	case	26	4
26	4	disio	nmod	26	2
26	5	e	cc	26	8
26	6	non	advmod	26	8
26	7	s'	expl	26	8
26	8	attenta	conj	25	8
27	1	di	case	27	2
27	2	domandar	obl	26	8
27	3	sì	advmod	27	7
27	4	del	case	27	5
27	5	troppo	obj	27	7
27	6	si	expl	27	7
27	7	teme	advcl	26	8
28	1	e	cc	29	5
28	2	la	det	28	3
28	3	maggiore	obj	29	5
28	4	e	cc	28	7
28	5	la	det	28	7
28	6	più	advmod	28	7
28	7	luculenta	conj	28	3
29	1	di	case	29	3
29	2	quelle	det	29	3
29	3	margherite	nmod	28	3
29	4	innanzi	advmod	29	5
29	5	fessi	conj	25	2
30	1	per	case	30	2
30	2	far	obl	29	5
30	3	di	case	30	4
30	4	sé	obl	30	2
30	5	la	det	30	7
30	6	mia	det:poss	30	7
30	7	voglia	obj	30	2
30	8	contenta	xcomp	30	2
31	1	Poi	advmod	31	5
31	2	dentro	case	31	4
31	3	a	case	31	4
31	4	lei	obl	31	5
31	5	udi'	root	0	0
31	6	Se	mark	31	8
31	7	tu	nsubj	31	8
31	8	vedessi	advcl	33	5
32	1	com'	advmod	31	8
32	2	io	nsubj	31	8
32	3	la	det	32	4
32	4	carità	obj	31	8
32	5	che	nsubj	32	8
32	6	tra	case	32	7
32	7	noi	obl	32	8
32	8	arde	acl:relcl	32	4
33	1	li	det	33	3
33	2	tuoi	det:poss	33	3
33	3	concetti	nsubj	33	5
33	4	sarebbero	aux	33	5
33	5	espressi	ccomp	31	5
34	1	Ma	cc	35	7
34	2	perché	mark	34	6
34	3	tu	nsubj	34	6
34	4	aspettando	advcl	34	6
34	5	non	advmod	34	6
34	6	tarde	advcl	35	7
35	1	a	case	35	4
35	2	l'	det	35	4
35	3	alto	amod	35	4
35	4	fine	obl	34	6
35	5	io	nsubj	35	7
35	6	ti	iobj	35	7
35	7	farò	root	0	0
35	8	risposta	obj	35	7
36	1	pur	advmod	35	7
36	2	al	case	36	3
36	3	pensier	nmod	35	8
36	4	da	case	36	5
36	5	che	nsubj	36	8
36	6	sì	advmod	36	8
36	7	ti	obj	36	8
36	8	riguarde	acl:relcl	36	3
37	1	Quel	det	37	2
37	2	monte	nsubj	38	2
37	3	a	case	37	4
37	4	cui	obl	37	6
37	5	Cassino	nsubj	37	6
37	6	è	acl:relcl	37	2
37	7	ne	case	37	9
37	8	la	det	37	9
37	9	costa	obl	37	6
38	1	fu	aux	38	2
38	2	frequentato	root	0	0
38	3	già	advmod	38	2
38	4	in	case	38	7
38	5	su	case	38	7
38	6	la	det	38	7
38	7	cima	obl	38	2
39	1	da	case	39	3
39	2	la	det	39	3
39	3	gente	obl	38	2
39	4	ingannata	amod	39	3
39	5	e	cc	39	7
39	6	mal	advmod	39	7
39	7	disposta	amod	39	3
40	1	e	cc	40	2
40	2	quel	conj	38	2
40	3	son	cop	40	2
40	4	io	nsubj	40	2
40	5	che	nsubj	40	8
40	6	sù	advmod	40	8
40	7	vi	obl	40	8
40	8	portai	acl:relcl	40	4
40	9	prima	advmod	40	8
41	1	lo	det	41	2
41	2	nome	obj	40	8
41	3	di	case	41	4
41	4	colui	nmod	41	2
41	5	che	nsubj	41	8
41	6	'n	case	41	7
41	7	terra	obl	41	8
41	8	addusse	acl:relcl	41	4
42	1	la	det	42	2
42	2	verità	obj	41	8
42	3	che	nsubj	42	6
42	4	tanto	advmod	42	6
42	5	ci	obj	42	6
42	6	soblima	acl:relcl	42	2
43	1	e	cc	43	6
43	2	tanta	det	43	3
43	3	grazia	nsubj	43	6
43	4	sopra	case	43	5
43	5	me	obl	43	6
43	6	relusse	conj	38	2
44	1	ch'	mark	44	3
44	2	io	nsubj	44	3
44	3	ritrassi	advcl	43	6
44	4	le	det	44	5
44	5	ville	obj	44	3
44	6	circunstanti	amod	44	5
45	1	da	case	45	3
45	2	l'	det	45	3
45	3	empio	obl	44	3
45	4	cólto	amod	45	3
45	5	che	nsubj	45	8
45	6	'l	det	45	7
45	7	mondo	obj	45	8
45	8	sedusse	acl:relcl	45	3
46	1	Questi	det	46	3
46	2	altri	amod	46	3
46	3	fuochi	obj	46	5
46	4	tutti	det	46	3
46	5	contemplanti	acl	47	1
47	1	uomini	nsubj	47	2
47	2	fuoro	root	0	0
47	3	accesi	acl	47	1
47	4	di	case	47	6
47	5	quel	det	47	6
47	6	caldo	obl	47	3
48	1	che	nsubj	48	2
48	2	fa	acl:relcl	47	6
48	3	nascere	xcomp	48	2
48	4	i	det	48	5
48	5	fiori	obj	48	3
48	6	e	cc	48	7
48	7	frutti	conj	48	5
48	8	santi	amod	48	7
49	1	Qui	advmod	49	2
49	2	è	root	0	0
49	3	Maccario	nsubj	49	2
49	4	qui	advmod	49	5
49	5	è	conj	49	2
49	6	Romoaldo	nsubj	49	5
50	1	qui	advmod	50	2
50	2	son	conj	49	5
50	3	li	det	50	4
50	4	frati	nsubj	50	2
50	5	miei	amod	50	4
50	6	che	nsubj	51	1
50	7	dentro	advmod	51	1
50	8	ai	case	50	9
50	9	chiostri	obl	51	1
51	1	fermar	acl:relcl	50	4
51	2	li	det	51	3
51	3	piedi	obj	51	1
51	4	e	cc	51	5
51	5	tennero	conj	51	1
51	6	il	det	51	7
51	7	cor	obj	51	5
51	8	saldo	amod	51	7
52	1	E	cc	52	2
52	2	io	root	0	0
52	3	a	case	52	4
52	4	lui	obl	52	2
52	5	L'	det	52	6
52	6	affetto	obl	55	4
52	7	che	nsubj	52	8
52	8	dimostri	acl:relcl	52	6
53	1	meco	obl	52	8
53	2	parlando	advcl	52	8
53	3	e	cc	53	6
53	4	la	det	53	6
53	5	buona	amod	53	6
53	6	sembianza	obl	55	4
54	1	ch'	obj	54	3
54	2	io	nsubj	54	3
54	3	veggio	acl:relcl	53	6
54	4	e	cc	54	5
54	5	noto	conj	54	3
54	6	in	case	54	9
54	7	tutti	det	54	9
54	8	li	det	54	9
54	9	ardor	obl	54	3
54	10	vostri	det:poss	54	9
55	1	così	advmod	55	4
55	2	m'	obj	55	4
55	3	ha	aux	55	4
55	4	dilatata	ccomp	52	2
55	5	mia	det:poss	55	6
55	6	fidanza	nsubj	55	4
56	1	come	mark	56	4
56	2	'l	det	56	3
56	3	sol	nsubj	56	4
56	4	fa	advcl	55	4
56	5	la	det	56	6
56	6	rosa	obj	56	4
56	7	quando	mark	57	2
56	8	aperta	xcomp	57	2
57	1	tanto	advmod	57	2
57	2	divien	advcl	56	4
57	3	quant'	mark	57	5
57	4	ell'	nsubj	57	5
57	5	ha	advcl	57	2
57	6	di	case	57	7
57	7	possanza	obl	57	5
58	1	Però	advmod	58	3
58	2	ti	obj	58	3
58	3	priego	root	0	0
58	4	e	cc	58	8
58	5	tu	nsubj	58	8
58	6	padre	vocative	58	8
58	7	m'	obj	58	8
58	8	accerta	conj	58	3
59	1	s'	mark	59	3
59	2	io	nsubj	59	3
59	3	posso	ccomp	58	8
59	4	prender	xcomp	59	3
59	5	tanta	det	59	6
59	6	grazia	obj	59	4
59	7	ch'	mark	60	2
59	8	io	nsubj	60	2
60	1	ti	obj	60	2
60	2	veggia	advcl	59	4
60	3	con	case	60	4
60	4	imagine	obl	60	2
60	5	scoverta	amod	60	4
61	1	Ond'	advmod	61	2
61	2	elli	root	0	0
61	3	Frate	vocative	61	2
61	4	il	det	61	7
61	5	tuo	det:poss	61	7
61	6	alto	amod	61	7
61	7	disio	nsubj	62	2
62	1	s'	expl	62	2
62	2	adempierà	ccomp	61	2
62	3	in	case	62	4
62	4	su	case	62	7
62	5	l'	det	62	7
62	6	ultima	amod	62	7
62	7	spera	obl	62	2
63	1	ove	obl	63	3
63	2	s'	expl	63	3
63	3	adempion	acl:relcl	62	7
63	4	tutti	det	63	6
63	5	li	det	63	6
63	6	altri	nsubj	63	3
63	7	e	cc	63	9
63	8	'l	det	63	9
63	9	mio	conj	63	6
64	1	Ivi	advmod	64	3
64	2	è	cop	64	3
64	3	perfetta	root	0	0
64	4	matura	conj	64	3
64	5	e	cc	64	6
64	6	intera	conj	64	3
65	1	ciascuna	det	65	2
65	2	disïanza	nsubj	64	3
65	3	in	case	65	4
65	4	quella	obl	66	1
65	5	sola	amod	65	4
66	1	è	conj	64	3
66	2	ogne	det	66	3
66	3	parte	nsubj	66	1
66	4	là	advmod	66	1
66	5	ove	mark	66	7
66	6	sempr'	advmod	66	7
66	7	era	advcl	66	1
67	1	perché	mark	67	3
67	2	non	advmod	67	3
67	3	è	advcl	66	1
67	4	in	case	67	5
67	5	loco	obl	67	3
67	6	e	cc	67	9
67	7	non	advmod	67	9
67	8	s'	expl	67	9
67	9	impola	conj	67	3
68	1	e	cc	68	7
68	2	nostra	det:poss	68	3
68	3	scala	nsubj	68	7
68	4	infino	advmod	68	5
68	5	ad	case	68	6
68	6	essa	obl	68	7
68	7	varca	conj	66	1
69	1	onde	mark	69	7
69	2	così	advmod	69	7
69	3	dal	case	69	4
69	4	viso	obl	69	7
69	5	ti	iobj	69	7
69	6	s'	expl	69	7
69	7	invola	advcl	68	7
70	1	Infin	advmod	70	5
70	2	là	advmod	70	5
70	3	sù	advmod	70	5
70	4	la	obj	70	5
70	5	vide	root	0	0
70	6	il	det	70	7
70	7	patriarca	nsubj	70	5
71	1	Iacobbe	appos	70	7
71	2	porger	xcomp	70	5
71	3	la	det	71	5
71	4	superna	amod	71	5
71	5	parte	obj	71	2
72	1	quando	mark	72	3
72	2	li	obl	72	3
72	3	apparve	advcl	70	5
72	4	d'	case	72	5
72	5	angeli	nmod	72	7
72	6	sì	advmod	72	7
72	7	carca	xcomp	72	3
73	1	Ma	cc	73	6
73	2	per	case	73	3
73	3	salirla	advcl	73	6
73	4	mo	advmod	73	6
73	5	nessun	nsubj	73	6
73	6	diparte	root	0	0
74	1	da	case	74	2
74	2	terra	obl	73	6
74	3	i	det	74	4
74	4	piedi	obj	73	6
74	5	e	cc	75	2
74	6	la	det	74	7
74	7	regola	nsubj	75	2
74	8	mia	amod	74	7
75	1	rimasa	acl	74	7
75	2	è	conj	73	6
75	3	per	case	75	4
75	4	danno	obl	75	2
75	5	de	case	75	7
75	6	le	det	75	7
75	7	carte	nmod	75	4
76	1	Le	det	76	2
76	2	mura	nsubj	77	1
76	3	che	nsubj	76	5
76	4	solieno	aux	76	5
76	5	esser	acl:relcl	76	2
76	6	badia	attr	76	5
77	1	fatte	root	0	0
77	2	sono	aux	77	1
77	3	spelonche	attr	77	1
77	4	e	cc	78	2
77	5	le	det	78	1
77	6	cocolle	amod	78	1
78	1	sacca	nsubj	78	2
78	2	son	conj	77	1
78	3	piene	attr	78	2
78	4	di	case	78	5
78	5	farina	obl	78	3
78	6	ria	amod	78	5
79	1	Ma	cc	79	7
79	2	grave	amod	79	3
79	3	usura	nsubj	79	7
79	4	tanto	advmod	79	7
79	5	non	advmod	79	7
79	6	si	expl	79	7
79	7	tolle	root	0	0
80	1	contra	case	80	3
80	2	'l	det	80	3
80	3	piacer	obl	79	7
80	4	di	case	80	5
80	5	Dio	nmod	80	3
80	6	quanto	advmod	79	7
80	7	quel	det	80	8
80	8	frutto	obl	79	7
81	1	che	nsubj	81	2
81	2	fa	acl:relcl	80	8
81	3	il	det	81	4
81	4	cor	obj	81	2
81	5	de'	case	81	6
81	6	monaci	nmod	81	4
81	7	sì	advmod	81	8
81	8	folle	xcomp	81	2
82	1	ché	mark	83	1
82	2	quantunque	mark	82	5
82	3	la	det	82	4
82	4	Chiesa	nsubj	82	5
82	5	guarda	advcl	83	1
82	6	tutto	nsubj	83	1
83	1	è	advcl	79	7
83	2	de	case	83	4
83	3	la	det	83	4
83	4	gente	obl	83	1
83	5	che	nsubj	83	8
83	6	per	case	83	7
83	7	Dio	obl	83	8
83	8	dimanda	acl:relcl	83	4
84	1	non	advmod	84	2
84	2	di	case	84	3
84	3	parenti	obl	83	1
84	4	né	cc	84	6
84	5	d'	case	84	6
84	6	altro	obl	83	1
84	7	più	advmod	84	8
84	8	brutto	amod	84	6
85	1	La	det	85	2
85	2	carne	nsubj	85	8
85	3	d'	case	85	5
85	4	i	det	85	5
85	5	mortali	nmod	85	2
85	6	è	cop	85	8
85	7	tanto	advmod	85	8
85	8	blanda	root	0	0
86	1	che	mark	86	4
86	2	giù	advmod	86	4
86	3	non	advmod	86	4
86	4	basta	advcl	85	8
86	5	buon	amod	86	6
86	6	cominciamento	nsubj	86	4
87	1	dal	case	87	2
87	2	nascer	obl	86	4
87	3	de	case	87	5
87	4	la	det	87	5
87	5	quercia	nmod	87	2
87	6	al	case	87	7
87	7	far	obl	86	4
87	8	la	det	87	9
87	9	ghianda	obj	87	7
88	1	Pier	nsubj	88	2
88	2	cominciò	root	0	0
88	3	sanz'	case	88	4
88	4	oro	obl	88	2
88	5	e	cc	88	7
