line	word	lemma	pos	gender	number	person	tense	mood	note
1	Al	a+il	preposition+article	m.	sg.				contraction
1	tornar	tornare	noun	m.	sg.				apocope
1	de	di	preposition						archaic
1	la	la	article	f.	sg.				
1	mente	mente	noun	f.	sg.				
1	che	che	pronoun						relative
1	si	si	pronoun		sg.	3			reflexive
1	chiuse	chiudere	verb		sg.	3	remote past	indicative	
2	dinanzi	dinanzi	adverb						
2	a	a	preposition						
2	la	la	article	f.	sg.				
2	pietà	pietà	noun	f.	sg.				
2	d'	di	preposition						elision
2	i	i	article	m.	pl.				
2	due	due	numeral		pl.				
2	cognati	cognato	noun	m.	pl.				
3	che	che	pronoun						relative
3	di	di	preposition						
3	trestizia	tristezza	noun	f.	sg.				archaic
3	tutto	tutto	adjective	m.	sg.				
3	mi	mi	pronoun		sg.	1			
3	confuse	confondere	verb		sg.	3	remote past	indicative	
4	novi	nuovo	adjective	m.	pl.				
4	tormenti	tormento	noun	m.	pl.				
4	e	e	conjunction						
4	novi	nuovo	adjective	m.	pl.				
4	tormentati	tormentato	noun	m.	pl.				
5	mi	mi	pronoun		sg.	1			reflexive
5	veggio	vedere	verb		sg.	1	present	indicative	
5	intorno	intorno	adverb						
5	come	come	conjunction						
5	ch'	che	conjunction						elision
5	io	io	pronoun		sg.	1			
5	mi	mi	pronoun		sg.	1			reflexive
5	mova	muovere	verb		sg.	1	present	subjunctive	
6	e	e	conjunction						
6	ch'	che	conjunction						elision
6	io	io	pronoun		sg.	1			
6	mi	mi	pronoun		sg.	1			reflexive
6	volga	volgere	verb		sg.	1	present	subjunctive	
6	e	e	conjunction						
6	come	come	conjunction						
6	che	che	conjunction						
6	io	io	pronoun		sg.	1			
6	guati	guatare	verb		sg.	1	present	subjunctive	
7	Io	io	pronoun		sg.	1			
7	sono	essere	verb		sg.	1	present	indicative	
7	al	a+il	preposition+article	m.	sg.				contraction
7	terzo	terzo	adjective	m.	sg.				
7	cerchio	cerchio	noun	m.	sg.				
7	de	di	preposition						archaic
7	la	la	article	f.	sg.				
7	piova	pioggia	noun	f.	sg.				archaic
8	etterna	eterno	adjective	f.	sg.				archaic
8	maladetta	maledetto	adjective	f.	sg.				archaic
8	fredda	freddo	adjective	f.	sg.				
8	e	e	conjunction						
8	greve	greve	adjective	f.	sg.				
9	regola	regola	noun	f.	sg.				
9	e	e	conjunction						
9	qualità	qualità	noun	f.	sg.				
9	mai	mai	adverb						
9	non	non	adverb						
9	l'	lo	pronoun		sg.	3			elision
9	è	essere	verb		sg.	3	present	indicative	
9	nova	nuovo	adjective	f.	sg.				apocope
10	Grandine	grandine	noun	f.	sg.				
10	grossa	grosso	adjective	f.	sg.				
10	acqua	acqua	noun	f.	sg.				
10	tinta	tinto	adjective	f.	sg.				
10	e	e	conjunction						
10	neve	neve	noun	f.	sg.				
11	per	per	preposition						
11	l'	il	article	m.	sg.				elision
11	aere	aere	noun	m.	sg.				archaic
11	tenebroso	tenebroso	adjective	m.	sg.				
11	si	si	pronoun		sg.	3			reflexive
11	riversa	riversare	verb		sg.	3	present	indicative	
12	pute	putere	verb		sg.	3	present	indicative	archaic
12	la	la	article	f.	sg.				
12	terra	terra	noun	f.	sg.				
12	che	che	pronoun						
12	questo	questo	pronoun	m.	sg.				
12	riceve	ricevere	verb		sg.	3	present	indicative	
13	Cerbero	Cerbero	proper noun	m.	sg.				
13	fiera	fiera	noun	f.	sg.				
13	crudele	crudele	adjective		sg.				
13	e	e	conjunction						
13	diversa	diverso	adjective	f.	sg.				
14	con	con	preposition						
14	tre	tre	numeral						
14	gole	gola	noun	f.	pl.				
14	caninamente	caninamente	adverb						
14	latra	latrare	verb		sg.	3	present	indicative	
15	sovra	sopra	preposition						archaic
15	la	la	article	f.	sg.				
15	gente	gente	noun	f.	sg.				
15	che	che	pronoun		sg.				relative
15	quivi	quivi	adverb						archaic
15	è	essere	verb		sg.	3	present	indicative	
15	sommersa	sommerso	adjective	f.	sg.				
16	Li	lo	article	m.	pl.				
16	occhi	occhio	noun	m.	pl.				
16	ha	avere	verb		sg.	3	present	indicative	
16	vermigli	vermiglio	adjective	m.	pl.				
16	la	la	article	f.	sg.				
16	barba	barba	noun	f.	sg.				
16	unta	ungere	adjective	f.	sg.				
16	e	e	conjunction						
16	atra	atro	adjective	f.	sg.				
17	e	e	conjunction						
17	'l	il	article	m.	sg.				elision
17	ventre	ventre	noun	m.	sg.				
17	largo	largo	adjective	m.	sg.				
17	e	e	conjunction						
17	unghiate	unghiare	adjective	f.	pl.				
17	le	le	article	f.	pl.				
17	mani	mano	noun	f.	pl.				
18	graffia	graffiare	verb		sg.	3	present	indicative	
18	li	lo	article	m.	pl.				
18	spirti	spirito	noun	m.	pl.				apocope
18	ed	e	conjunction						euphonic
18	iscoia	iscoiare	verb		sg.	3	present	indicative	
18	ed	e	conjunction						euphonic
18	isquatra	isquatrare	verb		sg.	3	present	indicative	
19	Urlar	urlare	verb					infinitive	apocope
19	li	lo	pronoun	m.	pl.				
19	fa	fare	verb		sg.	3	present	indicative	
19	la	la	article	f.	sg.				
19	pioggia	pioggia	noun	f.	sg.				
19	come	come	conjunction						
19	cani	cane	noun	m.	pl.				
20	de	di	preposition						elision
20	l'	lo	article	m.	sg.				elision
20	un	uno	pronoun	m.	sg.				
20	de'	di+i	preposition+article	m.	pl.				contraction
20	lati	lato	noun	m.	pl.				
20	fanno	fare	verb		pl.	3	present	indicative	
20	a	a	preposition						
20	l'	lo	article	m.	sg.				elision
20	altro	altro	adjective	m.	sg.				
20	schermo	schermo	noun	m.	sg.				
21	volgonsi	volgere+si	verb		pl.	3	present	indicative	reflexive
21	spesso	spesso	adverb						
21	i	il	article	m.	pl.				
21	miseri	misero	adjective	m.	pl.				
21	profani	profano	noun	m.	pl.				
22	Quando	quando	adverb						
22	ci	ci	pronoun		pl.	1			
22	scorse	scorgere	verb		sg.	3	remote past	indicative	
22	Cerbero	Cerbero	noun	m.	sg.				
22	il	il	article	m.	sg.				
22	gran	grande	adjective	m.	sg.				apocope
22	vermo	verme	noun	m.	sg.				archaic
23	le	le	article	f.	pl.				
23	bocche	bocca	noun	f.	pl.				
23	aperse	aperto	adjective	f.	pl.				
23	e	e	conjunction						
23	mostrocci	mostrare	verb		sg.	3	remote past	indicative	archaic
23	le	le	article	f.	pl.				
23	sanne	sanna	noun	f.	pl.				
24	non	non	adverb						
24	avea	avere	verb		sg.	3	imperfect	indicative	apocope
24	membro	membro	noun	m.	sg.				
24	che	che	pronoun		sg.	3			relative
24	tenesse	tenere	verb		sg.	3	imperfect	subjunctive	
24	fermo	fermo	adjective	m.	sg.				
25	E	e	conjunction						
25	'l	lo	article	m.	sg.				elision
25	duca	duca	noun	m.	sg.				
25	mio	mio	adjective	m.	sg.				
25	distese	distendere	verb		sg.	3	remote past	indicative	
25	le	le	article	f.	pl.				
25	sue	suo	adjective	f.	pl.				
25	spanne	spanna	noun	f.	pl.				
26	prese	prendere	verb		sg.	3	remote past	indicative	
26	la	la	article	f.	sg.				
26	terra	terra	noun	f.	sg.				
26	e	e	conjunction						
26	con	con	preposition						
26	piene	pieno	adjective	f.	pl.				
26	le	le	article	f.	pl.				
26	pugna	pugna	noun	f.	pl.				archaic
27	la	lo	pronoun	f.	sg.	3			
27	gittò	gittare	verb		sg.	3	remote past	indicative	
27	dentro	dentro	adverb						
27	a	a	preposition						
27	le	le	article	f.	pl.				
27	bramose	bramoso	adjective	f.	pl.				
27	canne	canna	noun	f.	pl.				
28	Qual	quale	pronoun		sg.				
28	è	essere	verb		sg.	3	present	indicative	
28	quel	quello	adjective	m.	sg.				
28	cane	cane	noun	m.	sg.				
28	ch'	che	pronoun						elision
28	abbaiando	abbaiare	verb				present	gerund	
28	agogna	agognare	verb		sg.	3	present	indicative	
29	e	e	conjunction						
29	si	si	pronoun		sg.	3			reflexive
29	racqueta	racquetare	verb		sg.	3	present	indicative	archaic
29	poi	poi	adverb						
29	che	che	conjunction						
29	'l	il	article	m.	sg.				elision
29	pasto	pasto	noun	m.	sg.				
29	morde	mordere	verb		sg.	3	present	indicative	
30	ché	che	conjunction						contraction
30	solo	solo	adjective	m.	sg.				
30	a	a	preposition						
30	divorarlo	divorare+lo	verb+pronoun	m.	sg.		present	infinitive	contraction
30	intende	intendere	verb		sg.	3	present	indicative	
30	e	e	conjunction						
30	pugna	pugnare	verb		sg.	3	present	indicative	
31	cotai	cotale	adjective		pl.				
31	si	si	pronoun						reflexive
31	fecer	fare	verb		pl.	3	remote past	indicative	apocope
31	quelle	quello	adjective	f.	pl.				
31	facce	faccia	noun	f.	pl.				
31	lorde	lordo	adjective	f.	pl.				
32	de	di	preposition						archaic
32	lo	lo	article	m.	sg.				
32	demonio	demonio	noun	m.	sg.				
32	Cerbero	Cerbero	noun	m.	sg.				
32	che	che	pronoun						
32	'ntrona	intrare	verb		pl.	3	present	indicative	elision
33	l'	le	article	f.	pl.				elision
33	anime	anima	noun	f.	pl.				
33	sì	sì	adverb						
33	ch'	che	conjunction						elision
33	esser	essere	verb					infinitive	apocope
33	vorrebber	volere	verb		pl.	3	present	conditional	apocope
33	sorde	sordo	adjective	f.	pl.				
34	Noi	noi	pronoun		pl.	1			
34	passavam	passare	verb		pl.	1	imperfect	indicative	apocope
34	su	su	adverb						
34	per	per	preposition						
34	l'	le	article	f.	pl.				elision
34	ombre	ombra	noun	f.	pl.				
34	che	che	pronoun						
34	adona	adonare	verb		sg.	3	present	indicative	archaic
35	la	la	article	f.	sg.				
35	greve	greve	adjective	f.	sg.				
35	pioggia	pioggia	noun	f.	sg.				
35	e	e	conjunction						
35	ponavam	porre	verb		pl.	1	imperfect	indicative	apocope
35	le	le	article	f.	pl.				
35	piante	pianta	noun	f.	pl.				
36	sovra	sopra	preposition						apocope
36	lor	loro	pronoun		pl.				apocope
36	vanità	vanità	noun	f.	sg.				
36	che	che	pronoun						
36	par	parere	verb		sg.	3	present	indicative	apocope
36	persona	persona	noun	f.	sg.				
37	Elle	elle	pronoun	f.	pl.	3			
37	giacean	giacere	verb		pl.	3	imperfect	indicative	apocope
37	per	per	preposition						
37	terra	terra	noun	f.	sg.				
37	tutte	tutto	adjective	f.	pl.				
37	quante	quanto	adjective	f.	pl.				
38	fuor	fuori	adverb						apocope
38	d'	di	preposition						elision
38	una	uno	pronoun	f.	sg.				
38	ch'	che	pronoun						elision
38	a	a	preposition						
38	seder	sedere	verb					infinitive	apocope
