line	word	lemma	pos	gender	number	person	tense	mood	note
1	Pape	pape	interjection						onomatopoeia
1	Satàn	Satana	noun	m.	sg.				
1	pape	pape	interjection						onomatopoeia
1	Satàn	Satana	noun	m.	sg.				
1	aleppe	aleppe	interjection						onomatopoeia
2	cominciò	cominciare	verb		sg.	3	remote past	indicative	
2	Pluto	Plutone	noun	m.	sg.				
2	con	con	preposition						
2	la	lo	article	f.	sg.				
2	voce	voce	noun	f.	sg.				
2	chioccia	chioccio	adjective	f.	sg.				
3	e	e	conjunction						
3	quel	quello	adjective	m.	sg.				
3	savio	savio	noun	m.	sg.				
3	gentil	gentile	adjective	m.	sg.				apocope
3	che	che	pronoun		sg.	3			relative
3	tutto	tutto	pronoun		sg.				
3	seppe	sapere	verb		sg.	3	remote past	indicative	
4	disse	dire	verb		sg.	3	remote past	indicative	
4	per	per	preposition						
4	confortarmi	confortare+mi	verb+pronoun		sg.	1	infinitive		enclitic
4	Non	non	adverb						
4	ti	tu	pronoun		sg.	2			
4	noccia	noccere	verb		sg.	3	present	indicative	
5	la	il	article	f.	sg.				
5	tua	tuo	adjective	f.	sg.				
5	paura	paura	noun	f.	sg.				
5	ché	che	conjunction						
5	poder	potere	noun	m.	sg.				apocope
5	ch'	che	pronoun		sg.	3			elision
5	elli	egli	pronoun	m.	sg.	3			archaic
5	abbia	avere	verb		sg.	3	present	subjunctive	
6	non	non	adverb						
6	ci	ci	pronoun		pl.	1			
6	torrà	togliere	verb		sg.	3	future	indicative	
6	lo	il	article	m.	sg.				
6	scender	scendere	noun	m.	sg.				apocope
6	questa	questo	adjective	f.	sg.				
6	roccia	roccia	noun	f.	sg.				
7	Poi	poi	adverb						
7	si	si	pronoun		sg.	3			reflexive
7	rivolse	rivolgere	verb		sg.	3	remote past	indicative	
7	a	a	preposition						
7	quella	quello	adjective	f.	sg.				
7	'nfiata	infiata	adjective	f.	sg.				elision
7	labbia	labbra	noun	f.	sg.				
8	e	e	conjunction						
8	disse	dire	verb		sg.	3	remote past	indicative	
8	Taci	tacere	verb		sg.	2	present	imperative	
8	maladetto	maledetto	adjective	m.	sg.				archaic
8	lupo	lupo	noun	m.	sg.				
9	consuma	consumare	verb		sg.	2	present	imperative	
9	dentro	dentro	preposition						
9	te	tu	pronoun		sg.	2			
9	con	con	preposition						
9	la	lo	article	f.	sg.				
9	tua	tuo	adjective	f.	sg.				
9	rabbia	rabbia	noun	f.	sg.				
10	Non	non	adverb						
10	è	essere	verb		sg.	3	present	indicative	
10	sanza	senza	preposition						archaic
10	cagion	cagione	noun	f.	sg.				apocope
10	l'	lo	article	m.	sg.				elision
10	andare	andare	noun	m.	sg.				
10	al	a+il	preposition+article	m.	sg.				contraction
10	cupo	cupo	noun	m.	sg.				
11	vuolsi	volere+si	verb+pronoun		sg.	3	present	indicative	reflexive
11	ne	in	preposition						archaic
11	l'	lo	article	m.	sg.				elision
11	alto	alto	noun	m.	sg.				
11	là	là	adverb						
11	dove	dove	adverb						
11	Michele	Michele	proper noun	m.	sg.				
12	fé	fare	verb		sg.	3	remote past	indicative	
12	la	la	article	f.	sg.				
12	vendetta	vendetta	noun	f.	sg.				
12	del	di+il	preposition+article	m.	sg.				contraction
12	superbo	superbo	adjective	m.	sg.				
12	strupo	strupo	noun	m.	sg.				
13	Quali	quale	adjective	f.	pl.				
13	dal	da+il	preposition+article	m.	sg.				contraction
13	vento	vento	noun	m.	sg.				
13	le	lo	article	f.	pl.				
13	gonfiate	gonfiare	adjective	f.	pl.				
13	vele	vela	noun	f.	pl.				
14	caggiono	cadere	verb		pl.	3	present	indicative	archaic
14	avvolte	avvolgere	adjective	f.	pl.				
14	poi	poi	adverb						
14	che	che	conjunction						
14	l'	lo	article	m.	sg.				elision
14	alber	albero	noun	m.	sg.				apocope
14	fiacca	fiaccare	verb		sg.	3	present	indicative	
15	tal	tale	adjective		sg.				apocope
15	cadde	cadere	verb		sg.	3	remote past	indicative	
15	a	a	preposition						
15	terra	terra	noun	f.	sg.				
15	la	lo	article	f.	sg.				
15	fiera	fiera	noun	f.	sg.				
15	crudele	crudele	adjective	f.	sg.				
16	Così	così	adverb						
16	scendemmo	scendere	verb		pl.	1	remote past	indicative	
16	ne	in	preposition						archaic
16	la	il	article	f.	sg.				
16	quarta	quarto	adjective	f.	sg.				
16	lacca	lacca	noun	f.	sg.				
17	pigliando	pigliare	verb				gerund		
17	più	più	adverb						
17	de	di	preposition						archaic
17	la	il	article	f.	sg.				
17	dolente	dolente	adjective	f.	sg.				
17	ripa	ripa	noun	f.	sg.				
18	che	che	pronoun						
18	'l	il	article	m.	sg.				elision
18	mal	male	noun	m.	sg.				apocope
18	de	di	preposition						archaic
18	l'	il	article	m.	sg.				elision
18	universo	universo	noun	m.	sg.				
18	tutto	tutto	adjective	m.	sg.				
18	insacca	insaccare	verb		sg.	3	present	indicative	
19	Ahi	ahi	interjection						
19	giustizia	giustizia	noun	f.	sg.				
19	di	di	preposition						
19	Dio	Dio	noun	m.	sg.				
19	tante	tanto	adjective	f.	pl.				
19	chi	chi	pronoun		sg.				
19	stipa	stipare	verb		sg.	3	present	indicative	
20	nove	nove	numeral		pl.				
20	travaglie	travaglio	noun	f.	pl.				
20	e	e	conjunction						
20	pene	pena	noun	f.	pl.				
20	quant'	quanto	adjective	f.	pl.				elision
20	io	io	pronoun		sg.	1			
20	viddi	vedere	verb		sg.	1	remote past	indicative	
21	e	e	conjunction						
21	perché	perché	conjunction						
21	nostra	nostro	adjective	f.	sg.				
21	colpa	colpa	noun	f.	sg.				
21	sì	sì	adverb						
21	ne	ne	pronoun		sg.				
21	scipa	scipare	verb		sg.	3	present	indicative	archaic
22	Come	come	conjunction						
22	fa	fare	verb		sg.	3	present	indicative	
22	l'	la	article	f.	sg.				elision
22	onda	onda	noun	f.	sg.				
22	là	là	adverb						
22	sovra	sovra	preposition						archaic
22	Cariddi	Cariddi	proper noun	f.	sg.				
23	che	che	pronoun						
23	si	si	pronoun		sg.	3			reflexive
23	frange	frangere	verb		sg.	3	present	indicative	
23	con	con	preposition						
23	quella	quello	pronoun	f.	sg.				
23	in	in	preposition						
23	cui	cui	pronoun						
23	s'	si	pronoun		sg.	3			elision, reflexive
23	intoppa	intoppare	verb		sg.	3	present	indicative	
24	così	così	adverb						
24	convien	convenire	verb		sg.	3	present	indicative	apocope
24	che	che	conjunction						
24	qui	qui	adverb						
24	la	la	article	f.	sg.				
24	gente	gente	noun	f.	sg.				
24	riddi	riddere	verb		sg.	3	present	subjunctive	archaic
25	Qui	qui	adverb						
25	vid'	vedere	verb		sg.	1	remote past	indicative	elision
25	i'	io	pronoun		sg.	1			archaic
25	gente	gente	noun	f.	sg.				
25	più	più	adverb						
25	ch'	che	conjunction						elision
25	altrove	altrove	adverb						
25	troppa	troppo	adjective	f.	sg.				
26	e	e	conjunction						
26	d'	di	preposition						elision
26	una	uno	article	f.	sg.				indefinite
26	parte	parte	noun	f.	sg.				
26	e	e	conjunction						
26	d'	di	preposition						elision
26	altra	altro	adjective	f.	sg.				
26	con	con	preposition						
26	grand'	grande	adjective	m.	pl.				apocope
26	urli	urlo	noun	m.	pl.				
27	voltando	voltare	verb				gerund		
27	pesi	peso	noun	m.	pl.				
27	per	per	preposition						
27	forza	forza	noun	f.	sg.				
27	di	di	preposition						
27	poppa	poppa	noun	f.	sg.				
28	Percotëansi	percuotersi	verb		pl.	3	remote past	indicative	enclitic pronoun
28	'ncontro	in+incontro	preposition+noun	m.	sg.				elision
28	e	e	conjunction						
28	poscia	poscia	adverb						
28	pur	pure	adverb						apocope
28	lì	lì	adverb						
29	si	si	pronoun		sg.	3			reflexive
29	rivolgea	rivolgere	verb		sg.	3	imperfect	indicative	
29	ciascun	ciascuno	pronoun		sg.				apocope
29	voltando	voltare	verb					gerund	
29	a	a	preposition						
29	retro	retro	adverb						
30	gridando	gridare	verb					gerund	
30	Perché	perché	adverb						
30	tieni	tenere	verb		sg.	2	present	indicative	
30	e	e	conjunction						
30	Perché	perché	adverb						
30	burli	burlare	verb		sg.	2	present	indicative	
31	Così	così	adverb						
31	tornavan	tornare	verb		pl.	3	imperfect	indicative	apocope
31	per	per	preposition						
31	lo	lo	article	m.	sg.				
31	cerchio	cerchio	noun	m.	sg.				
31	tetro	tetro	adjective	m.	sg.				
32	da	da	preposition						
32	ogne	ogni	adjective		sg.				archaic
32	mano	mano	noun	f.	sg.				
32	a	a	preposition						
32	l'	lo	article	m.	sg.				elision
32	opposito	opposto	adjective	m.	sg.				
32	punto	punto	noun	m.	sg.				
33	gridandosi	gridare+si	verb		pl.		gerund		reflexive
33	anche	anche	adverb						
33	loro	loro	pronoun		pl.				
33	ontoso	ontoso	adjective	m.	sg.				
33	metro	metro	noun	m.	sg.				
34	poi	poi	adverb						
34	si	si	pronoun		sg.	3			reflexive
34	volgea	volgere	verb		sg.	3	imperfect	indicative	archaic
34	ciascun	ciascuno	pronoun	m.	sg.				apocope
34	quand'	quando	conjunction						elision
34	era	essere	verb		sg.	3	imperfect	indicative	
34	giunto	giungere	verb	m.	sg.				participle
35	per	per	preposition						
35	lo	lo	article	m.	sg.				
35	suo	suo	adjective	m.	sg.				
