line	word	lemma	pos	gender	number	person	tense	mood	note
1	O	O	interjection						
1	insensata	insensato	adjective	f.	sg.				
1	cura	cura	noun	f.	sg.				
1	de'	di+i	preposition+article	m.	pl.				contraction
1	mortali	mortale	noun	m.	pl.				
2	quanto	quanto	adverb						
2	son	essere	verb		pl.	3	present	indicative	apocope
2	difettivi	difettivo	adjective	m.	pl.				
2	silogismi	silogismo	noun	m.	pl.				
3	quei	quello	pronoun	m.	pl.				
3	che	che	pronoun	m.	pl.				
3	ti	te	pronoun		sg.	2			
3	fanno	fare	verb		pl.	3	present	indicative	
3	in	in	preposition						
3	basso	basso	noun	m.	sg.				
3	batter	battere	verb				infinitive		apocope
3	l'	le	article	f.	pl.				elision
3	ali	ala	noun	f.	pl.				
4	Chi	chi	pronoun		sg.				
4	dietro	dietro	preposition						
4	a	a	preposition						
4	iura	ius	noun	m.	pl.				archaic
4	e	e	conjunction						
4	chi	chi	pronoun		sg.				
4	ad	a	preposition						
4	amforismi	amforismo	noun	m.	pl.				
5	sen	si	pronoun		sg.	3			archaic
5	giva	dare	verb		sg.	3	imperfect	indicative	archaic
5	e	e	conjunction						
5	chi	chi	pronoun		sg.				
5	seguendo	seguire	verb					gerund	
5	sacerdozio	sacerdozio	noun	m.	sg.				
6	e	e	conjunction						
6	chi	chi	pronoun		sg.				
6	regnar	regnare	verb					infinitive	apocope
6	per	per	preposition						
6	forza	forza	noun	f.	sg.				
6	o	o	conjunction						
6	per	per	preposition						
6	sofismi	sofisma	noun	m.	pl.				
7	e	e	conjunction						
7	chi	chi	pronoun		sg.				
7	rubare	rubare	verb					infinitive	
7	e	e	conjunction						
7	chi	chi	pronoun		sg.				
7	civil	civile	adjective	m.	sg.				apocope
7	negozio	negozio	noun	m.	sg.				
8	chi	chi	pronoun		sg.				
8	nel	in+il	preposition+article	m.	sg.				contraction
8	diletto	diletto	noun	m.	sg.				
8	de	di	preposition						archaic
8	la	la	article	f.	sg.				
8	carne	carne	noun	f.	sg.				
8	involto	involto	adjective	m.	sg.				
9	s'	si	pronoun		sg.	3			elision
9	affaticava	affaticare	verb		sg.	3	imperfect	indicative	
9	e	e	conjunction						
9	chi	chi	pronoun		sg.				
9	si	si	pronoun		sg.	3			reflexive
9	dava	dare	verb		sg.	3	imperfect	indicative	
9	a	a	preposition						
9	l'	il	article	m.	sg.				elision
9	ozio	ozio	noun	m.	sg.				
10	quando	quando	conjunction						
10	da	da	preposition						
10	tutte	tutto	adjective	f.	pl.				
10	queste	questo	adjective	f.	pl.				
10	cose	cosa	noun	f.	pl.				
10	sciolto	sciolgere	adjective	m.	sg.				
11	con	con	preposition						
11	Bëatrice	Beatrice	proper noun	f.	sg.				
11	m'	me	pronoun		sg.	1			elision
11	era	essere	verb		sg.	3	imperfect	indicative	
11	suso	su	adverb						archaic
11	in	in	preposition						
11	cielo	cielo	noun	m.	sg.				
12	cotanto	cotanto	adverb						archaic
12	glorïosamente	gloriosamente	adverb						
12	accolto	accogliere	adjective	m.	sg.				
13	Poi	poi	adverb						
13	che	che	conjunction						
13	ciascuno	ciascuno	pronoun	m.	sg.				
13	fu	essere	verb		sg.	3	remote past	indicative	
13	tornato	tornare	verb	m.	sg.		past participle		
13	ne	in	preposition						archaic
13	lo	lo	article	m.	sg.				
14	punto	punto	noun	m.	sg.				
14	del	di+il	preposition+article	m.	sg.				contraction
14	cerchio	cerchio	noun	m.	sg.				
14	in	in	preposition						
14	che	che	pronoun		sg.				relative
14	avanti	avanti	adverb						
14	s'	si	pronoun		sg.	3			elision
14	era	essere	verb		sg.	3	imperfect	indicative	
15	fermossi	fermarsi	verb		sg.	3	remote past	indicative	enclitic
15	come	come	conjunction						
15	a	a	preposition						
15	candellier	candelliere	noun	m.	sg.				apocope
15	candelo	candela	noun	m.	sg.				archaic
16	E	e	conjunction						
16	io	io	pronoun		sg.	1			
16	senti'	sentire	verb		sg.	1	remote past	indicative	apocope
16	dentro	dentro	adverb						
16	a	a	preposition						
16	quella	quello	adjective	f.	sg.				
16	lumera	lumera	noun	f.	sg.				archaic
17	che	che	relative pronoun						
17	pria	pria	adverb						archaic
17	m'	mi	pronoun		sg.	1			elision
