line	word	lemma	pos	gender	number	person	tense	mood	note
1	Guardando	guardare	verb		sg.		present	gerund	
1	nel	in+il	preposition+article	m.	sg.				contraction
1	suo	suo	adjective	m.	sg.				
1	Figlio	figlio	noun	m.	sg.				
1	con	con	preposition						
1	l'	lo	article	m.	sg.				elision
1	Amore	amore	noun	m.	sg.				
2	che	che	pronoun	m.	sg.				
2	l'	lo	article	m.	sg.				elision
2	uno	uno	numeral	m.	sg.				
2	e	e	conjunction						
2	l'	lo	article	m.	sg.				elision
2	altro	altro	adjective	m.	sg.				
2	etternalmente	etternalmente	adverb						
2	spira	spirare	verb		sg.	3	present	indicative	
3	lo	lo	article	m.	sg.				
3	primo	primo	adjective	m.	sg.				
3	e	e	conjunction						
3	ineffabile	ineffabile	adjective	m.	sg.				
3	Valore	valore	noun	m.	sg.				
4	quanto	quanto	adverb						
4	per	per	preposition						
4	mente	mente	noun	f.	sg.				
4	e	e	conjunction						
4	per	per	preposition						
4	loco	luogo	noun	m.	sg.				archaic
4	si	si	pronoun		sg.	3			reflexive
4	gira	girare	verb		sg.	3	present	indicative	
5	con	con	preposition						
5	tant'	tanto	adjective	m.	sg.				elision
5	ordine	ordine	noun	m.	sg.				
5	fé	fare	verb		sg.	3	remote past	indicative	archaic
5	ch'	che	conjunction						elision
5	esser	essere	verb						apocope
5	non	non	adverb						
5	puote	potere	verb		sg.	3	present	indicative	archaic
6	sanza	senza	preposition						archaic
6	gustar	gustare	verb						apocope
6	di	di	preposition						
6	lui	lui	pronoun	m.	sg.	3			
6	chi	chi	pronoun		sg.				
6	ciò	ciò	pronoun		sg.				
6	rimira	rimirare	verb		sg.	3	present	indicative	
7	Leva	levare	verb		sg.	2	present	imperative	
7	dunque	dunque	adverb						
7	lettore	lettore	noun	m.	sg.				
7	a	a	preposition						
7	l'	le	article	f.	pl.				elision
7	alte	alto	adjective	f.	pl.				
7	rote	rota	noun	f.	pl.				
8	meco	me+con	pronoun+preposition						archaic
8	la	la	article	f.	sg.				
8	vista	vista	noun	f.	sg.				
8	dritto	dritto	adjective	m.	sg.				
8	a	a	preposition						
8	quella	quello	adjective	f.	sg.				
8	parte	parte	noun	f.	sg.				
9	dove	dove	adverb						
9	l'	lo	article	m.	sg.				elision
9	un	uno	numeral	m.	sg.				
9	moto	moto	noun	m.	sg.				
9	e	e	conjunction						
9	l'	lo	article	m.	sg.				elision
9	altro	altro	adjective	m.	sg.				
9	si	si	pronoun		sg.	3			reciprocal
9	percuote	percuotere	verb		sg.	3	present	indicative	
10	e	e	conjunction						
10	lì	lì	adverb						
10	comincia	cominciare	verb		sg.	3	present	indicative	
10	a	a	preposition						
10	vagheggiar	vagheggiare	verb						apocope
10	ne	in	preposition						elision
10	l'	la	article	f.	sg.				elision
10	arte	arte	noun	f.	sg.				
11	di	di	preposition						
11	quel	quello	adjective	m.	sg.				
11	maestro	maestro	noun	m.	sg.				
11	che	che	pronoun		sg.				relative
11	dentro	dentro	adverb						
11	a	a	preposition						
11	sé	sé	pronoun		sg.	3			
11	l'	la	pronoun	f.	sg.				elision
11	ama	amare	verb		sg.	3	present	indicative	
12	tanto	tanto	adverb						
12	che	che	conjunction						
12	mai	mai	adverb						
12	da	da	preposition						
12	lei	lei	pronoun	f.	sg.	3			
12	l'	lo	article	m.	sg.				elision
12	occhio	occhio	noun	m.	sg.				
12	non	non	adverb						
12	parte	partire	verb		sg.	3	present	indicative	
13	Vedi	vedere	verb		sg.	2	present	indicative	
13	come	come	adverb						
13	da	da	preposition						
13	indi	indi	adverb						
13	si	si	pronoun		sg.	3			reflexive
13	dirama	diramare	verb		sg.	3	present	indicative	
