line	word	lemma	pos	gender	number	person	tense	mood	note
1	Ricorditi	ricordare+si	verb		sg.	2		imperative	reflexive
1	lettor	lettore	noun	m.	sg.				apocope
1	se	se	conjunction						
1	mai	mai	adverb						
1	ne	in	preposition						elision
1	l'	la	article	f.	sg.				elision
1	alpe	alpe	noun	f.	sg.				
2	ti	tu	pronoun		sg.	2			
2	colse	cogliere	verb		sg.	3	remote past	indicative	
2	nebbia	nebbia	noun	f.	sg.				
2	per	per	preposition						
2	la	la	article	f.	sg.				
2	qual	quale	pronoun	f.	sg.				apocope
2	vedessi	vedere	verb		sg.	2	imperfect	subjunctive	
3	non	non	adverb						
3	altrimenti	altrimenti	adverb						
3	che	che	conjunction						
3	per	per	preposition						
3	pelle	pelle	noun	f.	sg.				
3	talpe	talpa	noun	f.	pl.				
4	come	come	adverb						
4	quando	quando	conjunction						
4	i	il	article	m.	pl.				
4	vapori	vapore	noun	m.	pl.				
4	umidi	umido	adjective	m.	pl.				
4	e	e	conjunction						
4	spessi	spesso	adjective	m.	pl.				
5	a	a	preposition						
5	diradar	diradare	verb		sg.				apocope
5	cominciansi	cominciare+si	verb+pronoun		pl.	3	present	indicative	enclitic
5	la	la	article	f.	sg.				
5	spera	spera	noun	f.	sg.				
6	del	di+il	preposition+article	m.	sg.				contraction
6	sol	sole	noun	m.	sg.				apocope
6	debilemente	debilemente	adverb						
6	entra	entrare	verb		sg.	3	present	indicative	
6	per	per	preposition						
6	essi	esso	pronoun	m.	pl.				
7	e	e	conjunction						
7	fia	essere	verb		sg.	3	future	indicative	archaic
7	la	lo	article	f.	sg.				
7	tua	tuo	adjective	f.	sg.				
7	imagine	imagine	noun	f.	sg.				archaic
7	leggera	leggero	adjective	f.	sg.				
8	in	in	preposition						
8	giugnere	giungere	verb						archaic
8	a	a	preposition						
8	veder	vedere	verb						apocope
8	com'	come	conjunction						elision
8	io	io	pronoun		sg.	1			
8	rividi	rivedere	verb		sg.	1	remote past	indicative	
9	lo	lo	article	m.	sg.				
9	sole	sole	noun	m.	sg.				
9	in	in	preposition						
9	pria	prima	adverb						apocope
9	che	che	pronoun		sg.				
9	già	già	adverb						
9	nel	in+il	preposition+article	m.	sg.				contraction
9	corcar	corcare	verb						apocope
9	era	essere	verb		sg.	3	imperfect	indicative	
10	Sì	sì	adverb						
10	pareggiando	pareggiare	verb				gerund		
10	i	il	article	m.	pl.				
10	miei	mio	adjective	m.	pl.				
10	co'	con+i	preposition+article	m.	pl.				contraction
10	passi	passo	noun	m.	pl.				
10	fidi	fido	adjective	m.	pl.				
11	del	di+il	preposition+article	m.	sg.				contraction
11	mio	mio	adjective	m.	sg.				
11	maestro	maestro	noun	m.	sg.				
11	usci'	uscire	verb		sg.	3	remote past	indicative	apocope
11	fuor	fuori	adverb						apocope
11	di	di	preposition						
11	tal	tale	adjective		sg.				apocope
11	nube	nube	noun	f.	sg.				
12	ai	a+i	preposition+article	m.	pl.				contraction
12	raggi	raggio	noun	m.	pl.				
12	morti	morto	adjective	m.	pl.				
12	già	già	adverb						
12	ne'	in+i	preposition+article	m.	pl.				contraction
12	bassi	basso	adjective	m.	pl.				
12	lidi	lido	noun	m.	pl.				
13	O	O	interjection						
13	imaginativa	imaginativa	noun	f.	sg.				
13	che	che	pronoun						
13	ne	ne	pronoun		sg.				
13	rube	rubare	verb		sg.	3	present	subjunctive	
14	talvolta	talvolta	adverb						
14	sì	sì	adverb						
14	di	di	preposition						
14	fuor	fuori	adverb						apocope
14	ch'	che	conjunction						elision
14	om	uomo	noun	m.	sg.				apocope
14	non	non	adverb						
14	s'	si	pronoun		sg.				elision
14	accorge	accorgersi	verb		sg.	3	present	indicative	
15	perché	perché	conjunction						
15	dintorno	dintorno	adverb						
15	suonin	suonare	verb		pl.	3	present	indicative	apocope
15	mille	mille	numeral		pl.				
15	tube	tuba	noun	f.	pl.				
16	chi	chi	pronoun		sg.				
16	move	muovere	verb		sg.	3	present	indicative	
16	te	te	pronoun		sg.	2			
16	se	se	conjunction						
16	'l	il	article	m.	sg.				elision
16	senso	senso	noun	m.	sg.				
16	non	non	adverb						
16	ti	tu	pronoun		sg.	2			
16	porge	porgere	verb		sg.	3	present	indicative	
17	Moveti	muovere+ti	verb+pronoun		sg.	2	present	indicative	contraction
17	lume	lume	noun	m.	sg.				
17	che	che	pronoun						
17	nel	in+il	preposition+article	m.	sg.				contraction
17	ciel	cielo	noun	m.	sg.				apocope
17	s'	si	pronoun		sg.	3			elision
17	informa	informare	verb		sg.	3	present	indicative	
18	per	per	preposition						
18	sé	sé	pronoun		sg.				
18	o	o	conjunction						
18	per	per	preposition						
18	voler	volere	noun	m.	sg.				apocope
18	che	che	pronoun						
18	giù	giù	adverb						
18	lo	lo	pronoun	m.	sg.				
18	scorge	scorgere	verb		sg.	3	present	indicative	
19	De	di	preposition						archaic
19	l'	la	article	f.	sg.				elision
19	empiezza	empiezza	noun	f.	sg.				
19	di	di	preposition						
19	lei	lei	pronoun	f.	sg.				
19	che	che	pronoun		sg.				
19	mutò	mutare	verb		sg.	3	remote past	indicative	
19	forma	forma	noun	f.	sg.				
20	ne	in	preposition						archaic
20	l'	lo	article	m.	sg.				elision
20	uccel	uccello	noun	m.	sg.				apocope
20	ch'	che	pronoun		sg.				elision
20	a	a	preposition						
20	cantar	cantare	verb				infinitive		apocope
20	più	più	adverb						
20	si	si	pronoun		sg.	3			reflexive
20	diletta	dilettare	verb		sg.	3	present	indicative	
21	ne	in	preposition						archaic
21	l'	la	article	f.	sg.				elision
21	imagine	immagine	noun	f.	sg.				archaic
21	mia	mio	adjective	f.	sg.				
21	apparve	apparire	verb		sg.	3	remote past	indicative	
21	l'	la	article	f.	sg.				elision
21	orma	orma	noun	f.	sg.				
22	e	e	conjunction						
22	qui	qui	adverb						
22	fu	essere	verb		sg.	3	remote past	indicative	
22	la	lo	article	f.	sg.				
22	mia	mio	adjective	f.	sg.				
22	mente	mente	noun	f.	sg.				
22	sì	sì	adverb						
22	ristretta	ristretto	adjective	f.	sg.				
23	dentro	dentro	adverb						
23	da	da	preposition						
23	sé	sé	pronoun		sg.				reflexive
23	che	che	conjunction						
23	di	di	preposition						
23	fuor	fuori	adverb						apocope
23	non	non	adverb						
23	venìa	venire	verb		sg.	3	imperfect	indicative	archaic
24	cosa	cosa	noun	f.	sg.				
24	che	che	pronoun	f.	sg.				
24	fosse	essere	verb		sg.	3	imperfect	subjunctive	
24	allor	allora	adverb						apocope
24	da	da	preposition						
24	lei	lei	pronoun	f.	sg.				
24	ricetta	ricevuto	adjective	f.	sg.				
25	Poi	poi	adverb						
25	piovve	piovere	verb		sg.	3	remote past	indicative	
25	dentro	dentro	adverb						
25	a	a	preposition						
25	l'	la	article	f.	sg.				elision
25	alta	alto	adjective	f.	sg.				
25	fantasia	fantasia	noun	f.	sg.				
26	un	uno	article	m.	sg.				indefinite
26	crucifisso	crocifisso	noun	m.	sg.				
26	dispettoso	dispettoso	adjective	m.	sg.				
26	e	e	conjunction						
26	fero	feroce	adjective	m.	sg.				archaic
27	ne	in	preposition						archaic
27	la	la	article	f.	sg.				
27	sua	suo	adjective	f.	sg.				
27	vista	vista	noun	f.	sg.				
27	e	e	conjunction						
27	cotal	cotale	adjective		sg.				archaic
27	si	si	pronoun		sg.	3			reflexive
27	moria	morire	verb		sg.	3	imperfect	subjunctive	
28	intorno	intorno	adverb						
28	ad	a	preposition						
28	esso	esso	pronoun	m.	sg.				
28	era	essere	verb		sg.	3	imperfect	indicative	
28	il	il	article	m.	sg.				
28	grande	grande	adjective	m.	sg.				
28	Assüero	Assüero	noun	m.	sg.				proper noun
29	Estèr	Estèr	noun	f.	sg.				proper noun
29	sua	suo	adjective	f.	sg.				
29	sposa	sposa	noun	f.	sg.				
29	e	e	conjunction						
29	'l	il	article	m.	sg.				elision
29	giusto	giusto	adjective	m.	sg.				
29	Mardoceo	Mardoceo	noun	m.	sg.				proper noun
30	che	che	pronoun	m.	sg.				relative
30	fu	essere	verb		sg.	3	remote past	indicative	
30	al	a+il	preposition+article	m.	sg.				contraction
30	dire	dire	noun	m.	sg.				
30	e	e	conjunction						
30	al	a+il	preposition+article	m.	sg.				contraction
30	far	fare	noun	m.	sg.				apocope
30	così	così	adverb						
30	intero	intero	adjective	m.	sg.				
31	E	e	conjunction						
31	come	come	conjunction						
31	questa	questo	adjective	f.	sg.				
31	imagine	imagine	noun	f.	sg.				archaic
31	rompeo	rompere	verb		sg.	3	remote past	indicative	archaic
32	sé	sé	pronoun		sg.	3			reflexive
32	per	per	preposition						
32	sé	sé	pronoun		sg.	3			reflexive
32	stessa	stesso	adjective	f.	sg.				
32	a	a	preposition						
32	guisa	guisa	noun	f.	sg.				
32	d'	di	preposition						elision
32	una	uno	article	f.	sg.				indefinite
32	bulla	bulla	noun	f.	sg.				
33	cui	cui	pronoun		sg.				relative
33	manca	mancare	verb		sg.	3	present	indicative	
33	l'	la	article	f.	sg.				elision
33	acqua	acqua	noun	f.	sg.				
33	sotto	sotto	preposition						
33	qual	quale	pronoun		sg.				apocope
33	si	si	pronoun		sg.	3			reflexive
33	feo	fare	verb		sg.	3	remote past	indicative	archaic
34	surse	surgere	verb		sg.	3	remote past	indicative	
34	in	in	preposition						
34	mia	mio	adjective	f.	sg.				
34	visïone	visione	noun	f.	sg.				
34	una	uno	article	f.	sg.				indefinite
34	fanciulla	fanciulla	noun	f.	sg.				
35	piangendo	piangere	verb				gerund		
35	forte	forte	adverb						
35	e	e	conjunction						
35	dicea	dire	verb		sg.	3	imperfect	indicative	
35	O	o	interjection						
35	regina	regina	noun	f.	sg.				
36	perché	perché	conjunction						
36	per	per	preposition						
36	ira	ira	noun	f.	sg.				
36	hai	avere	verb		sg.	2	present	indicative	
36	voluto	volere	verb				past participle		
36	esser	essere	verb				infinitive		apocope
36	nulla	nulla	adjective	f.	sg.				
37	Ancisa	ancidere	verb	f.	sg.		past participle		
37	t'	tu	pronoun		sg.	2			elision
37	hai	avere	verb		sg.	2	present	indicative	
37	per	per	preposition						
37	non	non	adverb						
37	perder	perdere	verb				infinitive		apocope
37	Lavina	Lavinia	proper noun	f.	sg.				apocope
38	or	ora	adverb						apocope
38	m'	me	pronoun		sg.	1			elision
38	hai	avere	verb		sg.	2	present	indicative	
38	perduta	perdere	verb	f.	sg.		past participle		
38	Io	io	pronoun		sg.	1			
38	son	essere	verb		sg.	1	present	indicative	apocope
38	essa	esso	pronoun	f.	sg.				
38	che	che	pronoun		sg.				
38	lutto	luttare	verb		sg.	1	present	indicative	
39	madre	madre	noun	f.	sg.				
39	a	a	preposition						
39	la	lo	article	f.	sg.				
39	tua	tuo	adjective	f.	sg.				
39	pria	prima	adverb						apocope
