line	word	lemma	pos	gender	number	person	tense	mood	note
1	Chi	chi	pronoun		sg.	3			
1	è	essere	verb		sg.	3	present	indicative	
1	costui	costui	pronoun	m.	sg.				
1	che	che	pronoun		sg.				relative
1	'l	il	article	m.	sg.				elision
1	nostro	nostro	adjective	m.	sg.				
1	monte	monte	noun	m.	sg.				
1	cerchia	cerchiare	verb		sg.	3	present	indicative	
2	prima	prima	adverb						
2	che	che	conjunction						
2	morte	morte	noun	f.	sg.				
2	li	lo	pronoun	m.	sg.	3			archaic
2	abbia	avere	verb		sg.	3	present	subjunctive	
2	dato	dare	verb				past participle		
2	il	il	article	m.	sg.				
2	volo	volo	noun	m.	sg.				
3	e	e	conjunction						
3	apre	aprire	verb		sg.	3	present	indicative	
3	li	lo	article	m.	pl.				archaic
3	occhi	occhio	noun	m.	pl.				
3	a	a	preposition						
3	sua	suo	adjective	f.	sg.				
3	voglia	voglia	noun	f.	sg.				
3	e	e	conjunction						
3	coverchia	coverchiare	verb		sg.	3	present	indicative	
4	Non	non	adverb						
4	so	sapere	verb		sg.	1	present	indicative	
4	chi	chi	pronoun		sg.				
4	sia	essere	verb		sg.	3	present	subjunctive	
4	ma	ma	conjunction						
4	so	sapere	verb		sg.	1	present	indicative	
4	ch'	che	conjunction						elision
4	e'	essere	verb		sg.	3	present	indicative	archaic
4	non	non	adverb						
4	è	essere	verb		sg.	3	present	indicative	
4	solo	solo	adjective	m.	sg.				
5	domandal	domandare+lo	verb+pronoun		sg.	2		imperative	contraction
5	tu	tu	pronoun		sg.	2			
5	che	che	conjunction						
5	più	più	adverb						
5	li	lo	pronoun	m.	sg.				archaic
5	t'	ti	pronoun		sg.	2			elision
5	avvicini	avvicinare	verb		sg.	2	present	subjunctive	
6	e	e	conjunction						
6	dolcemente	dolcemente	adverb						
6	sì	sì	adverb						
6	che	che	conjunction						
6	parli	parlare	verb		sg.	3	present	subjunctive	
6	acco'	accogliere	verb		sg.	2		imperative	syncope
6	lo	lo	pronoun	m.	sg.				
7	Così	così	adverb						
7	due	due	numeral		pl.				
7	spirti	spirito	noun	m.	pl.				
7	l'	lo	article	m.	sg.				elision
7	uno	uno	pronoun	m.	sg.				
7	a	a	preposition						
7	l'	lo	article	m.	sg.				elision
7	altro	altro	pronoun	m.	sg.				
7	chini	chino	adjective	m.	pl.				
8	ragionavan	ragionare	verb		pl.	3	imperfect	indicative	apocope
8	di	di	preposition						
8	me	me	pronoun		sg.	1			
8	ivi	ivi	adverb						
8	a	a	preposition						
8	man	mano	noun	f.	sg.				apocope
8	dritta	diritto	adjective	f.	sg.				
9	poi	poi	adverb						
9	fer	fare	verb		pl.	3	remote past	indicative	archaic
9	li	lo	article	m.	pl.				archaic
9	visi	viso	noun	m.	pl.				
9	per	per	preposition						
9	dirmi	dire+mi	verb+pronoun		sg.	1			contraction
9	supini	supino	adjective	m.	pl.				
10	e	e	conjunction						
10	disse	dire	verb		sg.	3	remote past	indicative	
10	l'	lo	article	m.	sg.				elision
10	uno	uno	pronoun	m.	sg.				
10	O	O	interjection						
10	anima	anima	noun	f.	sg.				
10	che	che	pronoun	f.	sg.				
10	fitta	fitto	adjective	f.	sg.				
11	nel	in+il	preposition+article	m.	sg.				contraction
11	corpo	corpo	noun	m.	sg.				
11	ancora	ancora	adverb						
11	inver'	invero	adverb						apocope
11	lo	lo	article	m.	sg.				
11	ciel	cielo	noun	m.	sg.				apocope
11	ten	tenere	verb		sg.	2	present	indicative	apocope
11	vai	andare	verb		sg.	2	present	indicative	
12	per	per	preposition						
12	carità	carità	noun	f.	sg.				
12	ne	noi	pronoun		pl.	1			archaic
12	consola	consolare	verb		sg.	2	present	imperative	
12	e	e	conjunction						
12	ne	noi	pronoun		pl.	1			archaic
12	ditta	dettare	verb		sg.	2	present	imperative	
13	onde	onde	adverb						
13	vieni	venire	verb		sg.	2	present	indicative	
13	e	e	conjunction						
13	chi	chi	pronoun		sg.				
13	se'	essere	verb		sg.	2	present	indicative	apocope
13	ché	che	conjunction						contraction
13	tu	tu	pronoun		sg.	2			
13	ne	ne	pronoun						
13	fai	fare	verb		sg.	2	present	indicative	
14	tanto	tanto	adverb						
14	maravigliar	maravigliare	verb						apocope
14	de	di	preposition						archaic
14	la	la	article	f.	sg.				
14	tua	tuo	adjective	f.	sg.				
14	grazia	grazia	noun	f.	sg.				
15	quanto	quanto	adverb						
15	vuol	volere	verb		sg.	3	present	indicative	apocope
15	cosa	cosa	noun	f.	sg.				
15	che	che	pronoun		sg.				
15	non	non	adverb						
15	fu	essere	verb		sg.	3	remote past	indicative	
15	più	più	adverb						
15	mai	mai	adverb						
16	E	e	conjunction						
16	io	io	pronoun		sg.	1			
16	Per	per	preposition						
16	mezza	mezzo	adjective	f.	sg.				
16	Toscana	Toscana	proper noun	f.	sg.				
16	si	si	pronoun		sg.	3			reflexive
16	spazia	spaziare	verb		sg.	3	present	indicative	
17	un	uno	article	m.	sg.				indefinite
17	fiumicel	fiumiciolo	noun	m.	sg.				apocope
17	che	che	relative pronoun						
17	nasce	nascere	verb		sg.	3	present	indicative	
17	in	in	preposition						
17	Falterona	Falterona	proper noun	f.	sg.				
18	e	e	conjunction						
18	cento	cento	numeral						
18	miglia	miglio	noun	f.	pl.				
18	di	di	preposition						
18	corso	corso	noun	m.	sg.				
18	nol	non+lo	adverb+pronoun	m.	sg.	3			contraction
18	sazia	saziare	verb		sg.	3	present	indicative	
19	Di	di	preposition						
19	sovr'	sopra	preposition						elision
19	esso	esso	pronoun	m.	sg.				
19	rech'	recare	verb		sg.	1	present	indicative	elision
19	io	io	pronoun		sg.	1			
19	questa	questo	adjective	f.	sg.				
19	persona	persona	noun	f.	sg.				
20	dirvi	dire+vi	verb+pronoun						contraction
20	ch'	che	conjunction						elision
20	i'	io	pronoun		sg.	1			elision
20	sia	essere	verb		sg.	1	present	subjunctive	
20	saria	essere	verb		sg.	3	conditional	indicative	archaic
20	parlare	parlare	verb						infinitive
20	indarno	indarno	adverb						archaic
21	ché	perché	conjunction						contraction
21	'l	il	article	m.	sg.				elision
21	nome	nome	noun	m.	sg.				
21	mio	mio	adjective	m.	sg.				
21	ancor	ancora	adverb						apocope
21	molto	molto	adverb						
21	non	non	adverb						
21	suona	suonare	verb		sg.	3	present	indicative	
22	Se	se	conjunction						
22	ben	bene	adverb						
22	lo	lo	article	m.	sg.				
22	'ntendimento	intendimento	noun	m.	sg.				elision
22	tuo	tuo	adjective	m.	sg.				
22	accarno	accarnare	verb		sg.	1	present	indicative	
23	con	con	preposition						
23	lo	lo	article	m.	sg.				
23	'ntelletto	intelletto	noun	m.	sg.				elision
23	allora	allora	adverb						
23	mi	mi	pronoun		sg.	1			
23	rispuose	rispondere	verb		sg.	3	remote past	indicative	archaic
24	quei	quello	pronoun	m.	sg.				
24	che	che	pronoun		sg.				
24	diceva	dire	verb		sg.	3	imperfect	indicative	
24	pria	prima	adverb						apocope
24	tu	tu	pronoun		sg.	2			
24	parli	parlare	verb		sg.	2	present	indicative	
24	d'	di	preposition						elision
24	Arno	Arno	noun	m.	sg.				
25	E	e	conjunction						
25	l'	lo	article	m.	sg.				elision
25	altro	altro	pronoun	m.	sg.				
25	disse	dire	verb		sg.	3	remote past	indicative	
25	lui	lui	pronoun	m.	sg.				
25	Perché	perché	conjunction						
