line	token	word	case
1	7	uno	nominative
1	9	altro	ablative
2	1	ce	locative
2	2	n'	ablative
3	1	diceami	dative
3	5	io	nominative
3	6	ti	accusative
4	1	feriami	accusative
5	1	che	nominative
7	2	io	nominative
10	5	che	nominative
11	1	loro	dative
11	5	me	genitive
11	7	cominciarsi	reflexive
12	3	Colui	nominative
13	3	me	ablative
14	2	si	reflexive
16	2	tu	vocative
16	3	che	nominative
18	3	me	dative
18	4	che	nominative
19	4	me	dative
20	3	questi	nominative
20	4	n'	ablative
22	1	Dinne	ablative
22	7	te	ablative
23	5	tu	nominative
25	2	mi	dative
25	4	un	nominative
25	6	essi	ablative
25	8	io	nominative
25	9	mi	reflexive
26	4	io	nominative
27	4	ch'	nominative
29	7	questa	ablative
30	2	qual	nominative
30	3	mi	accusative
32	5	una	ablative
32	7	una	ablative
35	1	s'	reflexive
39	2	ciascuna	nominative
39	3	s'	reflexive
43	4	ch'	nominative
45	1	queste	nominative
45	4	quelle	nominative
46	4	sen	reflexive+ablative
46	8	sen	reflexive+ablative
48	4	che	nominative
48	6	lor	dative
48	7	si	reflexive
49	4	me	dative
50	1	essi	nominative
50	3	che	nominative
50	4	m'	accusative
52	1	Io	nominative
52	2	che	nominative
52	7	lor	accusative
56	9	meco	ablative
59	5	che	nominative
59	6	m'	dative
62	7	v'	accusative
63	9	si	reflexive
64	1	ditemi	dative
64	6	ne	ablative
65	1	chi	nominative
65	3	voi	nominative
65	5	chi	nominative
66	1	che	nominative
66	2	se	reflexive
66	3	ne	ablative
67	4	si	reflexive
69	5	s'	reflexive
70	1	che	nominative
72	2	qual	nominative
72	8	s'	reflexive
73	2	te	vocative
73	3	che	nominative
74	2	colei	nominative
74	3	che	nominative
74	5	m'	accusative
76	3	che	nominative
76	7	noi	ablative
77	2	ciò	ablative
77	4	che	ablative
78	3	sé	ablative
78	5	s'	reflexive
79	2	si	reflexive
80	3	sé	dative
85	4	noi	genitive
85	6	noi	ablative
85	7	si	reflexive
86	2	partinci	reflexive
86	6	colei	genitive
87	1	che	nominative
87	2	s'	reflexive
88	7	che	ablative
89	7	chi	nominative
91	1	Farotti	accusative
91	4	me	ablative
92	6	mi	reflexive
93	3	dolermi	reflexive
95	1	si	reflexive
96	2	mi	reflexive
96	4	io	nominative
97	2	io	nominative
97	5	sé	reflexive
98	8	che	nominative
101	4	lui	accusative
102	8	m'	reflexive
104	2	m'	reflexive
105	4	che	nominative
105	7	altrui	dative
106	2	elli	nominative
106	4	me	dative
106	5	Tu	nominative
107	3	ch'	accusative
107	4	i'	nominative
107	7	me	ablative
108	3	nol	accusative
110	1	dimmi	dative
111	7	avermi	accusative
112	2	io	nominative
112	4	lui	dative
113	1	che	nominative
115	4	questi	nominative
115	5	ch'	accusative
115	6	io	nominative
115	7	ti	dative
119	2	tutti	accusative
120	2	quel	nominative
123	7	lor	ablative
123	8	s'	reflexive
125	6	lui	dative
126	3	l'	accusative
127	3	tu	nominative
128	3	ti	dative
129	2	quale	ablative
130	3	me	ablative
131	4	noi	dative
133	6	altrui	dative
136	1	Io	nominative
136	2	mi	reflexive
139	1	El	nominative
140	2	m'	dative
141	2	ieu	nominative
141	4	me	reflexive
141	9	vos	ablative
142	1	Ieu	nominative
142	4	que	nominative
144	6	qu'	accusative
145	2	vos	accusative
146	1	que	nominative
146	2	vos	accusative
147	2	vos	reflexive
148	2	s'	reflexive
148	6	che	nominative
148	7	li	accusative
