line	token	word	case
3	6	io	nominative
4	2	io	nominative
4	3	cui	dative
6	5	io	nominative
6	7	li	accusative
7	5	che	nominative
7	6	s'	reflexive
8	4	che	nominative
8	6	s'	reflexive
9	5	mi	dative
10	2	io	nominative
10	7	s'	reflexive
11	6	io	nominative
13	2	ti	dative
14	2	mi	dative
14	6	cui	dative
16	4	me	ablative
18	5	che	nominative
18	6	si	reflexive
19	3	ch'	nominative
20	6	che	nominative
23	6	voi	ablative
23	7	la	accusative
24	6	essa	ablative
25	6	lei	ablative
25	7	si	reflexive
26	5	quell'	nominative
27	1	che	nominative
27	7	voi	ablative
27	8	si	reflexive
29	5	ch'	nominative
33	6	il	accusative
34	2	ti	dative
35	6	ch'	nominative
36	4	sé	ablative
41	2	io	nominative
41	3	lui	dative
41	4	m'	dative
42	2	ciò	nominative
42	3	m'	accusative
43	8	noi	ablative
46	2	elli	nominative
46	4	me	dative
46	5	Quanto	accusative
47	2	ti	dative
47	4	io	nominative
47	9	t'	accusative
48	4	ch'	nominative
49	4	che	nominative
50	7	lei	ablative
51	5	sé	ablative
52	2	qual	nominative
53	2	si	reflexive
58	4	voi	ablative
61	4	questa	ablative
61	7	si	reflexive
62	6	che	nominative
64	1	Quest'	nominative
64	7	si	reflexive
65	5	voi	ablative
67	1	Color	nominative
67	2	che	nominative
68	1	s'	reflexive
71	4	che	nominative
71	7	voi	ablative
71	8	s'	reflexive
72	2	ritenerlo	accusative
72	5	voi	ablative
75	2	l'	accusative
77	5	noi	ablative
78	5	che	nominative
80	1	che	accusative
80	7	quel	nominative
81	5	il	accusative
82	6	cui	ablative
82	7	si	reflexive
85	3	io	nominative
85	4	che	nominative
87	4	che	nominative
88	4	mi	dative
89	4	che	nominative
90	5	noi	dative
92	3	sè	ablative
95	3	ch'	accusative
95	4	io	nominative
96	1	cui	dative
97	5	noi	ablative
98	1	si	reflexive
103	7	si	reflexive
106	4	cui	ablative
108	2	voi	ablative
109	1	questi	nominative
109	2	che	nominative
109	6	i'	nominative
109	8	vi	dative
110	8	ne	ablative
111	2	ne	ablative
112	3	queste	nominative
113	2	un	nominative
114	4	noi	ablative
115	1	Noi	nominative
115	6	muoverci	reflexive
118	1	Io	nominative
120	2	cui	genitive
125	7	che	nominative
127	1	Io	nominative
127	9	ei	nominative
127	10	si	reflexive
128	7	noi	ablative
129	2	questo	accusative
129	6	mi	dative
130	2	quei	nominative
130	3	che	nominative
130	4	m'	accusative
131	2	Volgiti	reflexive
131	4	vedine	ablative
133	4	tutti	ablative
134	5	cui	ablative
134	8	s'	reflexive
136	2	quella	nominative
136	3	che	nominative
138	1	sé	accusative
139	5	noi	ablative
140	7	potiersi	reflexive
141	5	me	ablative
141	6	si	reflexive
142	2	qual	genitive
142	4	altri	nominative
143	4	uno	ablative
143	6	altro	ablative
