line	token	word	case
2	7	piacerli	dative
4	1	Mossimi	reflexive
4	6	si	reflexive
6	2	si	reflexive
7	4	che	nominative
8	6	che	nominative
9	8	s'	reflexive
10	3	tu	nominative
11	1	che	nominative
13	4	cui	genitive
13	8	si	reflexive
15	4	cui	ablative
15	5	questa	nominative
16	1	Noi	nominative
17	2	io	nominative
17	8	i'	accusative
20	3	noi	ablative
21	4	che	nominative
23	3	si	reflexive
28	3	m'	dative
29	2	io	nominative
29	3	mi	reflexive
30	4	onde	ablative
31	1	Esso	nominative
32	1	che	accusative
34	3	che	nominative
35	1	dimmi	dative
35	2	chi	nominative
36	1	tu	nominative
38	2	io	nominative
39	4	ch'	nominative
40	2	elli	nominative
40	3	Io	nominative
40	4	ti	dative
41	2	io	nominative
42	3	te	ablative
43	1	Io	nominative
44	1	che	nominative
45	6	se	reflexive
45	7	ne	ablative
47	3	ne	ablative
48	2	io	nominative
48	3	la	accusative
48	6	lui	ablative
48	7	che	nominative
50	2	me	ablative
51	2	cui	ablative
52	3	io	nominative
55	2	mi	accusative
59	8	quale	ablative
60	3	costor	genitive
70	3	io	nominative
72	6	sé	accusative
73	3	n'	ablative
74	3	qual	ablative
77	3	sé	ablative
79	3	che	nominative
80	6	patteggiarne	ablative
82	3	che	nominative
82	5	tu	nominative
82	7	farne	ablative
83	8	te	ablative
84	3	si	reflexive
88	1	Veggiolo	accusative
92	2	ciò	nominative
92	3	nol	accusative
94	6	io	nominative
95	5	che	nominative
97	1	Ciò	accusative
97	2	ch'	accusative
97	3	io	nominative
98	7	ti	accusative
99	2	me	ablative
101	7	el	nominative
101	8	s'	reflexive
103	1	Noi	nominative
104	1	cui	dative
107	1	che	nominative
108	3	qual	ablative
108	7	si	reflexive
109	4	ciascun	nominative
109	6	si	reflexive
111	7	lo	accusative
113	4	ch'	accusative
115	2	ch'	nominative
116	2	ci	dative
116	3	si	reflexive
117	1	dilci	dative
117	3	'l	accusative
118	4	uno	nominative
118	8	altro	nominative
119	4	ch'	nominative
119	7	ci	accusative
121	4	che	accusative
121	7	ci	locative
121	8	si	reflexive
122	4	io	nominative
124	1	Noi	nominative
124	6	esso	ablative
126	5	n'	ablative
127	2	io	nominative
127	6	che	nominative
128	5	mi	accusative
129	4	colui	accusative
129	5	ch'	nominative
130	3	si	reflexive
131	5	lei	ablative
134	6	me	ablative
134	7	si	reflexive
135	5	io	nominative
135	6	ti	accusative
136	4	tutti	nominative
137	4	ch'	accusative
137	5	io	nominative
138	5	si	reflexive
139	1	No'	nominative
140	4	che	nominative
141	7	el	accusative
143	4	che	nominative
146	1	mi	accusative
147	6	ciò	ablative
148	2	pareami	dative
149	6	er'	nominative
150	3	me	ablative
151	2	m'	dative
