line	token	word	case
5	8	sen	reflexive+ablative
6	7	ci	dative
10	4	si	reflexive
11	7	esso	ablative
13	1	ci	dative
13	4	noi	nominative
13	5	li	accusative
14	3	io	nominative
14	7	lo	accusative
15	1	qual	nominative
15	3	colui	nominative
15	4	che	nominative
16	6	mi	reflexive
19	3	me	ablative
20	3	mi	dative
22	5	io	nominative
23	3	ti	accusative
24	1	che	accusative
27	2	ti	dative
28	3	tu	nominative
28	7	io	nominative
28	8	t'	accusative
29	3	lei	ablative
32	1	volgiti	reflexive
33	2	io	nominative
34	2	mi	accusative
36	4	te	ablative
38	7	riguardolla	accusative
41	1	mi	reflexive
42	1	che	nominative
42	6	mi	dative
43	2	ei	nominative
45	4	si	reflexive
46	6	mi	dative
46	7	si	reflexive
48	6	ci	accusative
50	2	mi	reflexive
50	5	rinfrescarmi	reflexive
52	6	confortarmi	accusative
54	7	parmi	dative
55	1	Guidavaci	accusative
55	4	che	nominative
56	4	noi	nominative
56	8	lei	dative
57	5	si	reflexive
59	6	che	nominative
60	3	mi	accusative
60	7	nol	accusative
61	3	sen	reflexive+ablative
62	2	v'	locative
63	6	si	reflexive
65	5	io	nominative
66	3	me	ablative
66	6	ch'	nominative
68	8	che	nominative
68	9	si	reflexive
69	4	io	nominative
73	1	ciascun	nominative
73	3	noi	genitive
74	6	ci	dative
76	2	si	reflexive
80	4	che	nominative
81	2	s'	reflexive
81	5	lor	dative
82	5	che	nominative
84	5	lo	accusative
86	1	io	nominative
86	5	ei	nominative
89	6	io	nominative
90	2	lor	genitive
91	7	quelle	ablative
92	1	mi	accusative
92	7	che	nominative
96	1	che	nominative
97	6	mi	dative
100	2	qualunque	nominative
101	2	i'	nominative
101	3	mi	reflexive
102	5	farmi	reflexive
103	2	piacermi	reflexive
103	7	m'	reflexive
104	7	si	reflexive
106	1	Ell'	nominative
107	2	io	nominative
107	5	addornarmi	reflexive
108	1	lei	nominative
108	2	lo	accusative
108	5	me	dative
108	6	l'	accusative
110	1	che	nominative
113	6	esse	ablative
113	8	io	nominative
113	10	mi	reflexive
115	4	che	accusative
118	3	me	ablative
121	5	mi	dative
123	3	mi	dative
124	6	noi	ablative
126	2	me	ablative
129	2	io	nominative
129	4	me	ablative
130	2	t'	accusative
132	2	se'	ablative
132	8	se'	ablative
133	4	che	nominative
133	7	ti	dative
135	1	che	accusative
135	7	sé	ablative
137	1	che	nominative
137	4	te	ablative
137	6	mi	accusative
138	2	ti	reflexive
138	8	elli	ablative
142	3	io	nominative
142	4	te	accusative
142	6	te	ablative
